사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,1호선,청량리,6411,6535,12946
202101,1호선,제기동,4525,4467,8992
202101,1호선,신설동,3367,3017,6384
202101,1호선,동대문,3971,3799,7770
202101,1호선,종로5가,3700,3698,7398
202101,1호선,종로3가,5502,4910,10412
202101,1호선,종각,5637,4936,10573
202101,1호선,시청,2906,2654,5560
202101,1호선,동묘앞,4153,4491,8644
202101,1호선,서울,9260,9858,19118
202101,1호선,시청,17440,17172,34612
202101,1호선,동묘앞,5952,6285,12237
202101,1호선,서울,32167,28808,60975
202101,1호선,종각,28072,26887,54959
202101,1호선,종로3가,18610,16877,35487
202101,1호선,종로5가,18488,18502,36990
202101,1호선,동대문,8363,8135,16498
202101,1호선,신설동,11593,11379,22972
202101,1호선,제기동,15093,15684,30777
202101,1호선,청량리,17308,17335,34643
202101,1호선,서울,30857,28197,59054
202101,1호선,청량리,16853,16853,33706
202101,1호선,제기동,14429,14953,29382
202101,1호선,신설동,11176,11244,22420
202101,1호선,동대문,8704,8287,16991
202101,1호선,종로5가,18556,18176,36732
202101,1호선,종로3가,17682,16275,33957
202101,1호선,종각,27272,26181,53453
202101,1호선,시청,17251,16970,34221
202101,1호선,동묘앞,5931,6084,12015
202101,1호선,청량리,15753,15659,31412
202101,1호선,제기동,13233,13578,26811
202101,1호선,신설동,11343,11198,22541
202101,1호선,동대문,8758,8136,16894
202101,1호선,종로5가,17635,16879,34514
202101,1호선,종로3가,17576,15701,33277
202101,1호선,종각,28283,25287,53570
202101,1호선,시청,17266,16278,33544
202101,1호선,동묘앞,5887,6065,11952
202101,1호선,서울,31582,28321,59903
202101,1호선,서울,32384,30004,62388
202101,1호선,동묘앞,4708,4986,9694
202101,1호선,시청,17188,16352,33540
202101,1호선,종각,27102,24862,51964
202101,1호선,종로3가,15920,14660,30580
202101,1호선,종로5가,16044,15671,31715
202101,1호선,동대문,8169,7473,15642
202101,1호선,신설동,11098,10668,21766
202101,1호선,제기동,10743,10699,21442
202101,1호선,청량리,13999,13771,27770
202101,1호선,서울,32133,30399,62532
202101,1호선,동묘앞,4703,4819,9522
202101,1호선,시청,16395,15498,31893
202101,1호선,종각,26279,24758,51037
202101,1호선,종로3가,15478,14124,29602
202101,1호선,종로5가,15304,14973,30277
202101,1호선,동대문,7918,7246,15164
202101,1호선,신설동,10400,10252,20652
202101,1호선,제기동,10725,10660,21385
202101,1호선,청량리,13552,13556,27108
202101,1호선,서울,32106,29674,61780
202101,1호선,동묘앞,5647,5891,11538
202101,1호선,시청,17316,17089,34405
202101,1호선,종각,27410,26373,53783
202101,1호선,종로3가,18093,16350,34443
202101,1호선,종로5가,18067,17964,36031
202101,1호선,동대문,8672,8262,16934
202101,1호선,신설동,11486,11301,22787
202101,1호선,제기동,13734,14038,27772
202101,1호선,청량리,16326,16279,32605
202101,1호선,서울,34716,31369,66085
202101,1호선,동묘앞,6313,6474,12787
202101,1호선,시청,18766,17794,36560
202101,1호선,종각,30967,27340,58307
202101,1호선,종로3가,19430,16990,36420
202101,1호선,종로5가,20653,18701,39354
202101,1호선,동대문,9392,8885,18277
202101,1호선,신설동,12094,11642,23736
202101,1호선,제기동,15722,16023,31745
202101,1호선,청량리,17737,17861,35598
202101,1호선,청량리,17555,17308,34863
202101,1호선,제기동,14784,15337,30121
202101,1호선,신설동,11904,11671,23575
202101,1호선,동대문,9194,8848,18042
202101,1호선,종로5가,18916,18877,37793
202101,1호선,종로3가,19642,17760,37402
202101,1호선,종각,28410,27703,56113
202101,1호선,시청,17507,17552,35059
202101,1호선,동묘앞,6601,6861,13462
202101,1호선,서울,33699,31454,65153
202101,1호선,동대문,9342,8827,18169
202101,1호선,서울,33817,31496,65313
202101,1호선,동묘앞,6863,7236,14099
202101,1호선,시청,17759,17559,35318
202101,1호선,종각,28200,27207,55407
202101,1호선,종로3가,19943,18011,37954
202101,1호선,종로5가,19593,19464,39057
202101,1호선,신설동,11813,11715,23528
202101,1호선,제기동,17037,17723,34760
202101,1호선,청량리,18742,18839,37581
202101,1호선,청량리,18265,18272,36537
202101,1호선,제기동,15944,16259,32203
202101,1호선,신설동,11953,11722,23675
202101,1호선,동대문,9299,8656,17955
202101,1호선,종로5가,19073,18744,37817
202101,1호선,종로3가,19612,17902,37514
202101,1호선,종각,28526,27156,55682
202101,1호선,시청,18008,17846,35854
202101,1호선,동묘앞,6189,6512,12701
202101,1호선,서울,35401,33855,69256
202101,1호선,청량리,16659,16501,33160
202101,1호선,제기동,14039,14387,28426
202101,1호선,신설동,11953,11996,23949
202101,1호선,동대문,8798,8536,17334
202101,1호선,종로5가,18497,18228,36725
202101,1호선,종로3가,18843,17201,36044
202101,1호선,종각,30061,28668,58729
202101,1호선,시청,18435,18147,36582
202101,1호선,동묘앞,5653,5857,11510
202101,1호선,서울,35369,32561,67930
202101,1호선,동대문,8872,8204,17076
202101,1호선,서울,33685,31254,64939
202101,1호선,동묘앞,6204,6436,12640
202101,1호선,시청,18403,18151,36554
202101,1호선,종각,29219,28061,57280
202101,1호선,종로3가,18808,16901,35709
202101,1호선,종로5가,18428,18045,36473
202101,1호선,신설동,11931,11735,23666
202101,1호선,제기동,13976,14237,28213
202101,1호선,청량리,16430,16620,33050
202101,1호선,청량리,19649,19521,39170
202101,1호선,제기동,17351,17984,35335
202101,1호선,신설동,12746,12373,25119
202101,1호선,동대문,9540,9146,18686
202101,1호선,종로5가,20336,19937,40273
202101,1호선,종로3가,21554,19457,41011
202101,1호선,종각,30769,29606,60375
202101,1호선,시청,19094,18975,38069
202101,1호선,동묘앞,7289,7766,15055
202101,1호선,서울,36349,33357,69706
202101,1호선,청량리,18024,18168,36192
202101,1호선,제기동,16256,16723,32979
202101,1호선,신설동,12280,12243,24523
202101,1호선,동대문,9181,8744,17925
202101,1호선,종로5가,20186,19350,39536
202101,1호선,종로3가,19998,18420,38418
202101,1호선,종각,30791,29044,59835
202101,1호선,시청,19241,18950,38191
202101,1호선,동묘앞,6217,6576,12793
202101,1호선,서울,35657,33079,68736
202101,1호선,청량리,18921,18764,37685
202101,1호선,제기동,16336,16718,33054
202101,1호선,신설동,12666,12350,25016
202101,1호선,동대문,9616,8946,18562
202101,1호선,종로5가,19909,19723,39632
202101,1호선,종로3가,21314,19302,40616
202101,1호선,종각,30318,29133,59451
202101,1호선,시청,18889,18518,37407
202101,1호선,동묘앞,6777,7331,14108
202101,1호선,서울,37394,35627,73021
202101,1호선,서울,35849,33368,69217
202101,1호선,동묘앞,7272,7532,14804
202101,1호선,시청,19053,18942,37995
202101,1호선,종각,30742,29796,60538
202101,1호선,종로3가,21959,19737,41696
202101,1호선,종로5가,20481,20351,40832
202101,1호선,동대문,9682,9364,19046
202101,1호선,신설동,12860,12718,25578
202101,1호선,제기동,17863,18544,36407
202101,1호선,청량리,19598,19589,39187
202101,1호선,서울,35386,32816,68202
202101,1호선,동묘앞,5966,6188,12154
202101,1호선,시청,19303,19133,38436
202101,1호선,종각,30394,29353,59747
202101,1호선,종로3가,20304,18628,38932
202101,1호선,종로5가,20240,19516,39756
202101,1호선,동대문,9481,8940,18421
202101,1호선,신설동,12280,12153,24433
202101,1호선,제기동,15674,16084,31758
202101,1호선,청량리,17876,17930,35806
202101,1호선,서울,36691,33846,70537
202101,1호선,동묘앞,7559,8038,15597
202101,1호선,시청,19739,19591,39330
202101,1호선,종각,31665,30498,62163
202101,1호선,종로3가,22481,20393,42874
202101,1호선,종로5가,20913,20498,41411
202101,1호선,동대문,9995,9402,19397
202101,1호선,신설동,12951,12727,25678
202101,1호선,제기동,18874,19439,38313
202101,1호선,청량리,20522,20835,41357
202101,1호선,서울,36586,33774,70360
202101,1호선,동묘앞,5793,5973,11766
202101,1호선,시청,19302,19110,38412
202101,1호선,종각,30867,29479,60346
202101,1호선,종로3가,19129,17632,36761
202101,1호선,종로5가,19067,18835,37902
202101,1호선,동대문,9104,8569,17673
202101,1호선,신설동,12358,12451,24809
202101,1호선,제기동,14649,15061,29710
202101,1호선,청량리,17677,17623,35300
202101,1호선,서울,36778,34630,71408
202101,1호선,동묘앞,6146,6361,12507
202101,1호선,시청,18644,18458,37102
202101,1호선,종각,30401,28900,59301
202101,1호선,종로3가,19568,18067,37635
202101,1호선,종로5가,18631,18299,36930
202101,1호선,동대문,9219,8489,17708
202101,1호선,신설동,12527,12337,24864
202101,1호선,제기동,14158,14099,28257
202101,1호선,청량리,17185,17100,34285
202102,1호선,청량리,20132,20332,40464
202102,1호선,제기동,18424,19171,37595
202102,1호선,신설동,13013,12965,25978
202102,1호선,동대문,9591,9240,18831
202102,1호선,종로5가,20431,20110,40541
202102,1호선,종로3가,22240,20637,42877
202102,1호선,종각,31813,30478,62291
202102,1호선,시청,19064,18880,37944
202102,1호선,동묘앞,7095,7284,14379
202102,1호선,서울,35821,33113,68934
202102,1호선,청량리,18918,19196,38114
202102,1호선,제기동,16944,17633,34577
202102,1호선,신설동,12619,12613,25232
202102,1호선,동대문,9354,8740,18094
202102,1호선,종로5가,20386,20069,40455
202102,1호선,종로3가,21313,19569,40882
202102,1호선,종각,31758,30562,62320
202102,1호선,시청,19645,19198,38843
202102,1호선,동묘앞,6665,6866,13531
202102,1호선,서울,35334,32874,68208
202102,1호선,서울,37234,34051,71285
202102,1호선,동묘앞,7082,7448,14530
202102,1호선,시청,20070,19576,39646
202102,1호선,종각,33875,31527,65402
202102,1호선,종로3가,22745,20640,43385
202102,1호선,종로5가,20980,20280,41260
202102,1호선,동대문,9944,9308,19252
202102,1호선,신설동,13428,13055,26483
202102,1호선,제기동,18537,19191,37728
202102,1호선,청량리,20142,20435,40577
202102,1호선,서울,36600,34669,71269
202102,1호선,동묘앞,6451,6753,13204
202102,1호선,시청,19910,19632,39542
202102,1호선,종각,32092,30857,62949
202102,1호선,종로3가,21655,19569,41224
202102,1호선,종로5가,19989,19786,39775
202102,1호선,동대문,9518,8866,18384
202102,1호선,신설동,13101,12679,25780
202102,1호선,제기동,15903,16414,32317
202102,1호선,청량리,18720,18581,37301
202102,1호선,청량리,21179,21537,42716
202102,1호선,제기동,19687,20296,39983
202102,1호선,신설동,13449,13116,26565
202102,1호선,동대문,10290,9530,19820
202102,1호선,종로5가,21278,21165,42443
202102,1호선,종로3가,23432,21542,44974
202102,1호선,종각,32584,31196,63780
202102,1호선,시청,19676,19373,39049
202102,1호선,동묘앞,7544,7887,15431
202102,1호선,서울,38838,36842,75680
202102,1호선,서울,37150,35977,73127
202102,1호선,동묘앞,6687,6908,13595
202102,1호선,시청,19740,19369,39109
202102,1호선,종각,32246,30925,63171
202102,1호선,종로3가,22318,20602,42920
202102,1호선,종로5가,21185,20786,41971
202102,1호선,동대문,9914,9379,19293
202102,1호선,신설동,13139,13017,26156
202102,1호선,제기동,19057,19872,38929
202102,1호선,청량리,20946,21405,42351
202102,1호선,청량리,21703,21774,43477
202102,1호선,제기동,18943,19862,38805
202102,1호선,신설동,13327,12899,26226
202102,1호선,동대문,10423,9627,20050
202102,1호선,종로5가,21550,21142,42692
202102,1호선,종로3가,23176,20834,44010
202102,1호선,종각,32548,30943,63491
202102,1호선,시청,20063,19848,39911
202102,1호선,동묘앞,7481,7614,15095
202102,1호선,서울,36135,36127,72262
202102,1호선,서울,35214,36627,71841
202102,1호선,동묘앞,7503,7749,15252
202102,1호선,시청,18621,18084,36705
202102,1호선,종각,29115,26937,56052
202102,1호선,종로3가,22756,20327,43083
202102,1호선,종로5가,21363,20630,41993
202102,1호선,동대문,10160,9042,19202
202102,1호선,신설동,13099,12259,25358
202102,1호선,제기동,17597,18130,35727
202102,1호선,청량리,20949,21417,42366
202102,1호선,청량리,11403,11846,23249
202102,1호선,제기동,8574,8444,17018
202102,1호선,신설동,4937,4122,9059
202102,1호선,동대문,6710,6990,13700
202102,1호선,종로5가,7534,7472,15006
202102,1호선,종로3가,9476,8243,17719
202102,1호선,종각,7907,6986,14893
202102,1호선,시청,4187,3893,8080
202102,1호선,동묘앞,6611,6919,13530
202102,1호선,서울,14110,19009,33119
202102,1호선,서울,13174,12858,26032
202102,1호선,동묘앞,4168,4722,8890
202102,1호선,시청,3032,3020,6052
202102,1호선,종각,6732,6324,13056
