사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,안산선,산본,4196,4530,8726
202101,안산선,대야미,1445,1322,2767
202101,안산선,반월,1307,1311,2618
202101,안산선,상록수,4734,4921,9655
202101,안산선,한대앞,2416,2573,4989
202101,안산선,중앙,4962,5197,10159
202101,안산선,고잔,2051,1879,3930
202101,안산선,초지,1072,1214,2286
202101,안산선,안산,4941,5147,10088
202101,안산선,신길온천,525,499,1024
202101,안산선,정왕,2906,2759,5665
202101,안산선,오이도,3185,3299,6484
202101,안산선,수리산,1062,968,2030
202101,안산선,수리산,3503,2958,6461
202101,안산선,오이도,6491,6135,12626
202101,안산선,정왕,5993,6723,12716
202101,안산선,신길온천,1328,1226,2554
202101,안산선,안산,10028,8952,18980
202101,안산선,초지,3496,3567,7063
202101,안산선,한대앞,6587,6636,13223
202101,안산선,상록수,13086,13257,26343
202101,안산선,반월,3419,3295,6714
202101,안산선,대야미,3915,3653,7568
202101,안산선,산본,12625,13549,26174
202101,안산선,고잔,6987,6648,13635
202101,안산선,중앙,12631,12890,25521
202101,안산선,수리산,3573,2951,6524
202101,안산선,오이도,6402,6202,12604
202101,안산선,정왕,5864,6207,12071
202101,안산선,신길온천,1254,1146,2400
202101,안산선,안산,9797,8794,18591
202101,안산선,초지,3589,3674,7263
202101,안산선,고잔,6936,6663,13599
202101,안산선,중앙,12249,12628,24877
202101,안산선,한대앞,6488,6536,13024
202101,안산선,상록수,13068,13295,26363
202101,안산선,반월,3429,3260,6689
202101,안산선,대야미,3882,3557,7439
202101,안산선,산본,12497,13395,25892
202101,안산선,수리산,3487,3045,6532
202101,안산선,오이도,6560,6788,13348
202101,안산선,정왕,6192,6653,12845
202101,안산선,신길온천,1313,1223,2536
202101,안산선,안산,10222,8980,19202
202101,안산선,초지,3483,3641,7124
202101,안산선,고잔,7163,6857,14020
202101,안산선,중앙,12659,13272,25931
202101,안산선,한대앞,6572,6809,13381
202101,안산선,상록수,12898,13724,26622
202101,안산선,반월,3355,3355,6710
202101,안산선,대야미,3852,3603,7455
202101,안산선,산본,12728,14236,26964
202101,안산선,수리산,3872,3258,7130
202101,안산선,오이도,7731,7448,15179
202101,안산선,정왕,7120,7991,15111
202101,안산선,신길온천,1435,1327,2762
202101,안산선,안산,11556,11151,22707
202101,안산선,초지,4084,4120,8204
202101,안산선,고잔,8193,7862,16055
202101,안산선,중앙,14293,14545,28838
202101,안산선,한대앞,7576,7567,15143
202101,안산선,상록수,14392,14343,28735
202101,안산선,반월,3699,3631,7330
202101,안산선,대야미,4403,4043,8446
202101,안산선,산본,14573,15209,29782
202101,안산선,수리산,3465,2613,6078
202101,안산선,오이도,6621,6486,13107
202101,안산선,정왕,6342,6731,13073
202101,안산선,신길온천,1300,1200,2500
202101,안산선,안산,10290,9431,19721
202101,안산선,초지,3629,3687,7316
202101,안산선,고잔,7188,6816,14004
202101,안산선,중앙,12724,13600,26324
202101,안산선,한대앞,6697,6727,13424
202101,안산선,상록수,13153,13178,26331
202101,안산선,반월,3377,3161,6538
202101,안산선,대야미,3930,3537,7467
202101,안산선,산본,12718,11943,24661
202101,안산선,산본,12664,11627,24291
202101,안산선,대야미,3905,3595,7500
202101,안산선,반월,3452,3252,6704
202101,안산선,상록수,13095,13287,26382
202101,안산선,한대앞,6705,6770,13475
202101,안산선,중앙,13005,13367,26372
202101,안산선,고잔,7180,6834,14014
202101,안산선,수리산,3437,2847,6284
202101,안산선,오이도,6583,6328,12911
202101,안산선,정왕,6041,6720,12761
202101,안산선,신길온천,1297,1189,2486
202101,안산선,안산,10185,9230,19415
202101,안산선,초지,3620,3658,7278
202101,안산선,수리산,3714,3217,6931
202101,안산선,오이도,7479,7369,14848
202101,안산선,정왕,7293,7033,14326
202101,안산선,신길온천,1524,1310,2834
202101,안산선,안산,11709,9415,21124
202101,안산선,초지,3854,3943,7797
202101,안산선,고잔,7677,7229,14906
202101,안산선,중앙,13655,14541,28196
202101,안산선,한대앞,7073,7353,14426
202101,안산선,상록수,13498,14493,27991
202101,안산선,반월,3530,3639,7169
202101,안산선,대야미,4063,3902,7965
202101,안산선,산본,13238,12477,25715
202101,안산선,산본,14059,12181,26240
202101,안산선,대야미,4342,3827,8169
202101,안산선,반월,3725,3576,7301
202101,안산선,상록수,13977,13932,27909
202101,안산선,한대앞,7304,7249,14553
202101,안산선,중앙,13893,14387,28280
202101,안산선,고잔,7750,7654,15404
202101,안산선,초지,3914,3978,7892
202101,안산선,안산,10595,10158,20753
202101,안산선,신길온천,1382,1377,2759
202101,안산선,정왕,6460,7592,14052
202101,안산선,오이도,7424,7074,14498
202101,안산선,수리산,3871,3082,6953
202101,안산선,산본,13366,13557,26923
202101,안산선,대야미,4099,3752,7851
202101,안산선,반월,3606,3448,7054
202101,안산선,상록수,13622,13735,27357
202101,안산선,한대앞,7205,7124,14329
202101,안산선,중앙,13355,13889,27244
202101,안산선,고잔,7372,7067,14439
202101,안산선,초지,3795,3888,7683
202101,안산선,안산,10379,9329,19708
202101,안산선,신길온천,1374,1304,2678
202101,안산선,정왕,6111,6720,12831
202101,안산선,오이도,6859,6752,13611
202101,안산선,수리산,3616,3031,6647
202101,안산선,산본,13389,14825,28214
202101,안산선,대야미,4194,3699,7893
202101,안산선,반월,3558,3437,6995
202101,안산선,상록수,13768,13959,27727
202101,안산선,한대앞,7310,7196,14506
202101,안산선,중앙,13701,14830,28531
202101,안산선,고잔,7526,7151,14677
202101,안산선,초지,3920,3943,7863
202101,안산선,안산,10603,9577,20180
202101,안산선,신길온천,1456,1326,2782
202101,안산선,정왕,6780,7136,13916
202101,안산선,오이도,7114,6851,13965
202101,안산선,수리산,3544,2824,6368
202101,안산선,안산,11069,10307,21376
202101,안산선,초지,3900,3955,7855
202101,안산선,고잔,8116,7666,15782
202101,안산선,중앙,14565,14965,29530
202101,안산선,한대앞,7519,7427,14946
202101,안산선,상록수,14174,14261,28435
202101,안산선,반월,3714,3544,7258
202101,안산선,대야미,4209,3886,8095
202101,안산선,산본,14048,15268,29316
202101,안산선,수리산,3741,3062,6803
202101,안산선,신길온천,1497,1285,2782
202101,안산선,정왕,6839,7598,14437
202101,안산선,오이도,7439,7054,14493
202101,안산선,산본,13155,14135,27290
202101,안산선,대야미,3979,3641,7620
202101,안산선,반월,3533,3426,6959
202101,안산선,상록수,13487,13732,27219
202101,안산선,한대앞,6826,6916,13742
202101,안산선,중앙,13597,14024,27621
202101,안산선,고잔,7247,6994,14241
202101,안산선,초지,3816,3853,7669
202101,안산선,안산,10410,9112,19522
202101,안산선,신길온천,1341,1226,2567
202101,안산선,정왕,6192,6589,12781
202101,안산선,오이도,6698,6500,13198
202101,안산선,수리산,3563,2917,6480
202101,안산선,수리산,3812,3103,6915
202101,안산선,오이도,7235,7000,14235
202101,안산선,정왕,6513,7019,13532
202101,안산선,신길온천,1450,1312,2762
202101,안산선,안산,10666,9571,20237
202101,안산선,초지,4042,4073,8115
202101,안산선,고잔,7686,7362,15048
202101,안산선,중앙,14518,15009,29527
202101,안산선,한대앞,7284,7330,14614
202101,안산선,상록수,14196,14447,28643
202101,안산선,반월,3728,3615,7343
202101,안산선,대야미,4332,3950,8282
202101,안산선,산본,14052,15129,29181
202101,안산선,수리산,3656,3001,6657
202101,안산선,오이도,6825,6612,13437
202101,안산선,정왕,6196,6687,12883
202101,안산선,신길온천,1373,1281,2654
202101,안산선,안산,10071,9026,19097
202101,안산선,초지,3790,3872,7662
202101,안산선,고잔,7363,7108,14471
202101,안산선,중앙,13694,14219,27913
202101,안산선,한대앞,6920,6985,13905
202101,안산선,상록수,13766,13955,27721
202101,안산선,반월,3653,3524,7177
202101,안산선,대야미,4072,3722,7794
202101,안산선,산본,13626,14497,28123
202101,안산선,수리산,3709,2974,6683
202101,안산선,오이도,7389,7173,14562
202101,안산선,정왕,7592,7720,15312
202101,안산선,신길온천,1424,1304,2728
