사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,1호선,청량리,6411,6535,12946
20210101,1호선,제기동,4525,4467,8992
20210101,1호선,신설동,3367,3017,6384
20210101,1호선,동대문,3971,3799,7770
20210101,1호선,종로5가,3700,3698,7398
20210101,1호선,종로3가,5502,4910,10412
20210101,1호선,종각,5637,4936,10573
20210101,1호선,시청,2906,2654,5560
20210101,1호선,동묘앞,4153,4491,8644
20210101,1호선,서울,9260,9858,19118
20210104,1호선,시청,17440,17172,34612
20210104,1호선,동묘앞,5952,6285,12237
20210104,1호선,서울,32167,28808,60975
20210104,1호선,종각,28072,26887,54959
20210104,1호선,종로3가,18610,16877,35487
20210104,1호선,종로5가,18488,18502,36990
20210104,1호선,동대문,8363,8135,16498
20210104,1호선,신설동,11593,11379,22972
20210104,1호선,제기동,15093,15684,30777
20210104,1호선,청량리,17308,17335,34643
20210105,1호선,서울,30857,28197,59054
20210105,1호선,청량리,16853,16853,33706
20210105,1호선,제기동,14429,14953,29382
20210105,1호선,신설동,11176,11244,22420
20210105,1호선,동대문,8704,8287,16991
20210105,1호선,종로5가,18556,18176,36732
20210105,1호선,종로3가,17682,16275,33957
20210105,1호선,종각,27272,26181,53453
20210105,1호선,시청,17251,16970,34221
20210105,1호선,동묘앞,5931,6084,12015
20210106,1호선,청량리,15753,15659,31412
20210106,1호선,제기동,13233,13578,26811
20210106,1호선,신설동,11343,11198,22541
20210106,1호선,동대문,8758,8136,16894
20210106,1호선,종로5가,17635,16879,34514
20210106,1호선,종로3가,17576,15701,33277
20210106,1호선,종각,28283,25287,53570
20210106,1호선,시청,17266,16278,33544
20210106,1호선,동묘앞,5887,6065,11952
20210106,1호선,서울,31582,28321,59903
20210107,1호선,서울,32384,30004,62388
20210107,1호선,동묘앞,4708,4986,9694
20210107,1호선,시청,17188,16352,33540
20210107,1호선,종각,27102,24862,51964
20210107,1호선,종로3가,15920,14660,30580
20210107,1호선,종로5가,16044,15671,31715
20210107,1호선,동대문,8169,7473,15642
20210107,1호선,신설동,11098,10668,21766
20210107,1호선,제기동,10743,10699,21442
20210107,1호선,청량리,13999,13771,27770
20210108,1호선,서울,32133,30399,62532
20210108,1호선,동묘앞,4703,4819,9522
20210108,1호선,시청,16395,15498,31893
20210108,1호선,종각,26279,24758,51037
20210108,1호선,종로3가,15478,14124,29602
20210108,1호선,종로5가,15304,14973,30277
20210108,1호선,동대문,7918,7246,15164
20210108,1호선,신설동,10400,10252,20652
20210108,1호선,제기동,10725,10660,21385
20210108,1호선,청량리,13552,13556,27108
20210111,1호선,서울,32106,29674,61780
20210111,1호선,동묘앞,5647,5891,11538
20210111,1호선,시청,17316,17089,34405
20210111,1호선,종각,27410,26373,53783
20210111,1호선,종로3가,18093,16350,34443
20210111,1호선,종로5가,18067,17964,36031
20210111,1호선,동대문,8672,8262,16934
20210111,1호선,신설동,11486,11301,22787
20210111,1호선,제기동,13734,14038,27772
20210111,1호선,청량리,16326,16279,32605
20210112,1호선,서울,34716,31369,66085
20210112,1호선,동묘앞,6313,6474,12787
20210112,1호선,시청,18766,17794,36560
20210112,1호선,종각,30967,27340,58307
20210112,1호선,종로3가,19430,16990,36420
20210112,1호선,종로5가,20653,18701,39354
20210112,1호선,동대문,9392,8885,18277
20210112,1호선,신설동,12094,11642,23736
20210112,1호선,제기동,15722,16023,31745
20210112,1호선,청량리,17737,17861,35598
20210113,1호선,청량리,17555,17308,34863
20210113,1호선,제기동,14784,15337,30121
20210113,1호선,신설동,11904,11671,23575
20210113,1호선,동대문,9194,8848,18042
20210113,1호선,종로5가,18916,18877,37793
20210113,1호선,종로3가,19642,17760,37402
20210113,1호선,종각,28410,27703,56113
20210113,1호선,시청,17507,17552,35059
20210113,1호선,동묘앞,6601,6861,13462
20210113,1호선,서울,33699,31454,65153
20210114,1호선,동대문,9342,8827,18169
20210114,1호선,서울,33817,31496,65313
20210114,1호선,동묘앞,6863,7236,14099
20210114,1호선,시청,17759,17559,35318
20210114,1호선,종각,28200,27207,55407
20210114,1호선,종로3가,19943,18011,37954
20210114,1호선,종로5가,19593,19464,39057
20210114,1호선,신설동,11813,11715,23528
20210114,1호선,제기동,17037,17723,34760
20210114,1호선,청량리,18742,18839,37581
20210115,1호선,청량리,18265,18272,36537
20210115,1호선,제기동,15944,16259,32203
20210115,1호선,신설동,11953,11722,23675
20210115,1호선,동대문,9299,8656,17955
20210115,1호선,종로5가,19073,18744,37817
20210115,1호선,종로3가,19612,17902,37514
20210115,1호선,종각,28526,27156,55682
20210115,1호선,시청,18008,17846,35854
20210115,1호선,동묘앞,6189,6512,12701
20210115,1호선,서울,35401,33855,69256
20210118,1호선,청량리,16659,16501,33160
20210118,1호선,제기동,14039,14387,28426
20210118,1호선,신설동,11953,11996,23949
20210118,1호선,동대문,8798,8536,17334
20210118,1호선,종로5가,18497,18228,36725
20210118,1호선,종로3가,18843,17201,36044
20210118,1호선,종각,30061,28668,58729
20210118,1호선,시청,18435,18147,36582
20210118,1호선,동묘앞,5653,5857,11510
20210118,1호선,서울,35369,32561,67930
20210119,1호선,동대문,8872,8204,17076
20210119,1호선,서울,33685,31254,64939
20210119,1호선,동묘앞,6204,6436,12640
20210119,1호선,시청,18403,18151,36554
20210119,1호선,종각,29219,28061,57280
20210119,1호선,종로3가,18808,16901,35709
20210119,1호선,종로5가,18428,18045,36473
20210119,1호선,신설동,11931,11735,23666
20210119,1호선,제기동,13976,14237,28213
20210119,1호선,청량리,16430,16620,33050
20210120,1호선,청량리,19649,19521,39170
20210120,1호선,제기동,17351,17984,35335
