사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,경강선,판교,738,645,1383
20210101,경강선,이매,268,182,450
20210101,경강선,삼동,383,423,806
20210101,경강선,경기광주,1614,1685,3299
20210101,경강선,초월,766,713,1479
20210101,경강선,곤지암,666,656,1322
20210101,경강선,신둔도예촌,302,323,625
20210101,경강선,이천,926,988,1914
20210101,경강선,부발,664,559,1223
20210101,경강선,세종대왕릉,121,111,232
20210101,경강선,여주,750,770,1520
20210104,경강선,여주,1236,1207,2443
20210104,경강선,세종대왕릉,207,186,393
20210104,경강선,부발,1178,1259,2437
20210104,경강선,이천,1717,1838,3555
20210104,경강선,신둔도예촌,899,868,1767
20210104,경강선,곤지암,1529,1478,3007
20210104,경강선,초월,2325,2290,4615
20210104,경강선,경기광주,5277,5193,10470
20210104,경강선,삼동,1907,1765,3672
20210104,경강선,이매,809,699,1508
20210104,경강선,판교,3484,3306,6790
20210105,경강선,여주,1136,1189,2325
20210105,경강선,세종대왕릉,184,198,382
20210105,경강선,부발,1220,1161,2381
20210105,경강선,이천,1644,1741,3385
20210105,경강선,신둔도예촌,875,806,1681
20210105,경강선,곤지암,1490,1439,2929
20210105,경강선,초월,2308,2299,4607
20210105,경강선,경기광주,5377,5181,10558
20210105,경강선,삼동,1764,1704,3468
20210105,경강선,이매,818,685,1503
20210105,경강선,판교,3472,3278,6750
20210106,경강선,여주,1115,1109,2224
20210106,경강선,세종대왕릉,186,164,350
20210106,경강선,부발,1251,1254,2505
20210106,경강선,이천,1639,1736,3375
20210106,경강선,신둔도예촌,827,790,1617
20210106,경강선,곤지암,1479,1457,2936
20210106,경강선,초월,2383,2626,5009
20210106,경강선,경기광주,5341,6223,11564
20210106,경강선,삼동,2094,2376,4470
20210106,경강선,이매,838,738,1576
20210106,경강선,판교,3787,3342,7129
20210107,경강선,여주,1228,1277,2505
20210107,경강선,세종대왕릉,193,180,373
20210107,경강선,부발,1627,1637,3264
20210107,경강선,이천,2148,2272,4420
20210107,경강선,신둔도예촌,1025,953,1978
20210107,경강선,곤지암,1879,2025,3904
20210107,경강선,초월,3534,3736,7270
20210107,경강선,경기광주,8619,8856,17475
20210107,경강선,삼동,3946,3963,7909
20210107,경강선,이매,1219,991,2210
20210107,경강선,판교,4759,5316,10075
20210108,경강선,판교,3989,4061,8050
20210108,경강선,이매,957,815,1772
20210108,경강선,삼동,2425,2207,4632
20210108,경강선,경기광주,6686,6365,13051
20210108,경강선,초월,2865,2649,5514
20210108,경강선,곤지암,1736,1666,3402
20210108,경강선,신둔도예촌,986,938,1924
20210108,경강선,이천,2032,2131,4163
20210108,경강선,부발,1955,1368,3323
20210108,경강선,세종대왕릉,214,179,393
20210108,경강선,여주,1303,1350,2653
20210111,경강선,판교,3743,3564,7307
20210111,경강선,이매,842,732,1574
20210111,경강선,삼동,2161,1872,4033
20210111,경강선,경기광주,5692,5599,11291
20210111,경강선,초월,2436,2397,4833
20210111,경강선,곤지암,1522,1545,3067
20210111,경강선,신둔도예촌,900,847,1747
20210111,경강선,이천,1785,1898,3683
20210111,경강선,부발,1242,1304,2546
20210111,경강선,세종대왕릉,190,182,372
20210111,경강선,여주,1188,1135,2323
20210112,경강선,여주,1287,1216,2503
20210112,경강선,세종대왕릉,218,204,422
20210112,경강선,부발,1904,1285,3189
20210112,경강선,이천,1949,1954,3903
20210112,경강선,신둔도예촌,1002,892,1894
20210112,경강선,곤지암,1865,1638,3503
20210112,경강선,초월,2837,3017,5854
20210112,경강선,경기광주,6379,7632,14011
20210112,경강선,삼동,2214,2927,5141
20210112,경강선,이매,905,880,1785
20210112,경강선,판교,4839,3649,8488
20210113,경강선,여주,1284,1277,2561
20210113,경강선,세종대왕릉,187,199,386
20210113,경강선,부발,1341,1392,2733
20210113,경강선,이천,1871,2058,3929
20210113,경강선,신둔도예촌,962,919,1881
20210113,경강선,곤지암,1717,1794,3511
20210113,경강선,초월,2725,2586,5311
20210113,경강선,경기광주,6406,5768,12174
20210113,경강선,삼동,2229,2022,4251
20210113,경강선,이매,940,778,1718
20210113,경강선,판교,3711,3879,7590
20210114,경강선,판교,3720,3553,7273
20210114,경강선,이매,840,748,1588
20210114,경강선,삼동,1993,1872,3865
20210114,경강선,경기광주,5938,5691,11629
20210114,경강선,초월,2515,2434,4949
20210114,경강선,곤지암,1603,1562,3165
20210114,경강선,신둔도예촌,971,921,1892
20210114,경강선,이천,1824,1892,3716
20210114,경강선,부발,1439,1266,2705
20210114,경강선,세종대왕릉,211,205,416
20210114,경강선,여주,1302,1274,2576
20210115,경강선,판교,3764,3623,7387
20210115,경강선,이매,870,769,1639
20210115,경강선,삼동,2039,1888,3927
20210115,경강선,경기광주,5935,5712,11647
20210115,경강선,초월,2562,2413,4975
20210115,경강선,곤지암,1774,1612,3386
20210115,경강선,신둔도예촌,1073,954,2027
20210115,경강선,이천,2057,2164,4221
20210115,경강선,부발,1950,1445,3395
20210115,경강선,세종대왕릉,228,213,441
20210115,경강선,여주,1360,1508,2868
20210118,경강선,여주,1420,1393,2813
20210118,경강선,세종대왕릉,203,186,389
20210118,경강선,부발,1442,1542,2984
20210118,경강선,이천,2110,2196,4306
20210118,경강선,신둔도예촌,996,985,1981
20210118,경강선,곤지암,1692,1716,3408
20210118,경강선,초월,2813,2750,5563
20210118,경강선,경기광주,6437,6193,12630
20210118,경강선,삼동,2235,2086,4321
20210118,경강선,이매,972,821,1793
20210118,경강선,판교,4025,3930,7955
20210119,경강선,판교,3807,3650,7457
20210119,경강선,이매,857,728,1585
20210119,경강선,삼동,1976,1921,3897
20210119,경강선,경기광주,5853,5657,11510
20210119,경강선,초월,2541,2432,4973
20210119,경강선,곤지암,1630,1554,3184
20210119,경강선,신둔도예촌,915,858,1773
20210119,경강선,이천,1842,1973,3815
20210119,경강선,부발,1263,1293,2556
20210119,경강선,세종대왕릉,192,189,381
20210119,경강선,여주,1244,1242,2486
20210120,경강선,여주,1355,1395,2750
20210120,경강선,세종대왕릉,223,214,437
20210120,경강선,부발,1396,1361,2757
20210120,경강선,이천,1914,2052,3966
20210120,경강선,신둔도예촌,996,938,1934
20210120,경강선,곤지암,1711,1668,3379
20210120,경강선,초월,2602,2472,5074
20210120,경강선,경기광주,5951,5884,11835
20210120,경강선,삼동,2102,1927,4029
20210120,경강선,이매,845,778,1623
20210120,경강선,판교,3860,3659,7519
20210121,경강선,여주,1346,1337,2683
20210121,경강선,세종대왕릉,203,181,384
20210121,경강선,부발,1382,1312,2694
20210121,경강선,이천,1925,1993,3918
20210121,경강선,신둔도예촌,963,884,1847
20210121,경강선,곤지암,1614,1581,3195
20210121,경강선,초월,2564,2460,5024
20210121,경강선,경기광주,5873,5794,11667
20210121,경강선,삼동,2044,1992,4036
20210121,경강선,이매,867,786,1653
20210121,경강선,판교,3886,3769,7655
20210122,경강선,여주,1504,1609,3113
20210122,경강선,세종대왕릉,247,224,471
20210122,경강선,부발,1925,1449,3374
20210122,경강선,이천,2194,2338,4532
20210122,경강선,신둔도예촌,1068,1000,2068
20210122,경강선,곤지암,1876,1761,3637
20210122,경강선,초월,2670,2533,5203
20210122,경강선,경기광주,6255,5916,12171
20210122,경강선,삼동,2088,1925,4013
20210122,경강선,이매,912,755,1667
20210122,경강선,판교,4003,3819,7822
20210125,경강선,판교,4002,3802,7804
20210125,경강선,이매,925,782,1707
20210125,경강선,삼동,2127,2035,4162
20210125,경강선,경기광주,6149,5962,12111
20210125,경강선,초월,2675,2614,5289
20210125,경강선,곤지암,1698,1626,3324
20210125,경강선,신둔도예촌,950,932,1882
20210125,경강선,이천,2126,2192,4318
20210125,경강선,부발,1293,1433,2726
20210125,경강선,세종대왕릉,221,217,438
20210125,경강선,여주,1633,1584,3217
20210126,경강선,판교,3966,3768,7734
20210126,경강선,이매,909,779,1688
20210126,경강선,삼동,2061,1990,4051
20210126,경강선,경기광주,6009,5840,11849
20210126,경강선,초월,2537,2509,5046
20210126,경강선,곤지암,1670,1635,3305
20210126,경강선,신둔도예촌,985,960,1945
20210126,경강선,이천,2006,2087,4093
20210126,경강선,부발,1353,1381,2734
20210126,경강선,세종대왕릉,229,211,440
20210126,경강선,여주,1353,1317,2670
20210127,경강선,판교,3995,3882,7877
20210127,경강선,이매,902,765,1667
20210127,경강선,삼동,2096,1970,4066
20210127,경강선,경기광주,6252,6055,12307
20210127,경강선,초월,2709,2625,5334
20210127,경강선,곤지암,1770,1694,3464
20210127,경강선,신둔도예촌,988,913,1901
20210127,경강선,이천,2035,2180,4215
20210127,경강선,부발,1428,1383,2811
20210127,경강선,세종대왕릉,231,229,460
20210127,경강선,여주,1467,1482,2949
20210128,경강선,판교,4083,3809,7892
20210128,경강선,이매,924,798,1722
20210128,경강선,삼동,2143,2036,4179
20210128,경강선,경기광주,6071,5868,11939
20210128,경강선,초월,2567,2563,5130
20210128,경강선,곤지암,1691,1613,3304
20210128,경강선,신둔도예촌,982,933,1915
20210128,경강선,이천,2020,2105,4125
20210128,경강선,부발,1464,1395,2859
20210128,경강선,세종대왕릉,227,218,445
20210128,경강선,여주,1319,1373,2692
20210129,경강선,판교,3963,3773,7736
20210129,경강선,이매,859,722,1581
20210129,경강선,삼동,2007,1853,3860
20210129,경강선,경기광주,5995,5724,11719
20210129,경강선,초월,2641,2523,5164
20210129,경강선,곤지암,1794,1618,3412
20210129,경강선,신둔도예촌,1112,994,2106
20210129,경강선,이천,2161,2262,4423
20210129,경강선,부발,1945,1395,3340
20210129,경강선,세종대왕릉,216,224,440
20210129,경강선,여주,1381,1415,2796
20210201,경강선,여주,1402,1389,2791
20210201,경강선,세종대왕릉,248,211,459
20210201,경강선,부발,1313,1375,2688
20210201,경강선,이천,2053,2170,4223
20210201,경강선,신둔도예촌,1011,994,2005
20210201,경강선,곤지암,1719,1693,3412
20210201,경강선,초월,2673,2616,5289
20210201,경강선,경기광주,6195,6033,12228
20210201,경강선,삼동,2106,2033,4139
20210201,경강선,이매,929,754,1683
20210201,경강선,판교,4035,3858,7893
20210202,경강선,여주,1370,1350,2720
20210202,경강선,세종대왕릉,206,202,408
20210202,경강선,부발,1306,1332,2638
20210202,경강선,이천,1975,2097,4072
20210202,경강선,신둔도예촌,1002,960,1962
20210202,경강선,곤지암,1749,1601,3350
