사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,경부선,서울,1363,520,1883
20210101,경부선,남영,2043,1986,4029
20210101,경부선,용산,10812,12323,23135
20210101,경부선,노량진,3362,3143,6505
20210101,경부선,대방,2717,2671,5388
20210101,경부선,영등포,13323,13885,27208
20210101,경부선,신도림,944,885,1829
20210101,경부선,신길,2502,2072,4574
20210101,경부선,구로,4952,5190,10142
20210101,경부선,가산디지털단지,2239,3083,5322
20210101,경부선,금천구청,3031,3037,6068
20210101,경부선,석수,2443,2382,4825
20210101,경부선,관악,2112,2046,4158
20210101,경부선,안양,6256,6440,12696
20210101,경부선,명학,1756,1683,3439
20210101,경부선,금정,6731,6792,13523
20210101,경부선,군포,1786,1591,3377
20210101,경부선,의왕,2167,2123,4290
20210101,경부선,성균관대,3578,3646,7224
20210101,경부선,화서,1715,1771,3486
20210101,경부선,수원,13351,14446,27797
20210101,경부선,독산,3029,3017,6046
20210101,경부선,세류,1018,990,2008
20210101,경부선,병점,4195,4293,8488
20210101,경부선,세마,748,700,1448
20210101,경부선,오산대,979,871,1850
20210101,경부선,오산,3992,3831,7823
20210101,경부선,진위,444,391,835
20210101,경부선,송탄,1869,1683,3552
20210101,경부선,서정리,2276,1967,4243
20210101,경부선,지제,862,923,1785
20210101,경부선,평택,5087,5111,10198
20210101,경부선,성환,1289,1156,2445
20210101,경부선,직산,279,258,537
20210101,경부선,두정,2101,2111,4212
20210101,경부선,천안,2302,2505,4807
20210101,경부선,당정,1389,1394,2783
20210101,경부선,서동탄,313,327,640
20210101,경부선,광명,686,688,1374
20210104,경부선,가산디지털단지,15515,18128,33643
20210104,경부선,구로,15065,15053,30118
20210104,경부선,신길,7785,6565,14350
20210104,경부선,신도림,3353,3341,6694
20210104,경부선,영등포,28316,28598,56914
20210104,경부선,대방,10516,10932,21448
20210104,경부선,노량진,5832,6283,12115
20210104,경부선,용산,22953,22523,45476
20210104,경부선,남영,7566,8028,15594
20210104,경부선,서울,3576,1108,4684
20210104,경부선,금천구청,9578,9570,19148
20210104,경부선,석수,8309,7392,15701
20210104,경부선,관악,5898,5507,11405
20210104,경부선,안양,16465,16613,33078
20210104,경부선,명학,7801,7762,15563
20210104,경부선,금정,21251,22229,43480
20210104,경부선,군포,6535,6773,13308
20210104,경부선,의왕,7220,7256,14476
20210104,경부선,성균관대,10909,11026,21935
20210104,경부선,화서,5959,5765,11724
20210104,경부선,수원,23837,24667,48504
20210104,경부선,독산,14763,15759,30522
20210104,경부선,세류,2379,2208,4587
20210104,경부선,병점,10067,9990,20057
20210104,경부선,세마,1916,1756,3672
20210104,경부선,오산대,2300,2120,4420
20210104,경부선,오산,6894,7124,14018
20210104,경부선,진위,1232,1107,2339
20210104,경부선,송탄,3104,3005,6109
20210104,경부선,서정리,4237,4415,8652
20210104,경부선,지제,2109,1929,4038
20210104,경부선,평택,8357,8055,16412
20210104,경부선,성환,2329,2429,4758
20210104,경부선,직산,527,533,1060
20210104,경부선,두정,3724,3702,7426
20210104,경부선,천안,3348,3439,6787
20210104,경부선,당정,4908,4740,9648
20210104,경부선,서동탄,1211,995,2206
20210104,경부선,광명,2525,2122,4647
20210105,경부선,광명,2215,1992,4207
20210105,경부선,서동탄,1233,984,2217
20210105,경부선,당정,4771,4616,9387
20210105,경부선,천안,3197,3259,6456
20210105,경부선,두정,3608,3585,7193
20210105,경부선,직산,502,538,1040
20210105,경부선,성환,2246,2322,4568
20210105,경부선,평택,7823,7692,15515
20210105,경부선,지제,2012,1862,3874
20210105,경부선,서정리,4255,4052,8307
20210105,경부선,송탄,2935,2885,5820
20210105,경부선,진위,1207,1080,2287
20210105,경부선,오산,6594,6742,13336
20210105,경부선,오산대,2309,2075,4384
20210105,경부선,세마,1846,1763,3609
20210105,경부선,병점,9952,9820,19772
20210105,경부선,세류,2246,2116,4362
20210105,경부선,독산,14695,15717,30412
20210105,경부선,수원,22993,24126,47119
20210105,경부선,화서,5765,5641,11406
20210105,경부선,성균관대,10783,10751,21534
20210105,경부선,의왕,7238,7200,14438
20210105,경부선,군포,6673,6639,13312
20210105,경부선,금정,21370,22013,43383
20210105,경부선,명학,7773,7800,15573
20210105,경부선,안양,16272,16439,32711
20210105,경부선,관악,5760,5386,11146
20210105,경부선,석수,8335,7418,15753
20210105,경부선,금천구청,9584,9457,19041
20210105,경부선,가산디지털단지,15011,17810,32821
20210105,경부선,구로,15267,15502,30769
20210105,경부선,신길,7511,6355,13866
20210105,경부선,신도림,3154,3036,6190
20210105,경부선,영등포,28018,28887,56905
20210105,경부선,대방,10400,10810,21210
20210105,경부선,노량진,5884,6335,12219
20210105,경부선,용산,22029,22110,44139
20210105,경부선,남영,7431,7851,15282
20210105,경부선,서울,2671,997,3668
20210106,경부선,광명,2601,2448,5049
20210106,경부선,서동탄,1193,1084,2277
20210106,경부선,당정,4978,4991,9969
20210106,경부선,천안,3122,3262,6384
20210106,경부선,두정,3586,3690,7276
20210106,경부선,직산,557,556,1113
20210106,경부선,성환,2252,2274,4526
20210106,경부선,평택,7760,7615,15375
20210106,경부선,지제,2027,1913,3940
20210106,경부선,서정리,4210,4092,8302
20210106,경부선,송탄,2906,2852,5758
20210106,경부선,진위,1264,1068,2332
20210106,경부선,오산,6966,6968,13934
20210106,경부선,오산대,2359,2105,4464
20210106,경부선,세마,1971,1897,3868
20210106,경부선,병점,9801,10110,19911
20210106,경부선,세류,2322,2295,4617
20210106,경부선,독산,16220,16533,32753
20210106,경부선,수원,23603,25486,49089
20210106,경부선,화서,5679,6609,12288
20210106,경부선,성균관대,10905,12721,23626
20210106,경부선,의왕,7132,7443,14575
20210106,경부선,군포,6873,6757,13630
20210106,경부선,금정,21916,23064,44980
20210106,경부선,명학,7949,7827,15776
20210106,경부선,안양,16584,17429,34013
20210106,경부선,관악,5986,5843,11829
20210106,경부선,석수,8802,7972,16774
20210106,경부선,금천구청,9986,10640,20626
20210106,경부선,가산디지털단지,16786,17813,34599
20210106,경부선,구로,16368,16044,32412
20210106,경부선,신길,7680,6739,14419
