사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,경원선,이촌,828,637,1465
20210101,경원선,서빙고,427,365,792
20210101,경원선,한남,1014,929,1943
20210101,경원선,옥수,9,18,27
20210101,경원선,응봉,550,475,1025
20210101,경원선,왕십리,4224,5014,9238
20210101,경원선,청량리,4434,5033,9467
20210101,경원선,외대앞,2275,2208,4483
20210101,경원선,신이문,2439,2308,4747
20210101,경원선,석계,2415,2556,4971
20210101,경원선,광운대,2238,2262,4500
20210101,경원선,월계,1949,1895,3844
20210101,경원선,녹천,1461,1203,2664
20210101,경원선,방학,3024,2933,5957
20210101,경원선,도봉,1805,1765,3570
20210101,경원선,도봉산,4159,2890,7049
20210101,경원선,망월사,2131,2236,4367
20210101,경원선,회룡,3280,3378,6658
20210101,경원선,의정부,6357,6358,12715
20210101,경원선,가능,2071,2035,4106
20210101,경원선,녹양,1302,1307,2609
20210101,경원선,양주,2221,2255,4476
20210101,경원선,덕계,739,779,1518
20210101,경원선,덕정,1625,1606,3231
20210101,경원선,지행,2089,2102,4191
20210101,경원선,동두천중앙,1108,1154,2262
20210101,경원선,보산,700,762,1462
20210101,경원선,동두천,568,714,1282
20210101,경원선,소요산,1555,1447,3002
20210104,경원선,이촌,2963,2349,5312
20210104,경원선,서빙고,1472,1315,2787
20210104,경원선,한남,3347,3113,6460
20210104,경원선,옥수,40,21,61
20210104,경원선,응봉,1445,1234,2679
20210104,경원선,왕십리,9930,11608,21538
20210104,경원선,청량리,10469,11256,21725
20210104,경원선,외대앞,5579,5783,11362
20210104,경원선,신이문,7280,6827,14107
20210104,경원선,석계,6510,7654,14164
20210104,경원선,광운대,6462,6155,12617
20210104,경원선,월계,4980,4821,9801
20210104,경원선,녹천,3976,3381,7357
20210104,경원선,창동,1,0,1
20210104,경원선,방학,7765,7634,15399
20210104,경원선,도봉,4923,4818,9741
20210104,경원선,도봉산,6171,3679,9850
20210104,경원선,망월사,5583,5797,11380
20210104,경원선,회룡,9958,9798,19756
20210104,경원선,의정부,14011,14209,28220
20210104,경원선,가능,5143,5026,10169
20210104,경원선,녹양,3672,3515,7187
20210104,경원선,양주,5924,5566,11490
20210104,경원선,덕계,2163,1894,4057
20210104,경원선,덕정,4249,4198,8447
20210104,경원선,지행,4933,4817,9750
20210104,경원선,동두천중앙,2470,2352,4822
20210104,경원선,보산,1153,1024,2177
20210104,경원선,동두천,1487,1722,3209
20210104,경원선,소요산,1864,1589,3453
20210105,경원선,소요산,1771,1504,3275
20210105,경원선,동두천,1502,1665,3167
20210105,경원선,보산,1065,981,2046
20210105,경원선,동두천중앙,2430,2353,4783
20210105,경원선,지행,4780,4667,9447
20210105,경원선,덕정,4085,4134,8219
20210105,경원선,덕계,2158,1955,4113
20210105,경원선,양주,5886,5575,11461
20210105,경원선,녹양,3640,3514,7154
20210105,경원선,가능,5102,4951,10053
20210105,경원선,의정부,14035,14017,28052
20210105,경원선,회룡,9976,9908,19884
20210105,경원선,망월사,5589,5786,11375
20210105,경원선,도봉산,5975,3515,9490
20210105,경원선,도봉,4914,4775,9689
20210105,경원선,방학,7623,7539,15162
20210105,경원선,녹천,3938,3333,7271
20210105,경원선,월계,4949,4709,9658
20210105,경원선,광운대,6370,6153,12523
20210105,경원선,석계,6452,7443,13895
20210105,경원선,신이문,7275,6784,14059
20210105,경원선,외대앞,5605,5636,11241
20210105,경원선,청량리,10667,11196,21863
20210105,경원선,왕십리,9691,11144,20835
20210105,경원선,응봉,1417,1265,2682
20210105,경원선,옥수,32,26,58
20210105,경원선,한남,3347,3117,6464
20210105,경원선,서빙고,1434,1331,2765
20210105,경원선,이촌,2892,2236,5128
20210106,경원선,소요산,1511,1305,2816
20210106,경원선,동두천,1340,1640,2980
20210106,경원선,보산,1047,1035,2082
20210106,경원선,동두천중앙,2205,2290,4495
20210106,경원선,지행,4521,4672,9193
20210106,경원선,덕정,3892,4325,8217
20210106,경원선,덕계,2034,2004,4038
20210106,경원선,양주,5546,5980,11526
20210106,경원선,녹양,3411,3562,6973
20210106,경원선,가능,4827,5079,9906
20210106,경원선,의정부,14174,14909,29083
20210106,경원선,회룡,9962,12210,22172
20210106,경원선,망월사,5429,5939,11368
20210106,경원선,도봉산,6774,3583,10357
20210106,경원선,도봉,4628,4840,9468
20210106,경원선,방학,7020,7429,14449
20210106,경원선,녹천,3696,3338,7034
20210106,경원선,월계,4700,4677,9377
20210106,경원선,광운대,6359,6187,12546
20210106,경원선,석계,6122,7258,13380
20210106,경원선,신이문,6844,6727,13571
20210106,경원선,외대앞,5464,5624,11088
20210106,경원선,청량리,9917,10870,20787
20210106,경원선,왕십리,9824,11699,21523
20210106,경원선,응봉,1414,1407,2821
20210106,경원선,옥수,35,19,54
20210106,경원선,한남,4082,3475,7557
20210106,경원선,서빙고,1563,1494,3057
20210106,경원선,이촌,3059,2616,5675
20210106,경원선,창동,1,0,1
20210107,경원선,소요산,1092,993,2085
20210107,경원선,동두천,1310,1562,2872
20210107,경원선,보산,970,954,1924
20210107,경원선,동두천중앙,2082,2060,4142
20210107,경원선,지행,4347,4296,8643
20210107,경원선,덕정,3825,3865,7690
20210107,경원선,덕계,1971,1744,3715
20210107,경원선,양주,5520,5380,10900
20210107,경원선,녹양,3306,3248,6554
20210107,경원선,가능,4723,4644,9367
20210107,경원선,의정부,13493,13126,26619
20210107,경원선,회룡,9288,9075,18363
20210107,경원선,망월사,5185,5361,10546
20210107,경원선,도봉산,5456,2986,8442
20210107,경원선,도봉,4497,4288,8785
20210107,경원선,방학,7119,6934,14053
20210107,경원선,녹천,3768,3228,6996
20210107,경원선,월계,4596,4369,8965
20210107,경원선,광운대,6108,5946,12054
20210107,경원선,석계,5909,6892,12801
20210107,경원선,신이문,6903,6618,13521
20210107,경원선,외대앞,5237,5442,10679
20210107,경원선,청량리,9752,10297,20049
20210107,경원선,왕십리,9819,11659,21478
20210107,경원선,응봉,1532,1266,2798
20210107,경원선,옥수,38,24,62
20210107,경원선,한남,3550,3440,6990
