사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,경인선,개봉,5826,5924,11750
20210101,경인선,오류동,3443,3180,6623
20210101,경인선,역곡,7389,7375,14764
20210101,경인선,부천,12103,12686,24789
20210101,경인선,송내,6257,6331,12588
20210101,경인선,부평,11452,12071,23523
20210101,경인선,백운,2080,2095,4175
20210101,경인선,동암,5247,5398,10645
20210101,경인선,주안,6156,5593,11749
20210101,경인선,제물포,2900,2752,5652
20210101,경인선,동인천,4614,4484,9098
20210101,경인선,인천,1817,1456,3273
20210101,경인선,구일,1456,1445,2901
20210101,경인선,소사,2834,2545,5379
20210101,경인선,부개,2393,2407,4800
20210101,경인선,간석,1691,1623,3314
20210101,경인선,도원,833,883,1716
20210101,경인선,온수,1718,1674,3392
20210101,경인선,중동,2432,2404,4836
20210101,경인선,도화,1193,1154,2347
20210104,경인선,개봉,17377,18257,35634
20210104,경인선,오류동,9710,9355,19065
20210104,경인선,역곡,22463,22379,44842
20210104,경인선,부천,26336,26216,52552
20210104,경인선,송내,22545,22397,44942
20210104,경인선,부평,23043,23917,46960
20210104,경인선,백운,5902,5731,11633
20210104,경인선,동암,12499,12558,25057
20210104,경인선,주안,14574,13444,28018
20210104,경인선,제물포,8079,7563,15642
20210104,경인선,동인천,10881,10391,21272
20210104,경인선,인천,2254,1632,3886
20210104,경인선,구일,4883,5145,10028
20210104,경인선,소사,7696,6948,14644
20210104,경인선,부개,6861,6542,13403
20210104,경인선,간석,4624,4397,9021
20210104,경인선,도원,2152,2126,4278
20210104,경인선,온수,5141,5137,10278
20210104,경인선,중동,7467,7236,14703
20210104,경인선,도화,3280,3124,6404
20210105,경인선,도화,3212,2959,6171
20210105,경인선,중동,7334,7058,14392
20210105,경인선,온수,5194,5150,10344
20210105,경인선,도원,2256,2268,4524
20210105,경인선,간석,4448,4293,8741
20210105,경인선,부개,6917,6585,13502
20210105,경인선,소사,7555,6824,14379
20210105,경인선,구일,4902,5180,10082
