사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,과천선,선바위,1466,1467,2933
20210101,과천선,경마공원,224,234,458
20210101,과천선,대공원,1004,992,1996
20210101,과천선,과천,1237,1114,2351
20210101,과천선,정부과천청사,1663,1723,3386
20210101,과천선,인덕원,4769,4876,9645
20210101,과천선,평촌,3055,2990,6045
20210101,과천선,범계,5658,5396,11054
20210104,과천선,선바위,6888,5931,12819
20210104,과천선,경마공원,683,673,1356
20210104,과천선,대공원,1264,1344,2608
20210104,과천선,과천,4156,3834,7990
20210104,과천선,정부과천청사,7551,7486,15037
20210104,과천선,인덕원,19383,20340,39723
20210104,과천선,평촌,15205,15196,30401
20210104,과천선,범계,19781,19174,38955
20210105,과천선,범계,20157,19661,39818
20210105,과천선,평촌,15357,15121,30478
20210105,과천선,인덕원,19314,20115,39429
20210105,과천선,정부과천청사,7555,7458,15013
20210105,과천선,과천,4131,3865,7996
20210105,과천선,대공원,1312,1436,2748
20210105,과천선,경마공원,766,776,1542
20210105,과천선,선바위,6696,5960,12656
20210106,과천선,범계,20930,21165,42095
20210106,과천선,평촌,15975,15765,31740
20210106,과천선,인덕원,20496,22838,43334
20210106,과천선,정부과천청사,8263,8016,16279
20210106,과천선,과천,4323,4830,9153
20210106,과천선,대공원,1342,1317,2659
20210106,과천선,경마공원,976,982,1958
20210106,과천선,선바위,7594,6427,14021
20210107,과천선,범계,23621,22854,46475
20210107,과천선,평촌,18614,17840,36454
20210107,과천선,인덕원,24214,25592,49806
20210107,과천선,정부과천청사,9827,9632,19459
20210107,과천선,과천,5382,4997,10379
20210107,과천선,대공원,1352,1554,2906
20210107,과천선,경마공원,1248,1334,2582
20210107,과천선,선바위,7686,7570,15256
20210108,과천선,범계,21150,20454,41604
20210108,과천선,평촌,15915,15842,31757
20210108,과천선,인덕원,20467,21365,41832
20210108,과천선,정부과천청사,8061,8031,16092
20210108,과천선,과천,4426,3858,8284
20210108,과천선,대공원,925,993,1918
20210108,과천선,경마공원,1103,1125,2228
20210108,과천선,선바위,6813,6228,13041
20210111,과천선,선바위,7029,6117,13146
20210111,과천선,경마공원,723,695,1418
20210111,과천선,대공원,1012,1089,2101
20210111,과천선,과천,4313,3766,8079
20210111,과천선,정부과천청사,7867,7767,15634
20210111,과천선,인덕원,19795,20792,40587
20210111,과천선,평촌,15589,15507,31096
20210111,과천선,범계,20271,19711,39982
20210112,과천선,범계,22105,22076,44181
20210112,과천선,평촌,17570,16713,34283
20210112,과천선,인덕원,22301,23482,45783
20210112,과천선,정부과천청사,9075,8429,17504
20210112,과천선,과천,4717,4930,9647
20210112,과천선,대공원,1554,1556,3110
20210112,과천선,경마공원,858,842,1700
20210112,과천선,선바위,7828,6445,14273
20210113,과천선,선바위,7145,6765,13910
20210113,과천선,경마공원,1051,1085,2136
20210113,과천선,대공원,1659,1856,3515
20210113,과천선,과천,4811,4376,9187
20210113,과천선,정부과천청사,8606,8585,17191
20210113,과천선,인덕원,21345,22612,43957
20210113,과천선,평촌,16546,16643,33189
20210113,과천선,범계,22497,21782,44279
20210114,과천선,선바위,7208,6393,13601
20210114,과천선,경마공원,1060,1064,2124
20210114,과천선,대공원,1621,1733,3354
20210114,과천선,과천,4591,4215,8806
20210114,과천선,정부과천청사,8205,8126,16331
20210114,과천선,인덕원,20430,21366,41796
20210114,과천선,평촌,15755,15657,31412
20210114,과천선,범계,21271,20606,41877
20210115,과천선,선바위,7214,6347,13561
20210115,과천선,경마공원,1131,1112,2243
20210115,과천선,대공원,1416,1507,2923
20210115,과천선,과천,4591,4205,8796
20210115,과천선,정부과천청사,8023,7975,15998
20210115,과천선,인덕원,20498,21341,41839
20210115,과천선,평촌,15843,15647,31490
20210115,과천선,범계,21589,21202,42791
20210118,과천선,정부과천청사,8887,8864,17751
20210118,과천선,과천,4940,4562,9502
20210118,과천선,대공원,1157,1204,2361
20210118,과천선,경마공원,778,738,1516
20210118,과천선,선바위,7314,6555,13869
20210118,과천선,범계,22551,21898,44449
20210118,과천선,평촌,17452,17309,34761
20210118,과천선,인덕원,21938,23102,45040
20210119,과천선,선바위,7098,6359,13457
20210119,과천선,경마공원,859,810,1669
20210119,과천선,대공원,1338,1482,2820
20210119,과천선,과천,4545,4206,8751
20210119,과천선,정부과천청사,8059,7987,16046
20210119,과천선,인덕원,20350,21284,41634
20210119,과천선,평촌,16118,15928,32046
20210119,과천선,범계,21407,20849,42256
20210120,과천선,범계,22551,22051,44602
20210120,과천선,평촌,16647,16412,33059
20210120,과천선,인덕원,21248,22263,43511
20210120,과천선,정부과천청사,8559,8329,16888
20210120,과천선,과천,4875,4570,9445
20210120,과천선,대공원,1788,1918,3706
20210120,과천선,경마공원,1064,1061,2125
20210120,과천선,선바위,7593,6620,14213
20210121,과천선,범계,21703,21117,42820
20210121,과천선,평촌,16321,16278,32599
20210121,과천선,인덕원,20872,22062,42934
20210121,과천선,정부과천청사,8393,8280,16673
20210121,과천선,과천,4688,4553,9241
20210121,과천선,대공원,1446,1525,2971
20210121,과천선,경마공원,1094,1121,2215
20210121,과천선,선바위,7413,6529,13942
20210122,과천선,범계,22629,22261,44890
20210122,과천선,평촌,16443,16291,32734
20210122,과천선,인덕원,21638,22412,44050
20210122,과천선,정부과천청사,8163,8189,16352
