사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,수인선,송도,824,798,1622
20210101,수인선,연수,1600,1571,3171
20210101,수인선,원인재,1496,1492,2988
20210101,수인선,남동인더스파크,365,302,667
20210101,수인선,호구포,1036,935,1971
20210101,수인선,인천논현,1649,1756,3405
20210101,수인선,소래포구,2402,2360,4762
20210101,수인선,월곶,874,910,1784
20210101,수인선,달월,30,26,56
20210101,수인선,사리,1073,1045,2118
20210101,수인선,고색,814,855,1669
20210101,수인선,오목천,632,547,1179
20210101,수인선,어천,230,246,476
20210101,수인선,야목,80,86,166
20210101,수인선,인하대,1698,1626,3324
20210101,수인선,숭의,1134,1076,2210
20210101,수인선,신포,558,629,1187
20210101,수인선,인천,572,816,1388
20210104,수인선,인천,698,1167,1865
20210104,수인선,신포,1346,1336,2682
20210104,수인선,숭의,3195,2983,6178
20210104,수인선,인하대,4204,4030,8234
20210104,수인선,송도,1997,1807,3804
20210104,수인선,연수,3286,3214,6500
20210104,수인선,원인재,3426,3498,6924
20210104,수인선,남동인더스파크,2039,2301,4340
20210104,수인선,호구포,3045,3252,6297
20210104,수인선,인천논현,4299,4390,8689
20210104,수인선,소래포구,3301,3103,6404
20210104,수인선,월곶,1916,1780,3696
20210104,수인선,달월,85,54,139
20210104,수인선,사리,2822,2600,5422
20210104,수인선,야목,141,108,249
20210104,수인선,어천,399,436,835
20210104,수인선,오목천,1704,1628,3332
20210104,수인선,고색,2781,2774,5555
20210105,수인선,인천,711,1199,1910
20210105,수인선,신포,1304,1307,2611
20210105,수인선,숭의,3137,3017,6154
20210105,수인선,인하대,4243,4088,8331
20210105,수인선,송도,1927,1762,3689
20210105,수인선,연수,3227,3234,6461
20210105,수인선,원인재,3432,3516,6948
20210105,수인선,남동인더스파크,2126,2336,4462
20210105,수인선,호구포,3057,3151,6208
20210105,수인선,인천논현,4266,4499,8765
20210105,수인선,소래포구,3305,3142,6447
20210105,수인선,월곶,1913,1835,3748
20210105,수인선,달월,80,48,128
20210105,수인선,사리,2756,2530,5286
20210105,수인선,야목,136,113,249
20210105,수인선,어천,436,431,867
20210105,수인선,오목천,1591,1550,3141
20210105,수인선,고색,2765,2711,5476
20210106,수인선,인천,759,1234,1993
20210106,수인선,신포,1389,1330,2719
20210106,수인선,숭의,3148,3166,6314
20210106,수인선,인하대,4647,4631,9278
20210106,수인선,송도,2013,2160,4173
20210106,수인선,연수,3553,3645,7198
20210106,수인선,원인재,3529,3796,7325
20210106,수인선,남동인더스파크,2559,2358,4917
20210106,수인선,호구포,3688,3464,7152
20210106,수인선,인천논현,4753,4876,9629
20210106,수인선,소래포구,3448,3585,7033
20210106,수인선,월곶,1934,1917,3851
20210106,수인선,달월,88,59,147
20210106,수인선,사리,2722,2788,5510
20210106,수인선,야목,169,128,297
20210106,수인선,어천,441,453,894
20210106,수인선,오목천,1683,1857,3540
20210106,수인선,고색,2946,2828,5774
20210107,수인선,인천,682,1319,2001
20210107,수인선,신포,1430,1453,2883
20210107,수인선,숭의,3862,3747,7609
20210107,수인선,인하대,5409,5023,10432
20210107,수인선,송도,2571,2198,4769
20210107,수인선,연수,4252,4004,8256
20210107,수인선,원인재,4260,4329,8589
20210107,수인선,남동인더스파크,2967,3687,6654
20210107,수인선,호구포,4352,4715,9067
20210107,수인선,인천논현,5921,5956,11877
20210107,수인선,소래포구,4618,3990,8608
20210107,수인선,월곶,2416,2161,4577
20210107,수인선,달월,107,70,177
20210107,수인선,사리,3655,3278,6933
20210107,수인선,야목,183,168,351
20210107,수인선,어천,572,576,1148
20210107,수인선,오목천,2832,2414,5246
20210107,수인선,고색,4314,4151,8465
20210108,수인선,인천,667,1152,1819
20210108,수인선,신포,1294,1269,2563
20210108,수인선,숭의,3183,2949,6132
20210108,수인선,인하대,4416,4214,8630
20210108,수인선,송도,1905,1785,3690
20210108,수인선,연수,3530,3450,6980
