사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,안산선,산본,4196,4530,8726
20210101,안산선,대야미,1445,1322,2767
20210101,안산선,반월,1307,1311,2618
20210101,안산선,상록수,4734,4921,9655
20210101,안산선,한대앞,2416,2573,4989
20210101,안산선,중앙,4962,5197,10159
20210101,안산선,고잔,2051,1879,3930
20210101,안산선,초지,1072,1214,2286
20210101,안산선,안산,4941,5147,10088
20210101,안산선,신길온천,525,499,1024
20210101,안산선,정왕,2906,2759,5665
20210101,안산선,오이도,3185,3299,6484
20210101,안산선,수리산,1062,968,2030
20210104,안산선,수리산,3503,2958,6461
20210104,안산선,오이도,6491,6135,12626
20210104,안산선,정왕,5993,6723,12716
20210104,안산선,신길온천,1328,1226,2554
20210104,안산선,안산,10028,8952,18980
20210104,안산선,초지,3496,3567,7063
20210104,안산선,한대앞,6587,6636,13223
20210104,안산선,상록수,13086,13257,26343
20210104,안산선,반월,3419,3295,6714
20210104,안산선,대야미,3915,3653,7568
20210104,안산선,산본,12625,13549,26174
20210104,안산선,고잔,6987,6648,13635
20210104,안산선,중앙,12631,12890,25521
20210105,안산선,수리산,3573,2951,6524
20210105,안산선,오이도,6402,6202,12604
20210105,안산선,정왕,5864,6207,12071
20210105,안산선,신길온천,1254,1146,2400
20210105,안산선,안산,9797,8794,18591
20210105,안산선,초지,3589,3674,7263
20210105,안산선,고잔,6936,6663,13599
20210105,안산선,중앙,12249,12628,24877
20210105,안산선,한대앞,6488,6536,13024
20210105,안산선,상록수,13068,13295,26363
20210105,안산선,반월,3429,3260,6689
20210105,안산선,대야미,3882,3557,7439
20210105,안산선,산본,12497,13395,25892
20210106,안산선,수리산,3487,3045,6532
20210106,안산선,오이도,6560,6788,13348
20210106,안산선,정왕,6192,6653,12845
20210106,안산선,신길온천,1313,1223,2536
20210106,안산선,안산,10222,8980,19202
20210106,안산선,초지,3483,3641,7124
20210106,안산선,고잔,7163,6857,14020
20210106,안산선,중앙,12659,13272,25931
20210106,안산선,한대앞,6572,6809,13381
20210106,안산선,상록수,12898,13724,26622
20210106,안산선,반월,3355,3355,6710
20210106,안산선,대야미,3852,3603,7455
20210106,안산선,산본,12728,14236,26964
20210107,안산선,수리산,3872,3258,7130
20210107,안산선,오이도,7731,7448,15179
20210107,안산선,정왕,7120,7991,15111
20210107,안산선,신길온천,1435,1327,2762
20210107,안산선,안산,11556,11151,22707
20210107,안산선,초지,4084,4120,8204
20210107,안산선,고잔,8193,7862,16055
20210107,안산선,중앙,14293,14545,28838
20210107,안산선,한대앞,7576,7567,15143
20210107,안산선,상록수,14392,14343,28735
20210107,안산선,반월,3699,3631,7330
20210107,안산선,대야미,4403,4043,8446
20210107,안산선,산본,14573,15209,29782
20210108,안산선,수리산,3465,2613,6078
20210108,안산선,오이도,6621,6486,13107
20210108,안산선,정왕,6342,6731,13073
20210108,안산선,신길온천,1300,1200,2500
20210108,안산선,안산,10290,9431,19721
20210108,안산선,초지,3629,3687,7316
20210108,안산선,고잔,7188,6816,14004
20210108,안산선,중앙,12724,13600,26324
20210108,안산선,한대앞,6697,6727,13424
20210108,안산선,상록수,13153,13178,26331
20210108,안산선,반월,3377,3161,6538
20210108,안산선,대야미,3930,3537,7467
20210108,안산선,산본,12718,11943,24661
20210111,안산선,산본,12664,11627,24291
20210111,안산선,대야미,3905,3595,7500
20210111,안산선,반월,3452,3252,6704
20210111,안산선,상록수,13095,13287,26382
20210111,안산선,한대앞,6705,6770,13475
20210111,안산선,중앙,13005,13367,26372
20210111,안산선,고잔,7180,6834,14014
20210111,안산선,수리산,3437,2847,6284
20210111,안산선,오이도,6583,6328,12911
20210111,안산선,정왕,6041,6720,12761
20210111,안산선,신길온천,1297,1189,2486
20210111,안산선,안산,10185,9230,19415
20210111,안산선,초지,3620,3658,7278
20210112,안산선,수리산,3714,3217,6931
20210112,안산선,오이도,7479,7369,14848
20210112,안산선,정왕,7293,7033,14326
20210112,안산선,신길온천,1524,1310,2834
20210112,안산선,안산,11709,9415,21124
20210112,안산선,초지,3854,3943,7797
20210112,안산선,고잔,7677,7229,14906
20210112,안산선,중앙,13655,14541,28196
20210112,안산선,한대앞,7073,7353,14426
20210112,안산선,상록수,13498,14493,27991
20210112,안산선,반월,3530,3639,7169
20210112,안산선,대야미,4063,3902,7965
20210112,안산선,산본,13238,12477,25715
20210113,안산선,산본,14059,12181,26240
20210113,안산선,대야미,4342,3827,8169
20210113,안산선,반월,3725,3576,7301
20210113,안산선,상록수,13977,13932,27909
20210113,안산선,한대앞,7304,7249,14553
20210113,안산선,중앙,13893,14387,28280
20210113,안산선,고잔,7750,7654,15404
20210113,안산선,초지,3914,3978,7892
20210113,안산선,안산,10595,10158,20753
20210113,안산선,신길온천,1382,1377,2759
20210113,안산선,정왕,6460,7592,14052
20210113,안산선,오이도,7424,7074,14498
20210113,안산선,수리산,3871,3082,6953
20210114,안산선,산본,13366,13557,26923
20210114,안산선,대야미,4099,3752,7851
20210114,안산선,반월,3606,3448,7054
20210114,안산선,상록수,13622,13735,27357
20210114,안산선,한대앞,7205,7124,14329
20210114,안산선,중앙,13355,13889,27244
20210114,안산선,고잔,7372,7067,14439
20210114,안산선,초지,3795,3888,7683
20210114,안산선,안산,10379,9329,19708
20210114,안산선,신길온천,1374,1304,2678
20210114,안산선,정왕,6111,6720,12831
20210114,안산선,오이도,6859,6752,13611
20210114,안산선,수리산,3616,3031,6647
20210115,안산선,산본,13389,14825,28214
20210115,안산선,대야미,4194,3699,7893
20210115,안산선,반월,3558,3437,6995
20210115,안산선,상록수,13768,13959,27727
20210115,안산선,한대앞,7310,7196,14506
20210115,안산선,중앙,13701,14830,28531
20210115,안산선,고잔,7526,7151,14677
20210115,안산선,초지,3920,3943,7863
20210115,안산선,안산,10603,9577,20180
20210115,안산선,신길온천,1456,1326,2782
20210115,안산선,정왕,6780,7136,13916
20210115,안산선,오이도,7114,6851,13965
20210115,안산선,수리산,3544,2824,6368
20210118,안산선,안산,11069,10307,21376
20210118,안산선,초지,3900,3955,7855
20210118,안산선,고잔,8116,7666,15782
20210118,안산선,중앙,14565,14965,29530
20210118,안산선,한대앞,7519,7427,14946
20210118,안산선,상록수,14174,14261,28435
20210118,안산선,반월,3714,3544,7258
20210118,안산선,대야미,4209,3886,8095
20210118,안산선,산본,14048,15268,29316
20210118,안산선,수리산,3741,3062,6803
20210118,안산선,신길온천,1497,1285,2782
20210118,안산선,정왕,6839,7598,14437
20210118,안산선,오이도,7439,7054,14493
20210119,안산선,산본,13155,14135,27290
20210119,안산선,대야미,3979,3641,7620
20210119,안산선,반월,3533,3426,6959
20210119,안산선,상록수,13487,13732,27219
20210119,안산선,한대앞,6826,6916,13742
20210119,안산선,중앙,13597,14024,27621
20210119,안산선,고잔,7247,6994,14241
20210119,안산선,초지,3816,3853,7669
20210119,안산선,안산,10410,9112,19522
20210119,안산선,신길온천,1341,1226,2567
20210119,안산선,정왕,6192,6589,12781
20210119,안산선,오이도,6698,6500,13198
20210119,안산선,수리산,3563,2917,6480
20210120,안산선,수리산,3812,3103,6915
20210120,안산선,오이도,7235,7000,14235
20210120,안산선,정왕,6513,7019,13532
20210120,안산선,신길온천,1450,1312,2762
20210120,안산선,안산,10666,9571,20237
20210120,안산선,초지,4042,4073,8115
20210120,안산선,고잔,7686,7362,15048
20210120,안산선,중앙,14518,15009,29527
20210120,안산선,한대앞,7284,7330,14614
20210120,안산선,상록수,14196,14447,28643
20210120,안산선,반월,3728,3615,7343
20210120,안산선,대야미,4332,3950,8282
20210120,안산선,산본,14052,15129,29181
20210121,안산선,수리산,3656,3001,6657
20210121,안산선,오이도,6825,6612,13437
20210121,안산선,정왕,6196,6687,12883
20210121,안산선,신길온천,1373,1281,2654
20210121,안산선,안산,10071,9026,19097
20210121,안산선,초지,3790,3872,7662
20210121,안산선,고잔,7363,7108,14471
20210121,안산선,중앙,13694,14219,27913
20210121,안산선,한대앞,6920,6985,13905
20210121,안산선,상록수,13766,13955,27721
20210121,안산선,반월,3653,3524,7177
20210121,안산선,대야미,4072,3722,7794
20210121,안산선,산본,13626,14497,28123
20210122,안산선,수리산,3709,2974,6683
20210122,안산선,오이도,7389,7173,14562
20210122,안산선,정왕,7592,7720,15312
20210122,안산선,신길온천,1424,1304,2728
20210122,안산선,안산,10931,9833,20764
20210122,안산선,초지,4021,4064,8085
20210122,안산선,고잔,7685,7374,15059
20210122,안산선,중앙,14587,15783,30370
20210122,안산선,한대앞,7382,7542,14924
20210122,안산선,상록수,14196,14536,28732
20210122,안산선,반월,3830,3628,7458
20210122,안산선,대야미,4440,3966,8406
20210122,안산선,산본,14113,15238,29351
20210125,안산선,산본,14499,15498,29997
20210125,안산선,대야미,4458,4070,8528
20210125,안산선,반월,3917,3749,7666
20210125,안산선,상록수,14610,14689,29299
20210125,안산선,한대앞,7695,7794,15489
20210125,안산선,중앙,15284,15410,30694
20210125,안산선,고잔,8074,7730,15804
20210125,안산선,초지,4068,4091,8159
20210125,안산선,안산,11096,9989,21085
20210125,안산선,신길온천,1455,1327,2782
20210125,안산선,정왕,6616,7249,13865
20210125,안산선,오이도,7367,7065,14432
20210125,안산선,수리산,3872,3259,7131
20210126,안산선,산본,13894,14311,28205
20210126,안산선,대야미,4257,3786,8043
20210126,안산선,반월,3677,3563,7240
20210126,안산선,상록수,14067,14320,28387
20210126,안산선,한대앞,7236,7317,14553
20210126,안산선,중앙,14568,14929,29497
20210126,안산선,고잔,7554,7295,14849
20210126,안산선,초지,3833,4006,7839
20210126,안산선,안산,10448,9303,19751
20210126,안산선,신길온천,1420,1315,2735
20210126,안산선,정왕,6270,6824,13094
20210126,안산선,오이도,7214,6988,14202
20210126,안산선,수리산,3677,3052,6729
20210127,안산선,산본,14816,15746,30562
20210127,안산선,대야미,4404,4010,8414
20210127,안산선,반월,3926,3762,7688
20210127,안산선,상록수,14667,14752,29419
20210127,안산선,한대앞,7597,7747,15344
20210127,안산선,중앙,15399,15822,31221
20210127,안산선,고잔,7852,7569,15421
20210127,안산선,초지,3989,4056,8045
20210127,안산선,안산,11008,9782,20790
20210127,안산선,신길온천,1488,1403,2891
20210127,안산선,정왕,6515,7096,13611
20210127,안산선,오이도,7520,7219,14739
20210127,안산선,수리산,3962,3245,7207
20210128,안산선,산본,14007,14871,28878
20210128,안산선,대야미,4257,3837,8094
20210128,안산선,반월,3673,3522,7195
20210128,안산선,상록수,13914,14139,28053
20210128,안산선,한대앞,7182,7245,14427
20210128,안산선,중앙,14642,15094,29736
20210128,안산선,고잔,7587,7385,14972
20210128,안산선,초지,3897,3984,7881
20210128,안산선,안산,10519,9420,19939
20210128,안산선,신길온천,1324,1235,2559
20210128,안산선,정왕,6362,6863,13225
20210128,안산선,오이도,6986,6792,13778
20210128,안산선,수리산,3674,3029,6703
20210129,안산선,산본,13899,14944,28843
20210129,안산선,대야미,4157,3754,7911
20210129,안산선,반월,3574,3441,7015
20210129,안산선,상록수,13800,14098,27898
20210129,안산선,한대앞,7222,7195,14417
