사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,일산선,백석,2724,2825,5549
20210101,일산선,마두,1638,1652,3290
20210101,일산선,정발산,2024,2007,4031
20210101,일산선,주엽,2041,2070,4111
20210101,일산선,대화,2995,2800,5795
20210101,일산선,원흥,2354,2322,4676
20210101,일산선,삼송,5235,5139,10374
20210101,일산선,원당,2909,2943,5852
20210101,일산선,화정,4664,4946,9610
20210101,일산선,대곡,456,412,868
20210104,일산선,대화,10538,8269,18807
20210104,일산선,주엽,6862,7005,13867
20210104,일산선,정발산,5340,5129,10469
20210104,일산선,마두,5801,6009,11810
20210104,일산선,백석,8100,8295,16395
20210104,일산선,대곡,1338,967,2305
20210104,일산선,화정,13383,13800,27183
20210104,일산선,원당,8982,8627,17609
20210104,일산선,삼송,14501,14308,28809
20210104,일산선,원흥,7597,7322,14919
20210105,일산선,대화,10399,8349,18748
20210105,일산선,주엽,6801,6899,13700
20210105,일산선,정발산,5257,5123,10380
20210105,일산선,마두,5735,6091,11826
20210105,일산선,백석,8157,8303,16460
20210105,일산선,대곡,1295,976,2271
20210105,일산선,화정,13478,13918,27396
20210105,일산선,원당,8698,8440,17138
20210105,일산선,삼송,14374,14366,28740
20210105,일산선,원흥,7574,7215,14789
20210106,일산선,대화,10121,8677,18798
20210106,일산선,주엽,6572,6821,13393
20210106,일산선,정발산,5280,5135,10415
20210106,일산선,마두,5511,6040,11551
20210106,일산선,백석,7831,8148,15979
20210106,일산선,대곡,1259,949,2208
20210106,일산선,화정,13024,14093,27117
20210106,일산선,원당,8600,8680,17280
20210106,일산선,삼송,14213,14446,28659
20210106,일산선,원흥,7415,7245,14660
20210107,일산선,대화,10564,8575,19139
20210107,일산선,주엽,6545,6647,13192
20210107,일산선,정발산,5224,5199,10423
20210107,일산선,마두,5688,5998,11686
20210107,일산선,백석,8091,8267,16358
20210107,일산선,대곡,1300,865,2165
20210107,일산선,화정,13272,13773,27045
20210107,일산선,원당,8462,8241,16703
20210107,일산선,삼송,14452,14474,28926
20210107,일산선,원흥,7606,7307,14913
20210108,일산선,대화,9669,7881,17550
20210108,일산선,주엽,6173,6146,12319
20210108,일산선,정발산,4960,4935,9895
20210108,일산선,마두,5292,5570,10862
20210108,일산선,백석,7435,7638,15073
20210108,일산선,대곡,1215,855,2070
20210108,일산선,화정,12291,12957,25248
20210108,일산선,원당,8031,7788,15819
20210108,일산선,삼송,13492,13419,26911
20210108,일산선,원흥,6927,6539,13466
20210111,일산선,대화,10416,8234,18650
20210111,일산선,주엽,6859,6942,13801
20210111,일산선,정발산,5593,5305,10898
20210111,일산선,마두,5866,6135,12001
20210111,일산선,백석,8214,8319,16533
20210111,일산선,대곡,1369,961,2330
20210111,일산선,화정,13510,13973,27483
20210111,일산선,원당,8861,8502,17363
20210111,일산선,삼송,14449,14224,28673
20210111,일산선,원흥,7437,7193,14630
20210112,일산선,대화,10931,9243,20174
20210112,일산선,주엽,7184,7600,14784
20210112,일산선,정발산,5973,5715,11688
20210112,일산선,마두,6206,6728,12934
20210112,일산선,백석,8763,8961,17724
20210112,일산선,대곡,1415,1043,2458
20210112,일산선,화정,14015,15310,29325
20210112,일산선,원당,9186,9226,18412
20210112,일산선,삼송,14885,15429,30314
20210112,일산선,원흥,7802,7669,15471
20210113,일산선,원흥,7826,7479,15305
20210113,일산선,삼송,15353,14967,30320
20210113,일산선,원당,9307,8764,18071
20210113,일산선,화정,14171,14395,28566
20210113,일산선,대곡,1449,1036,2485
