사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,장항선,봉명,294,282,576
20210101,장항선,쌍용,573,581,1154
20210101,장항선,아산,978,1073,2051
20210101,장항선,배방,387,334,721
20210101,장항선,온양온천,1633,1601,3234
20210101,장항선,신창,445,378,823
20210104,장항선,신창,685,777,1462
20210104,장항선,온양온천,2765,2805,5570
20210104,장항선,배방,679,666,1345
20210104,장항선,아산,2010,1777,3787
20210104,장항선,쌍용,1453,1407,2860
20210104,장항선,봉명,986,961,1947
20210105,장항선,신창,669,675,1344
20210105,장항선,온양온천,2418,2490,4908
20210105,장항선,배방,702,649,1351
20210105,장항선,아산,1845,1674,3519
20210105,장항선,쌍용,1340,1259,2599
20210105,장항선,봉명,940,925,1865
20210106,장항선,신창,674,642,1316
20210106,장항선,온양온천,2342,2393,4735
20210106,장항선,배방,649,615,1264
20210106,장항선,아산,1836,1669,3505
20210106,장항선,쌍용,1350,1280,2630
20210106,장항선,봉명,1015,999,2014
20210107,장항선,신창,636,656,1292
20210107,장항선,온양온천,2518,2443,4961
20210107,장항선,배방,807,745,1552
20210107,장항선,아산,2268,1983,4251
20210107,장항선,쌍용,1703,1413,3116
20210107,장항선,봉명,1050,1007,2057
20210108,장항선,신창,778,674,1452
20210108,장항선,온양온천,2490,2500,4990
20210108,장항선,배방,820,685,1505
20210108,장항선,아산,2287,2087,4374
20210108,장항선,쌍용,1439,1262,2701
20210108,장항선,봉명,916,875,1791
20210111,장항선,봉명,986,919,1905
20210111,장항선,쌍용,1360,1316,2676
20210111,장항선,아산,2027,1798,3825
20210111,장항선,배방,715,710,1425
20210111,장항선,온양온천,2540,2548,5088
20210111,장항선,신창,715,757,1472
20210112,장항선,신창,648,657,1305
20210112,장항선,온양온천,2582,2646,5228
20210112,장항선,배방,716,692,1408
20210112,장항선,아산,1947,1730,3677
20210112,장항선,쌍용,1386,1310,2696
20210112,장항선,봉명,1012,963,1975
20210113,장항선,봉명,1035,955,1990
20210113,장항선,쌍용,1424,1359,2783
20210113,장항선,아산,1923,1821,3744
20210113,장항선,배방,704,708,1412
20210113,장항선,온양온천,2693,2625,5318
20210113,장항선,신창,723,715,1438
20210114,장항선,봉명,1035,994,2029
20210114,장항선,쌍용,1507,1460,2967
20210114,장항선,아산,1995,1879,3874
20210114,장항선,배방,818,794,1612
20210114,장항선,온양온천,3315,3333,6648
20210114,장항선,신창,719,670,1389
20210115,장항선,봉명,1023,956,1979
20210115,장항선,쌍용,1499,1414,2913
20210115,장항선,아산,2492,2379,4871
20210115,장항선,배방,870,764,1634
20210115,장항선,온양온천,2877,2905,5782
20210115,장항선,신창,925,783,1708
20210118,장항선,신창,697,802,1499
20210118,장항선,온양온천,2741,2764,5505
20210118,장항선,배방,787,766,1553
20210118,장항선,아산,2337,2055,4392
20210118,장항선,쌍용,1561,1473,3034
20210118,장항선,봉명,1100,1071,2171
20210119,장항선,봉명,1018,1011,2029
20210119,장항선,쌍용,1505,1415,2920
20210119,장항선,아산,1948,1861,3809
20210119,장항선,배방,737,743,1480
20210119,장항선,온양온천,3039,2972,6011
20210119,장항선,신창,689,665,1354
20210120,장항선,신창,724,693,1417
20210120,장항선,온양온천,2938,2852,5790
20210120,장항선,배방,837,775,1612
20210120,장항선,아산,2203,1976,4179
20210120,장항선,쌍용,1656,1549,3205
20210120,장항선,봉명,1092,1104,2196
20210121,장항선,신창,716,686,1402
20210121,장항선,온양온천,2696,2701,5397
20210121,장항선,배방,740,715,1455
20210121,장항선,아산,2020,1914,3934
20210121,장항선,쌍용,1433,1314,2747
20210121,장항선,봉명,1053,1002,2055
20210122,장항선,신창,900,747,1647
20210122,장항선,온양온천,2919,2988,5907
20210122,장항선,배방,881,771,1652
20210122,장항선,아산,2534,2521,5055
20210122,장항선,쌍용,1546,1403,2949
20210122,장항선,봉명,1049,962,2011
20210125,장항선,봉명,1116,1110,2226
20210125,장항선,쌍용,1543,1434,2977
20210125,장항선,아산,2281,2040,4321
20210125,장항선,배방,846,781,1627
20210125,장항선,온양온천,3024,3022,6046
20210125,장항선,신창,751,813,1564
20210126,장항선,봉명,1045,1018,2063
20210126,장항선,쌍용,1393,1333,2726
20210126,장항선,아산,2024,1863,3887
20210126,장항선,배방,729,733,1462
20210126,장항선,온양온천,2672,2665,5337
20210126,장항선,신창,750,769,1519
20210127,장항선,봉명,1065,1034,2099
20210127,장항선,쌍용,1577,1494,3071
20210127,장항선,아산,2127,2003,4130
20210127,장항선,배방,834,809,1643
20210127,장항선,온양온천,2943,2880,5823
20210127,장항선,신창,749,756,1505
20210128,장항선,봉명,1006,981,1987
20210128,장항선,쌍용,1410,1307,2717
20210128,장항선,아산,2050,1848,3898
20210128,장항선,배방,704,649,1353
20210128,장항선,온양온천,2532,2567,5099
20210128,장항선,신창,736,718,1454
20210129,장항선,봉명,995,912,1907
20210129,장항선,쌍용,1550,1463,3013
20210129,장항선,아산,2591,2320,4911
20210129,장항선,배방,859,767,1626
20210129,장항선,온양온천,3175,3073,6248
20210129,장항선,신창,931,746,1677
20210201,장항선,신창,808,874,1682
20210201,장항선,온양온천,2930,2893,5823
20210201,장항선,배방,782,756,1538
20210201,장항선,아산,2234,2017,4251
20210201,장항선,쌍용,1542,1431,2973
20210201,장항선,봉명,1067,1006,2073
20210202,장항선,신창,774,756,1530
20210202,장항선,온양온천,2741,2745,5486
20210202,장항선,배방,770,744,1514
20210202,장항선,아산,2066,1922,3988
20210202,장항선,쌍용,1477,1373,2850
20210202,장항선,봉명,1015,1037,2052
20210203,장항선,봉명,1091,1028,2119
20210203,장항선,쌍용,1564,1476,3040
20210203,장항선,아산,2124,1976,4100
20210203,장항선,배방,832,742,1574
20210203,장항선,온양온천,2715,2744,5459
20210203,장항선,신창,767,743,1510
20210204,장항선,신창,799,740,1539
20210204,장항선,온양온천,3538,3531,7069
20210204,장항선,배방,891,821,1712
20210204,장항선,아산,2198,2077,4275
20210204,장항선,쌍용,1626,1511,3137
20210204,장항선,봉명,1138,1094,2232
20210205,장항선,신창,942,735,1677
20210205,장항선,온양온천,3164,3163,6327
20210205,장항선,배방,967,868,1835
20210205,장항선,아산,2562,2478,5040
20210205,장항선,쌍용,1632,1476,3108
20210205,장항선,봉명,1027,932,1959
20210208,장항선,봉명,1063,1035,2098
20210208,장항선,쌍용,1522,1419,2941
20210208,장항선,아산,2177,2178,4355
20210208,장항선,배방,890,810,1700
20210208,장항선,온양온천,2951,2955,5906
20210208,장항선,신창,797,805,1602
20210209,장항선,신창,830,783,1613
20210209,장항선,온양온천,3715,3739,7454
20210209,장항선,배방,879,837,1716
20210209,장항선,아산,2200,2298,4498
20210209,장항선,쌍용,1629,1502,3131
20210209,장항선,봉명,1139,1063,2202
20210210,장항선,봉명,1005,1003,2008
20210210,장항선,쌍용,1601,1506,3107
20210210,장항선,아산,2607,2859,5466
20210210,장항선,배방,945,927,1872
20210210,장항선,온양온천,3251,3602,6853
20210210,장항선,신창,1044,988,2032
20210211,장항선,봉명,386,386,772
20210211,장항선,쌍용,852,829,1681
20210211,장항선,아산,1453,1658,3111
20210211,장항선,배방,494,543,1037
20210211,장항선,온양온천,2562,3065,5627
20210211,장항선,신창,672,930,1602
20210212,장항선,봉명,343,273,616
20210212,장항선,쌍용,639,601,1240
20210212,장항선,아산,1193,1052,2245
20210212,장항선,배방,426,365,791
20210212,장항선,온양온천,2159,1919,4078
20210212,장항선,신창,626,563,1189
20210215,장항선,봉명,1097,1051,2148
20210215,장항선,쌍용,1518,1428,2946
20210215,장항선,아산,2491,1997,4488
20210215,장항선,배방,773,785,1558
20210215,장항선,온양온천,2830,2882,5712
20210215,장항선,신창,797,976,1773
20210216,장항선,봉명,1158,1120,2278
20210216,장항선,쌍용,1485,1372,2857
20210216,장항선,아산,2347,2061,4408
20210216,장항선,배방,790,790,1580
