사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,중앙선,회기,6588,6347,12935
20210101,중앙선,중랑,1697,1624,3321
20210101,중앙선,상봉,1806,1852,3658
20210101,중앙선,망우,2183,2140,4323
20210101,중앙선,양원,397,390,787
20210101,중앙선,구리,3296,3546,6842
20210101,중앙선,도농,2162,2191,4353
20210101,중앙선,양정,228,197,425
20210101,중앙선,덕소,1580,1658,3238
20210101,중앙선,도심,601,552,1153
20210101,중앙선,팔당,572,562,1134
20210101,중앙선,운길산,493,466,959
20210101,중앙선,양수,623,644,1267
20210101,중앙선,신원,103,111,214
20210101,중앙선,국수,228,243,471
20210101,중앙선,아신,171,182,353
20210101,중앙선,오빈,79,70,149
20210101,중앙선,양평,811,932,1743
20210101,중앙선,원덕,114,135,249
20210101,중앙선,용문,686,792,1478
20210101,중앙선,지평,12,17,29
20210104,중앙선,지평,30,26,56
20210104,중앙선,용문,1160,1111,2271
20210104,중앙선,원덕,214,205,419
20210104,중앙선,양평,1891,1799,3690
20210104,중앙선,오빈,202,196,398
20210104,중앙선,아신,380,362,742
20210104,중앙선,국수,467,486,953
20210104,중앙선,신원,152,131,283
20210104,중앙선,양수,1211,1178,2389
20210104,중앙선,운길산,459,417,876
20210104,중앙선,팔당,584,558,1142
20210104,중앙선,도심,1942,1448,3390
20210104,중앙선,덕소,4447,4538,8985
20210104,중앙선,양정,619,520,1139
20210104,중앙선,도농,8018,7335,15353
20210104,중앙선,구리,10930,11039,21969
20210104,중앙선,양원,1122,1160,2282
20210104,중앙선,망우,5978,5953,11931
20210104,중앙선,상봉,4654,4571,9225
20210104,중앙선,중랑,4401,4239,8640
20210104,중앙선,회기,17602,17475,35077
20210105,중앙선,지평,42,33,75
20210105,중앙선,용문,1219,1268,2487
20210105,중앙선,원덕,217,203,420
20210105,중앙선,양평,1776,1738,3514
20210105,중앙선,오빈,212,216,428
20210105,중앙선,아신,337,334,671
20210105,중앙선,국수,477,478,955
