사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,중앙선,회기,6588,6347,12935
202101,중앙선,중랑,1697,1624,3321
202101,중앙선,상봉,1806,1852,3658
202101,중앙선,망우,2183,2140,4323
202101,중앙선,양원,397,390,787
202101,중앙선,구리,3296,3546,6842
202101,중앙선,도농,2162,2191,4353
202101,중앙선,양정,228,197,425
202101,중앙선,덕소,1580,1658,3238
202101,중앙선,도심,601,552,1153
202101,중앙선,팔당,572,562,1134
202101,중앙선,운길산,493,466,959
202101,중앙선,양수,623,644,1267
202101,중앙선,신원,103,111,214
202101,중앙선,국수,228,243,471
202101,중앙선,아신,171,182,353
202101,중앙선,오빈,79,70,149
202101,중앙선,양평,811,932,1743
202101,중앙선,원덕,114,135,249
202101,중앙선,용문,686,792,1478
202101,중앙선,지평,12,17,29
202101,중앙선,지평,30,26,56
202101,중앙선,용문,1160,1111,2271
202101,중앙선,원덕,214,205,419
202101,중앙선,양평,1891,1799,3690
202101,중앙선,오빈,202,196,398
202101,중앙선,아신,380,362,742
202101,중앙선,국수,467,486,953
202101,중앙선,신원,152,131,283
202101,중앙선,양수,1211,1178,2389
202101,중앙선,운길산,459,417,876
202101,중앙선,팔당,584,558,1142
202101,중앙선,도심,1942,1448,3390
202101,중앙선,덕소,4447,4538,8985
202101,중앙선,양정,619,520,1139
202101,중앙선,도농,8018,7335,15353
202101,중앙선,구리,10930,11039,21969
202101,중앙선,양원,1122,1160,2282
202101,중앙선,망우,5978,5953,11931
202101,중앙선,상봉,4654,4571,9225
202101,중앙선,중랑,4401,4239,8640
202101,중앙선,회기,17602,17475,35077
202101,중앙선,지평,42,33,75
202101,중앙선,용문,1219,1268,2487
202101,중앙선,원덕,217,203,420
202101,중앙선,양평,1776,1738,3514
202101,중앙선,오빈,212,216,428
202101,중앙선,아신,337,334,671
202101,중앙선,국수,477,478,955
202101,중앙선,신원,135,113,248
202101,중앙선,양수,1169,1204,2373
202101,중앙선,운길산,449,439,888
202101,중앙선,팔당,641,605,1246
202101,중앙선,도심,1989,1558,3547
202101,중앙선,덕소,4412,4431,8843
202101,중앙선,양정,607,521,1128
202101,중앙선,도농,7973,7147,15120
202101,중앙선,구리,10792,10997,21789
202101,중앙선,양원,1112,1147,2259
202101,중앙선,망우,5950,5881,11831
202101,중앙선,상봉,4616,4653,9269
202101,중앙선,중랑,4393,4308,8701
202101,중앙선,회기,17527,17335,34862
202101,중앙선,지평,35,45,80
202101,중앙선,용문,1013,1041,2054
202101,중앙선,원덕,182,179,361
202101,중앙선,양평,1687,1669,3356
202101,중앙선,오빈,204,190,394
202101,중앙선,아신,335,321,656
202101,중앙선,국수,447,454,901
202101,중앙선,신원,125,118,243
202101,중앙선,양수,1060,1092,2152
202101,중앙선,운길산,416,379,795
202101,중앙선,팔당,576,565,1141
202101,중앙선,도심,1960,1660,3620
202101,중앙선,덕소,4332,4732,9064
202101,중앙선,양정,593,498,1091
202101,중앙선,도농,7830,7841,15671
202101,중앙선,구리,10747,11469,22216
202101,중앙선,양원,1084,1126,2210
202101,중앙선,망우,5897,5914,11811
202101,중앙선,상봉,4502,4745,9247
202101,중앙선,중랑,4316,4390,8706
202101,중앙선,회기,17592,17444,35036
202101,중앙선,지평,46,55,101
202101,중앙선,용문,1018,1082,2100
202101,중앙선,원덕,166,151,317
202101,중앙선,양평,1903,1859,3762
202101,중앙선,오빈,180,172,352
202101,중앙선,아신,338,376,714
202101,중앙선,국수,428,451,879
202101,중앙선,신원,119,110,229
202101,중앙선,양수,1140,1151,2291
202101,중앙선,운길산,438,377,815
202101,중앙선,팔당,567,559,1126
202101,중앙선,도심,2194,1669,3863
202101,중앙선,덕소,4816,4655,9471
202101,중앙선,양정,595,507,1102
202101,중앙선,도농,8618,7776,16394
202101,중앙선,구리,11331,11427,22758
202101,중앙선,양원,1095,1140,2235
202101,중앙선,망우,5902,5795,11697
202101,중앙선,상봉,4613,4708,9321
202101,중앙선,중랑,4300,4101,8401
202101,중앙선,회기,17331,17022,34353
202101,중앙선,지평,29,41,70
202101,중앙선,용문,904,1021,1925
202101,중앙선,원덕,137,138,275
202101,중앙선,양평,1802,1842,3644
202101,중앙선,오빈,175,172,347
202101,중앙선,아신,335,326,661
202101,중앙선,국수,454,460,914
202101,중앙선,신원,104,99,203
202101,중앙선,양수,979,974,1953
202101,중앙선,운길산,337,300,637
202101,중앙선,팔당,452,517,969
202101,중앙선,도심,1824,1429,3253
202101,중앙선,덕소,4064,4137,8201
202101,중앙선,양정,545,453,998
202101,중앙선,도농,7476,6920,14396
202101,중앙선,구리,10152,10412,20564
202101,중앙선,양원,1004,996,2000
202101,중앙선,망우,5492,5487,10979
202101,중앙선,상봉,4365,4409,8774
202101,중앙선,중랑,4000,4083,8083
202101,중앙선,회기,16846,16344,33190
202101,중앙선,회기,18059,17768,35827
202101,중앙선,중랑,4344,4170,8514
202101,중앙선,상봉,4594,4689,9283
202101,중앙선,망우,5926,5858,11784
202101,중앙선,양원,1145,1113,2258
202101,중앙선,구리,10764,10934,21698
202101,중앙선,도농,8026,7282,15308
202101,중앙선,양정,575,476,1051
202101,중앙선,덕소,4389,4347,8736
202101,중앙선,도심,1997,1521,3518
202101,중앙선,팔당,541,543,1084
202101,중앙선,운길산,388,373,761
202101,중앙선,양수,1192,1155,2347
202101,중앙선,신원,124,117,241
202101,중앙선,국수,422,452,874
202101,중앙선,아신,374,364,738
202101,중앙선,오빈,196,189,385
202101,중앙선,양평,1872,1792,3664
202101,중앙선,원덕,198,200,398
202101,중앙선,용문,1041,1004,2045
202101,중앙선,지평,35,32,67
202101,중앙선,지평,41,34,75
202101,중앙선,용문,1066,1122,2188
202101,중앙선,원덕,192,183,375
202101,중앙선,양평,1846,1822,3668
202101,중앙선,오빈,222,189,411
202101,중앙선,아신,366,385,751
202101,중앙선,국수,492,478,970
202101,중앙선,신원,155,141,296
202101,중앙선,양수,1186,1238,2424
202101,중앙선,운길산,469,418,887
202101,중앙선,팔당,585,581,1166
202101,중앙선,도심,2080,1861,3941
202101,중앙선,덕소,4628,5203,9831
202101,중앙선,양정,665,529,1194
202101,중앙선,도농,8413,8498,16911
202101,중앙선,구리,11505,12890,24395
202101,중앙선,양원,1242,1255,2497
202101,중앙선,망우,6233,6469,12702
202101,중앙선,상봉,4780,5077,9857
202101,중앙선,중랑,4637,4686,9323
202101,중앙선,회기,19030,18560,37590
