사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,3호선,을지로3가,1024,1009,2033
202101,3호선,종로3가,1255,1632,2887
202101,3호선,안국,2934,3029,5963
202101,3호선,경복궁,3541,3567,7108
202101,3호선,독립문,1884,2009,3893
202101,3호선,무악재,950,992,1942
202101,3호선,홍제,4446,4379,8825
202101,3호선,녹번,3341,2966,6307
202101,3호선,불광,4811,5341,10152
202101,3호선,연신내,11128,10714,21842
202101,3호선,구파발,5433,5449,10882
202101,3호선,지축,759,753,1512
202101,3호선,오금,1129,1097,2226
202101,3호선,경찰병원,1337,1337,2674
202101,3호선,가락시장,1883,1843,3726
202101,3호선,수서,3760,4403,8163
202101,3호선,일원,1532,1670,3202
202101,3호선,대청,1979,1800,3779
202101,3호선,학여울,322,310,632
202101,3호선,대치,2240,2090,4330
202101,3호선,도곡,916,942,1858
202101,3호선,매봉,1786,1692,3478
202101,3호선,양재,5075,5368,10443
202101,3호선,남부터미널,5495,5842,11337
202101,3호선,교대,1485,931,2416
202101,3호선,고속터미널,11650,12958,24608
202101,3호선,잠원,891,940,1831
202101,3호선,신사,5013,5147,10160
202101,3호선,압구정,4076,4097,8173
202101,3호선,옥수,2280,2325,4605
202101,3호선,금호,2011,1998,4009
202101,3호선,약수,3203,2955,6158
202101,3호선,동대입구,2348,2625,4973
202101,3호선,충무로,1,0,1
202101,3호선,지축,2814,2801,5615
202101,3호선,구파발,16800,15816,32616
202101,3호선,연신내,30445,29071,59516
202101,3호선,불광,13041,14016,27057
202101,3호선,녹번,12464,11607,24071
202101,3호선,홍제,14112,13678,27790
202101,3호선,무악재,3263,3371,6634
202101,3호선,독립문,5422,5657,11079
202101,3호선,경복궁,13505,13075,26580
202101,3호선,안국,13793,13722,27515
202101,3호선,종로3가,7863,8819,16682
202101,3호선,을지로3가,8838,9129,17967
202101,3호선,충무로,1,0,1
202101,3호선,동대입구,5198,5602,10800
202101,3호선,일원,7945,7804,15749
202101,3호선,수서,12074,12535,24609
202101,3호선,가락시장,7388,7210,14598
202101,3호선,경찰병원,6552,6739,13291
202101,3호선,오금,5201,4643,9844
202101,3호선,대청,7864,7272,15136
202101,3호선,학여울,1336,1414,2750
202101,3호선,대치,8344,8335,16679
202101,3호선,도곡,4432,4411,8843
202101,3호선,매봉,10559,9879,20438
202101,3호선,양재,31483,34002,65485
202101,3호선,남부터미널,23398,23767,47165
202101,3호선,교대,10722,7400,18122
202101,3호선,고속터미널,27740,25043,52783
202101,3호선,잠원,3528,3562,7090
202101,3호선,신사,24317,25304,49621
202101,3호선,압구정,25537,26832,52369
202101,3호선,옥수,6946,7271,14217
202101,3호선,금호,6478,6257,12735
202101,3호선,약수,10215,10114,20329
202101,3호선,오금,5186,4720,9906
202101,3호선,경찰병원,6575,6582,13157
202101,3호선,가락시장,7539,7317,14856
202101,3호선,수서,12046,12301,24347
202101,3호선,일원,8054,7957,16011
202101,3호선,대청,7844,7263,15107
202101,3호선,학여울,1365,1419,2784
202101,3호선,대치,8460,8475,16935
202101,3호선,도곡,4400,4333,8733
202101,3호선,매봉,10451,10001,20452
202101,3호선,양재,31484,33606,65090
202101,3호선,남부터미널,23241,23743,46984
202101,3호선,교대,11183,7510,18693
202101,3호선,고속터미널,27387,25865,53252
202101,3호선,잠원,3547,3527,7074
202101,3호선,신사,25109,25937,51046
202101,3호선,압구정,26094,27355,53449
202101,3호선,옥수,6743,7188,13931
