사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,경인선,개봉,5826,5924,11750
202101,경인선,오류동,3443,3180,6623
202101,경인선,역곡,7389,7375,14764
202101,경인선,부천,12103,12686,24789
202101,경인선,송내,6257,6331,12588
202101,경인선,부평,11452,12071,23523
202101,경인선,백운,2080,2095,4175
202101,경인선,동암,5247,5398,10645
202101,경인선,주안,6156,5593,11749
202101,경인선,제물포,2900,2752,5652
202101,경인선,동인천,4614,4484,9098
202101,경인선,인천,1817,1456,3273
202101,경인선,구일,1456,1445,2901
202101,경인선,소사,2834,2545,5379
202101,경인선,부개,2393,2407,4800
202101,경인선,간석,1691,1623,3314
202101,경인선,도원,833,883,1716
202101,경인선,온수,1718,1674,3392
202101,경인선,중동,2432,2404,4836
202101,경인선,도화,1193,1154,2347
202101,경인선,개봉,17377,18257,35634
202101,경인선,오류동,9710,9355,19065
202101,경인선,역곡,22463,22379,44842
202101,경인선,부천,26336,26216,52552
202101,경인선,송내,22545,22397,44942
202101,경인선,부평,23043,23917,46960
202101,경인선,백운,5902,5731,11633
202101,경인선,동암,12499,12558,25057
202101,경인선,주안,14574,13444,28018
202101,경인선,제물포,8079,7563,15642
202101,경인선,동인천,10881,10391,21272
202101,경인선,인천,2254,1632,3886
202101,경인선,구일,4883,5145,10028
202101,경인선,소사,7696,6948,14644
202101,경인선,부개,6861,6542,13403
202101,경인선,간석,4624,4397,9021
202101,경인선,도원,2152,2126,4278
202101,경인선,온수,5141,5137,10278
202101,경인선,중동,7467,7236,14703
202101,경인선,도화,3280,3124,6404
202101,경인선,도화,3212,2959,6171
202101,경인선,중동,7334,7058,14392
202101,경인선,온수,5194,5150,10344
202101,경인선,도원,2256,2268,4524
202101,경인선,간석,4448,4293,8741
202101,경인선,부개,6917,6585,13502
202101,경인선,소사,7555,6824,14379
202101,경인선,구일,4902,5180,10082
202101,경인선,인천,2249,1568,3817
202101,경인선,동인천,10631,10082,20713
202101,경인선,제물포,7937,7572,15509
202101,경인선,주안,14449,13082,27531
202101,경인선,동암,12190,12402,24592
202101,경인선,백운,5735,5649,11384
202101,경인선,부평,22809,23791,46600
202101,경인선,송내,22652,22590,45242
202101,경인선,부천,25877,25882,51759
202101,경인선,역곡,22080,22093,44173
202101,경인선,오류동,9466,9179,18645
202101,경인선,개봉,17338,18059,35397
202101,경인선,도화,3258,3255,6513
202101,경인선,중동,7409,7507,14916
202101,경인선,온수,5169,5217,10386
202101,경인선,도원,2458,2542,5000
202101,경인선,간석,4635,4644,9279
202101,경인선,부개,6879,6918,13797
202101,경인선,소사,7494,7004,14498
202101,경인선,구일,4971,5729,10700
202101,경인선,인천,2237,1615,3852
202101,경인선,동인천,10900,10507,21407
202101,경인선,제물포,7903,7810,15713
202101,경인선,주안,14991,13834,28825
202101,경인선,동암,12526,12767,25293
202101,경인선,백운,5546,5908,11454
202101,경인선,부평,22932,24172,47104
202101,경인선,송내,22722,23022,45744
202101,경인선,부천,26343,26634,52977
202101,경인선,역곡,22292,23332,45624
202101,경인선,오류동,9616,9886,19502
202101,경인선,개봉,17587,20083,37670
202101,경인선,도화,3496,3171,6667
202101,경인선,중동,7637,6878,14515
202101,경인선,온수,5153,5130,10283
202101,경인선,도원,2051,2101,4152
202101,경인선,간석,4860,4501,9361
202101,경인선,부개,7072,6728,13800
202101,경인선,소사,7649,6943,14592
202101,경인선,구일,5289,5288,10577
202101,경인선,인천,2363,1640,4003
202101,경인선,동인천,10946,10509,21455
202101,경인선,제물포,8227,8156,16383
202101,경인선,주안,15045,14052,29097
202101,경인선,동암,12186,12453,24639
202101,경인선,백운,5973,5763,11736
202101,경인선,부평,22943,24194,47137
202101,경인선,송내,23510,23871,47381
202101,경인선,부천,25382,25674,51056
202101,경인선,역곡,22853,22405,45258
202101,경인선,오류동,9399,9043,18442
202101,경인선,개봉,18184,18731,36915
202101,경인선,구일,4690,4852,9542
202101,경인선,도화,3027,2726,5753
202101,경인선,중동,6872,6424,13296
202101,경인선,온수,4796,4686,9482
202101,경인선,도원,1878,1930,3808
202101,경인선,간석,4341,4082,8423
202101,경인선,개봉,16676,17516,34192
202101,경인선,오류동,8832,8615,17447
202101,경인선,역곡,21203,21243,42446
202101,경인선,부천,24825,25354,50179
202101,경인선,송내,21832,21904,43736
202101,경인선,부평,22031,23861,45892
202101,경인선,백운,5315,5193,10508
