사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,과천선,선바위,1466,1467,2933
202101,과천선,경마공원,224,234,458
202101,과천선,대공원,1004,992,1996
202101,과천선,과천,1237,1114,2351
202101,과천선,정부과천청사,1663,1723,3386
202101,과천선,인덕원,4769,4876,9645
202101,과천선,평촌,3055,2990,6045
202101,과천선,범계,5658,5396,11054
202101,과천선,선바위,6888,5931,12819
202101,과천선,경마공원,683,673,1356
202101,과천선,대공원,1264,1344,2608
202101,과천선,과천,4156,3834,7990
202101,과천선,정부과천청사,7551,7486,15037
202101,과천선,인덕원,19383,20340,39723
202101,과천선,평촌,15205,15196,30401
202101,과천선,범계,19781,19174,38955
202101,과천선,범계,20157,19661,39818
202101,과천선,평촌,15357,15121,30478
202101,과천선,인덕원,19314,20115,39429
202101,과천선,정부과천청사,7555,7458,15013
202101,과천선,과천,4131,3865,7996
202101,과천선,대공원,1312,1436,2748
202101,과천선,경마공원,766,776,1542
202101,과천선,선바위,6696,5960,12656
202101,과천선,범계,20930,21165,42095
202101,과천선,평촌,15975,15765,31740
202101,과천선,인덕원,20496,22838,43334
202101,과천선,정부과천청사,8263,8016,16279
202101,과천선,과천,4323,4830,9153
202101,과천선,대공원,1342,1317,2659
202101,과천선,경마공원,976,982,1958
202101,과천선,선바위,7594,6427,14021
202101,과천선,범계,23621,22854,46475
202101,과천선,평촌,18614,17840,36454
202101,과천선,인덕원,24214,25592,49806
202101,과천선,정부과천청사,9827,9632,19459
202101,과천선,과천,5382,4997,10379
202101,과천선,대공원,1352,1554,2906
202101,과천선,경마공원,1248,1334,2582
202101,과천선,선바위,7686,7570,15256
202101,과천선,범계,21150,20454,41604
202101,과천선,평촌,15915,15842,31757
202101,과천선,인덕원,20467,21365,41832
202101,과천선,정부과천청사,8061,8031,16092
202101,과천선,과천,4426,3858,8284
202101,과천선,대공원,925,993,1918
202101,과천선,경마공원,1103,1125,2228
202101,과천선,선바위,6813,6228,13041
202101,과천선,선바위,7029,6117,13146
202101,과천선,경마공원,723,695,1418
202101,과천선,대공원,1012,1089,2101
202101,과천선,과천,4313,3766,8079
202101,과천선,정부과천청사,7867,7767,15634
202101,과천선,인덕원,19795,20792,40587
202101,과천선,평촌,15589,15507,31096
202101,과천선,범계,20271,19711,39982
202101,과천선,범계,22105,22076,44181
202101,과천선,평촌,17570,16713,34283
202101,과천선,인덕원,22301,23482,45783
202101,과천선,정부과천청사,9075,8429,17504
202101,과천선,과천,4717,4930,9647
202101,과천선,대공원,1554,1556,3110
202101,과천선,경마공원,858,842,1700
202101,과천선,선바위,7828,6445,14273
202101,과천선,선바위,7145,6765,13910
202101,과천선,경마공원,1051,1085,2136
202101,과천선,대공원,1659,1856,3515
