사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,7호선,부평구청,3822,3404,7226
202101,7호선,굴포천,3511,3533,7044
202101,7호선,삼산체육관,1567,1481,3048
202101,7호선,상동,5086,4998,10084
202101,7호선,부천시청,5311,5251,10562
202101,7호선,신중동,5267,5123,10390
202101,7호선,춘의,2884,2800,5684
202101,7호선,부천종합운동장,1716,1539,3255
202101,7호선,까치울,2779,2797,5576
202101,7호선,온수,3449,3291,6740
202101,7호선,천왕,3655,3538,7193
202101,7호선,광명사거리,10002,10003,20005
202101,7호선,철산,8164,8106,16270
202101,7호선,가산디지털단지,8348,7926,16274
202101,7호선,남구로,5356,5433,10789
202101,7호선,대림,4185,4099,8284
202101,7호선,신풍,4738,4554,9292
202101,7호선,보라매,3049,3043,6092
202101,7호선,신대방삼거리,6370,6505,12875
202101,7호선,장승배기,4047,3956,8003
202101,7호선,상도,3819,3807,7626
202101,7호선,숭실대입구,4311,4546,8857
202101,7호선,남성,4508,4489,8997
202101,7호선,이수,6211,5946,12157
202101,7호선,내방,4439,4451,8890
202101,7호선,고속터미널,6786,4984,11770
202101,7호선,반포,2547,2372,4919
202101,7호선,논현,6241,6719,12960
202101,7호선,학동,4812,5038,9850
202101,7호선,강남구청,4752,5195,9947
202101,7호선,청담,5865,6086,11951
202101,7호선,뚝섬유원지,3051,2951,6002
202101,7호선,건대입구,6048,6063,12111
202101,7호선,어린이대공원,6519,6429,12948
202101,7호선,군자,6023,4865,10888
202101,7호선,중곡,4064,3952,8016
202101,7호선,용마산,2652,2712,5364
202101,7호선,사가정,7520,7373,14893
202101,7호선,면목,6737,6775,13512
202101,7호선,상봉,7765,7612,15377
202101,7호선,중화,4660,4605,9265
202101,7호선,먹골,4375,4358,8733
202101,7호선,태릉입구,3525,3119,6644
202101,7호선,공릉,4733,4965,9698
202101,7호선,하계,6884,6546,13430
202101,7호선,중계,5312,4819,10131
202101,7호선,노원,9538,9526,19064
202101,7호선,마들,5241,5133,10374
202101,7호선,수락산,6122,6047,12169
202101,7호선,도봉산,3799,5554,9353
202101,7호선,장암,776,491,1267
202101,7호선,장암,736,463,1199
202101,7호선,도봉산,3116,4609,7725
202101,7호선,수락산,5125,5092,10217
202101,7호선,마들,3443,3202,6645
202101,7호선,노원,6282,6206,12488
202101,7호선,중계,4017,3650,7667
202101,7호선,하계,5029,4779,9808
202101,7호선,공릉,3606,3817,7423
202101,7호선,태릉입구,2571,2432,5003
202101,7호선,먹골,3266,3297,6563
202101,7호선,중화,3426,3413,6839
202101,7호선,상봉,5733,5488,11221
202101,7호선,면목,5107,5158,10265
202101,7호선,사가정,5658,5555,11213
202101,7호선,용마산,1988,2179,4167
202101,7호선,중곡,3093,3012,6105
202101,7호선,군자,4405,3813,8218
202101,7호선,어린이대공원,5852,5920,11772
202101,7호선,건대입구,4661,4680,9341
202101,7호선,뚝섬유원지,2431,2347,4778
202101,7호선,청담,3667,3926,7593
202101,7호선,강남구청,2934,3211,6145
202101,7호선,학동,2952,3215,6167
202101,7호선,논현,3759,4060,7819
202101,7호선,반포,1715,1744,3459
202101,7호선,고속터미널,9182,4369,13551
202101,7호선,내방,3025,3092,6117
202101,7호선,이수,4398,4335,8733
202101,7호선,남성,3178,3373,6551
202101,7호선,숭실대입구,3129,3493,6622
202101,7호선,상도,2822,2988,5810
202101,7호선,장승배기,2935,2962,5897
202101,7호선,신대방삼거리,4688,4888,9576
202101,7호선,보라매,2316,2426,4742
202101,7호선,신풍,3515,3355,6870
202101,7호선,대림,3747,3475,7222
202101,7호선,남구로,4494,4218,8712
202101,7호선,가산디지털단지,6325,6146,12471
202101,7호선,광명사거리,7651,7501,15152
202101,7호선,천왕,2730,2604,5334
202101,7호선,온수,2394,2399,4793
202101,7호선,까치울,2189,2083,4272
202101,7호선,부천종합운동장,1417,1268,2685
202101,7호선,춘의,2135,1949,4084
202101,7호선,신중동,3971,3743,7714
202101,7호선,부천시청,3893,3769,7662
202101,7호선,상동,3690,3573,7263
202101,7호선,삼산체육관,1220,1179,2399
202101,7호선,굴포천,2758,2571,5329
202101,7호선,부평구청,2980,2611,5591
202101,7호선,철산,5680,5817,11497
202101,7호선,부평구청,4677,4280,8957
202101,7호선,굴포천,4390,4559,8949
202101,7호선,삼산체육관,1975,1874,3849
202101,7호선,상동,6299,6436,12735
202101,7호선,부천시청,6387,6480,12867
202101,7호선,신중동,6451,6444,12895
202101,7호선,춘의,3879,3836,7715
202101,7호선,부천종합운동장,1938,1745,3683
202101,7호선,까치울,3334,3440,6774
202101,7호선,온수,4078,3979,8057
202101,7호선,천왕,4646,4412,9058
202101,7호선,광명사거리,11838,11963,23801
202101,7호선,철산,10200,10223,20423
202101,7호선,가산디지털단지,11121,10329,21450
202101,7호선,남구로,6310,6580,12890
202101,7호선,대림,4836,4972,9808
202101,7호선,신풍,5733,5563,11296
