사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,경의중앙선,중랑,2505,2473,4978
202101,경의중앙선,회기,9073,9143,18216
202101,경의중앙선,지평,20,20,40
202101,경의중앙선,용문,963,922,1885
202101,경의중앙선,원덕,152,108,260
202101,경의중앙선,양평,1172,1117,2289
202101,경의중앙선,오빈,124,117,241
202101,경의중앙선,아신,249,236,485
202101,경의중앙선,국수,339,374,713
202101,경의중앙선,신원,154,137,291
202101,경의중앙선,양수,918,894,1812
202101,경의중앙선,운길산,628,577,1205
202101,경의중앙선,팔당,807,828,1635
202101,경의중앙선,도심,877,785,1662
202101,경의중앙선,덕소,2374,2411,4785
202101,경의중앙선,양정,290,245,535
202101,경의중앙선,도농,3341,3191,6532
202101,경의중앙선,구리,5370,5621,10991
202101,경의중앙선,양원,555,550,1105
202101,경의중앙선,망우,3348,3418,6766
202101,경의중앙선,상봉,2789,2620,5409
202101,경의중앙선,임진강,19,19,38
202101,경의중앙선,문산,2261,2272,4533
202101,경의중앙선,파주,399,312,711
202101,경의중앙선,월롱,539,577,1116
202101,경의중앙선,금촌,2766,2843,5609
202101,경의중앙선,금릉,1825,1756,3581
202101,경의중앙선,운정,2095,2049,4144
202101,경의중앙선,야당,2450,2321,4771
202101,경의중앙선,탄현,2721,2646,5367
202101,경의중앙선,일산,2999,2925,5924
202101,경의중앙선,풍산,2121,2013,4134
202101,경의중앙선,백마,2035,1927,3962
202101,경의중앙선,곡산,200,203,403
202101,경의중앙선,능곡,1423,1400,2823
202101,경의중앙선,행신,2479,2467,4946
202101,경의중앙선,강매,997,898,1895
202101,경의중앙선,화전,449,454,903
202101,경의중앙선,수색,642,673,1315
202101,경의중앙선,디지털미디어시티,885,803,1688
202101,경의중앙선,가좌,1938,1928,3866
202101,경의중앙선,홍대입구,708,793,1501
202101,경의중앙선,서강대,859,822,1681
202101,경의중앙선,공덕,1140,925,2065
202101,경의중앙선,효창공원앞,935,1040,1975
202101,경의중앙선,신촌,163,150,313
202101,경의중앙선,서울역,477,514,991
202101,경의중앙선,임진강,15,18,33
202101,경의중앙선,문산,1890,1822,3712
202101,경의중앙선,파주,348,310,658
202101,경의중앙선,월롱,413,824,1237
202101,경의중앙선,금촌,2225,2352,4577
202101,경의중앙선,금릉,1363,1344,2707
202101,경의중앙선,운정,1765,1657,3422
202101,경의중앙선,야당,1945,1830,3775
202101,경의중앙선,탄현,2226,2087,4313
202101,경의중앙선,일산,2683,2424,5107
202101,경의중앙선,풍산,1773,1619,3392
202101,경의중앙선,백마,1687,1632,3319
202101,경의중앙선,곡산,143,131,274
202101,경의중앙선,능곡,1233,1142,2375
202101,경의중앙선,행신,2178,2149,4327
202101,경의중앙선,강매,741,712,1453
202101,경의중앙선,화전,384,373,757
202101,경의중앙선,수색,473,519,992
202101,경의중앙선,디지털미디어시티,709,686,1395
202101,경의중앙선,가좌,1483,1505,2988
202101,경의중앙선,홍대입구,579,635,1214
202101,경의중앙선,서강대,616,670,1286
202101,경의중앙선,공덕,837,682,1519
202101,경의중앙선,효창공원앞,685,867,1552
202101,경의중앙선,신촌,103,116,219
202101,경의중앙선,서울역,493,453,946
202101,경의중앙선,회기,7810,8289,16099
202101,경의중앙선,중랑,1973,1918,3891
202101,경의중앙선,상봉,2268,2161,4429
202101,경의중앙선,망우,2607,2558,5165
202101,경의중앙선,양원,440,445,885
202101,경의중앙선,구리,3943,4141,8084
202101,경의중앙선,도농,2611,2585,5196
202101,경의중앙선,양정,250,234,484
202101,경의중앙선,덕소,1903,1856,3759
202101,경의중앙선,도심,706,596,1302
202101,경의중앙선,팔당,736,762,1498
202101,경의중앙선,운길산,550,487,1037
202101,경의중앙선,양수,748,687,1435
202101,경의중앙선,지평,33,14,47
202101,경의중앙선,용문,933,699,1632
202101,경의중앙선,원덕,193,127,320
