사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,수인분당선,인천,634,986,1620
202101,수인분당선,신포,797,823,1620
202101,수인분당선,숭의,1542,1442,2984
202101,수인분당선,인하대,2208,2125,4333
202101,수인분당선,송도,1187,1125,2312
202101,수인분당선,연수,2123,2095,4218
202101,수인분당선,원인재,2108,2232,4340
202101,수인분당선,남동인더스파크,507,508,1015
202101,수인분당선,호구포,1277,1341,2618
202101,수인분당선,인천논현,2535,2554,5089
202101,수인분당선,소래포구,2892,2907,5799
202101,수인분당선,월곶,1194,1130,2324
202101,수인분당선,달월,39,39,78
202101,수인분당선,사리,1559,1353,2912
202101,수인분당선,야목,80,82,162
202101,수인분당선,어천,254,254,508
202101,수인분당선,오목천,875,806,1681
202101,수인분당선,고색,1078,1109,2187
202101,수인분당선,매교,978,1008,1986
202101,수인분당선,수원시청,5164,5641,10805
202101,수인분당선,매탄권선,1732,1726,3458
202101,수인분당선,망포,4315,4211,8526
202101,수인분당선,영통,3215,3246,6461
202101,수인분당선,청명,1336,1300,2636
202101,수인분당선,상갈,2044,2044,4088
202101,수인분당선,기흥,3519,3313,6832
202101,수인분당선,신갈,1379,1417,2796
202101,수인분당선,구성,1684,1720,3404
202101,수인분당선,죽전,5628,6418,12046
202101,수인분당선,보정,787,752,1539
202101,수인분당선,이매,1869,1869,3738
202101,수인분당선,오리,4351,3739,8090
202101,수인분당선,미금,6304,6358,12662
202101,수인분당선,정자,5544,5690,11234
202101,수인분당선,수내,4893,4807,9700
202101,수인분당선,서현,10585,10503,21088
202101,수인분당선,야탑,9169,9617,18786
202101,수인분당선,모란,9165,9408,18573
202101,수인분당선,태평,6241,6236,12477
202101,수인분당선,가천대,2402,2867,5269
202101,수인분당선,선정릉,1559,1619,3178
202101,수인분당선,강남구청,2394,2759,5153
202101,수인분당선,압구정로데오,8455,8885,17340
202101,수인분당선,서울숲,2422,2457,4879
202101,수인분당선,수원,4042,3301,7343
202101,수인분당선,수서,4770,4354,9124
202101,수인분당선,대모산입구,1120,1041,2161
202101,수인분당선,개포동,1181,1203,2384
202101,수인분당선,구룡,470,434,904
202101,수인분당선,도곡,2193,2136,4329
202101,수인분당선,한티,5624,5672,11296
202101,수인분당선,선릉,2467,3453,5920
202101,수인분당선,선릉,1530,2294,3824
202101,수인분당선,한티,3937,4139,8076
202101,수인분당선,도곡,1430,1393,2823
202101,수인분당선,구룡,314,377,691
202101,수인분당선,개포동,887,925,1812
202101,수인분당선,대모산입구,830,792,1622
202101,수인분당선,수서,4605,4022,8627
202101,수인분당선,수원,3277,2678,5955
202101,수인분당선,서울숲,1937,1943,3880
202101,수인분당선,압구정로데오,5047,5418,10465
202101,수인분당선,강남구청,1557,1746,3303
202101,수인분당선,선정릉,1047,1158,2205
202101,수인분당선,가천대,1933,2469,4402
202101,수인분당선,태평,4935,4748,9683
202101,수인분당선,모란,6322,6744,13066
202101,수인분당선,야탑,7491,7235,14726
202101,수인분당선,서현,7656,7713,15369
202101,수인분당선,수내,3671,3530,7201
202101,수인분당선,정자,3917,4110,8027
202101,수인분당선,미금,4098,4425,8523
202101,수인분당선,오리,3110,2852,5962
202101,수인분당선,이매,1418,1470,2888
202101,수인분당선,보정,542,530,1072
202101,수인분당선,죽전,4527,5173,9700
202101,수인분당선,구성,1285,1280,2565
202101,수인분당선,신갈,1031,1065,2096
202101,수인분당선,기흥,2895,2745,5640
202101,수인분당선,상갈,1601,1700,3301
202101,수인분당선,청명,1023,1057,2080
202101,수인분당선,영통,2483,2554,5037
202101,수인분당선,망포,3415,3812,7227
202101,수인분당선,매탄권선,1373,1326,2699
202101,수인분당선,수원시청,4007,3946,7953
202101,수인분당선,매교,754,807,1561
202101,수인분당선,고색,889,948,1837
202101,수인분당선,오목천,698,711,1409
202101,수인분당선,어천,215,337,552
202101,수인분당선,야목,87,75,162
202101,수인분당선,사리,1197,1004,2201
202101,수인분당선,달월,37,30,67
202101,수인분당선,월곶,959,909,1868
202101,수인분당선,소래포구,2379,2288,4667
202101,수인분당선,인천논현,1784,1852,3636
202101,수인분당선,호구포,1124,1191,2315
202101,수인분당선,남동인더스파크,328,422,750
