사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,9호선,개화,573,482,1055
202101,9호선,김포공항,3002,4841,7843
202101,9호선,공항시장,944,939,1883
202101,9호선,신방화,1694,1646,3340
202101,9호선,마곡나루,2192,2195,4387
202101,9호선,양천향교,2134,2046,4180
202101,9호선,가양,4849,4650,9499
202101,9호선,증미,1729,1687,3416
202101,9호선,등촌,2468,2450,4918
202101,9호선,염창,3968,3831,7799
202101,9호선,신목동,691,606,1297
202101,9호선,선유도,1227,1086,2313
202101,9호선,당산,3917,3677,7594
202101,9호선,국회의사당,1488,1334,2822
202101,9호선,여의도,2240,2063,4303
202101,9호선,샛강,815,777,1592
202101,9호선,노량진,6866,7260,14126
202101,9호선,노들,1156,1010,2166
202101,9호선,흑석,1843,1871,3714
202101,9호선,동작,462,428,890
202101,9호선,구반포,467,494,961
202101,9호선,신반포,520,532,1052
202101,9호선,고속터미널,3048,4369,7417
202101,9호선,사평,508,483,991
202101,9호선,신논현,6210,6071,12281
202101,9호선,언주,1451,1365,2816
202101,9호선,선정릉,1371,1379,2750
202101,9호선,삼성중앙,898,908,1806
202101,9호선,봉은사,3334,3292,6626
202101,9호선,종합운동장,926,872,1798
202101,9호선,삼전,1817,1669,3486
202101,9호선,석촌고분,1537,1443,2980
202101,9호선,석촌,1951,1645,3596
202101,9호선,송파나루,1195,1153,2348
202101,9호선,한성백제,585,494,1079
202101,9호선,올림픽공원,1229,1199,2428
202101,9호선,둔촌오륜,176,190,366
202101,9호선,중앙보훈병원,1448,1394,2842
202101,9호선,개화,2135,1449,3584
202101,9호선,김포공항,5436,6171,11607
202101,9호선,공항시장,2314,2612,4926
202101,9호선,신방화,5489,5462,10951
202101,9호선,마곡나루,8562,8601,17163
202101,9호선,양천향교,7589,7927,15516
202101,9호선,가양,16579,16604,33183
202101,9호선,증미,6121,6264,12385
202101,9호선,등촌,8990,9161,18151
202101,9호선,염창,13675,13878,27553
202101,9호선,신목동,3151,2902,6053
202101,9호선,선유도,6377,6163,12540
202101,9호선,중앙보훈병원,8104,7247,15351
