사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,경춘선,신내,351,354,705
202101,경춘선,갈매,684,622,1306
202101,경춘선,별내,738,774,1512
202101,경춘선,퇴계원,966,951,1917
202101,경춘선,사릉,842,872,1714
202101,경춘선,금곡,430,427,857
202101,경춘선,평내호평,1659,1715,3374
202101,경춘선,천마산,585,569,1154
202101,경춘선,마석,1099,1285,2384
202101,경춘선,대성리,262,205,467
202101,경춘선,청평,627,602,1229
202101,경춘선,상천,141,102,243
202101,경춘선,가평,635,572,1207
202101,경춘선,굴봉산,54,53,107
202101,경춘선,백양리,50,36,86
202101,경춘선,강촌,191,186,377
202101,경춘선,김유정,120,130,250
202101,경춘선,남춘천,952,907,1859
202101,경춘선,춘천,533,502,1035
202101,경춘선,신내,1170,1142,2312
202101,경춘선,갈매,2392,2114,4506
202101,경춘선,별내,2143,2082,4225
202101,경춘선,퇴계원,2910,2718,5628
202101,경춘선,사릉,2844,2678,5522
202101,경춘선,금곡,1248,1113,2361
202101,경춘선,평내호평,4827,4607,9434
202101,경춘선,천마산,1271,1261,2532
202101,경춘선,마석,2947,2928,5875
202101,경춘선,대성리,328,260,588
202101,경춘선,청평,948,906,1854
202101,경춘선,상천,178,147,325
202101,경춘선,가평,924,914,1838
202101,경춘선,굴봉산,52,61,113
202101,경춘선,백양리,82,93,175
202101,경춘선,강촌,178,182,360
202101,경춘선,김유정,160,149,309
202101,경춘선,남춘천,1477,1515,2992
202101,경춘선,춘천,727,650,1377
202101,경춘선,춘천,732,739,1471
202101,경춘선,남춘천,1413,1475,2888
202101,경춘선,김유정,146,130,276
202101,경춘선,강촌,228,213,441
202101,경춘선,백양리,119,114,233
202101,경춘선,굴봉산,55,72,127
202101,경춘선,가평,961,919,1880
202101,경춘선,상천,151,155,306
202101,경춘선,청평,945,916,1861
202101,경춘선,대성리,328,271,599
202101,경춘선,마석,2889,2835,5724
202101,경춘선,천마산,1231,1131,2362
202101,경춘선,평내호평,4659,4601,9260
202101,경춘선,금곡,1210,1138,2348
202101,경춘선,사릉,2695,2615,5310
202101,경춘선,퇴계원,2934,2717,5651
202101,경춘선,별내,2068,2063,4131
202101,경춘선,갈매,2460,2091,4551
202101,경춘선,신내,1178,1224,2402
202101,경춘선,춘천,628,612,1240
202101,경춘선,남춘천,1353,1383,2736
202101,경춘선,김유정,126,138,264
202101,경춘선,강촌,158,170,328
202101,경춘선,백양리,85,79,164
202101,경춘선,굴봉산,51,69,120
202101,경춘선,가평,884,875,1759
202101,경춘선,상천,130,110,240
202101,경춘선,청평,884,922,1806
202101,경춘선,대성리,296,261,557
202101,경춘선,마석,2757,3000,5757
202101,경춘선,천마산,1199,1247,2446
202101,경춘선,평내호평,4732,5021,9753
202101,경춘선,금곡,1236,1162,2398
202101,경춘선,사릉,2671,2784,5455
202101,경춘선,퇴계원,2920,2924,5844
202101,경춘선,별내,2098,2171,4269
202101,경춘선,갈매,2461,2264,4725
202101,경춘선,신내,1171,1246,2417
202101,경춘선,춘천,734,734,1468
202101,경춘선,남춘천,1571,1571,3142
202101,경춘선,김유정,141,142,283
202101,경춘선,강촌,198,211,409
202101,경춘선,백양리,100,105,205
202101,경춘선,굴봉산,63,46,109
202101,경춘선,가평,967,998,1965
202101,경춘선,상천,133,141,274
