사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,분당선,선릉,1471,1811,3282
202101,분당선,한티,2563,2561,5124
202101,분당선,도곡,1273,1178,2451
202101,분당선,구룡,270,254,524
202101,분당선,개포동,669,681,1350
202101,분당선,대모산입구,659,606,1265
202101,분당선,수서,2983,3517,6500
202101,분당선,수원,2803,2282,5085
202101,분당선,서울숲,1570,1440,3010
202101,분당선,압구정로데오,2634,2911,5545
202101,분당선,강남구청,1161,1345,2506
202101,분당선,선정릉,924,878,1802
202101,분당선,가천대,1704,2059,3763
202101,분당선,태평,4448,4194,8642
202101,분당선,모란,5910,6074,11984
202101,분당선,야탑,5940,6185,12125
202101,분당선,서현,5962,5880,11842
202101,분당선,수내,2433,2316,4749
202101,분당선,정자,3497,3399,6896
202101,분당선,미금,3709,3807,7516
202101,분당선,오리,2744,2320,5064
202101,분당선,이매,1202,1224,2426
202101,분당선,보정,447,422,869
202101,분당선,죽전,3146,3513,6659
202101,분당선,구성,992,1092,2084
202101,분당선,신갈,850,899,1749
202101,분당선,기흥,2431,2381,4812
202101,분당선,상갈,1314,1397,2711
202101,분당선,청명,823,846,1669
202101,분당선,영통,2257,2300,4557
202101,분당선,망포,3192,2945,6137
202101,분당선,매탄권선,1221,1156,2377
202101,분당선,수원시청,3603,3585,7188
202101,분당선,매교,669,670,1339
202101,분당선,매교,2098,2157,4255
202101,분당선,수원시청,9398,9713,19111
202101,분당선,매탄권선,3582,3468,7050
202101,분당선,망포,10882,10775,21657
202101,분당선,영통,5989,6107,12096
202101,분당선,청명,3112,3050,6162
202101,분당선,상갈,4151,4044,8195
202101,분당선,기흥,7352,7067,14419
202101,분당선,신갈,3667,3651,7318
202101,분당선,구성,3806,4060,7866
202101,분당선,죽전,10090,11155,21245
202101,분당선,보정,1803,1557,3360
202101,분당선,이매,4067,3890,7957
202101,분당선,오리,9527,8123,17650
202101,분당선,미금,12612,13541,26153
202101,분당선,정자,12438,13151,25589
202101,분당선,수내,10517,10488,21005
202101,분당선,서현,19275,19296,38571
202101,분당선,야탑,20154,20854,41008
202101,분당선,모란,17663,17968,35631
202101,분당선,태평,11194,11100,22294
202101,분당선,가천대,5193,6105,11298
202101,분당선,선릉,11708,16873,28581
202101,분당선,한티,10707,11551,22258
202101,분당선,도곡,5242,5293,10535
202101,분당선,구룡,1591,1557,3148
202101,분당선,개포동,2807,2874,5681
202101,분당선,대모산입구,2908,2720,5628
