사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,장항선,봉명,294,282,576
202101,장항선,쌍용,573,581,1154
202101,장항선,아산,978,1073,2051
202101,장항선,배방,387,334,721
202101,장항선,온양온천,1633,1601,3234
202101,장항선,신창,445,378,823
202101,장항선,신창,685,777,1462
202101,장항선,온양온천,2765,2805,5570
202101,장항선,배방,679,666,1345
202101,장항선,아산,2010,1777,3787
202101,장항선,쌍용,1453,1407,2860
202101,장항선,봉명,986,961,1947
202101,장항선,신창,669,675,1344
202101,장항선,온양온천,2418,2490,4908
202101,장항선,배방,702,649,1351
202101,장항선,아산,1845,1674,3519
202101,장항선,쌍용,1340,1259,2599
202101,장항선,봉명,940,925,1865
202101,장항선,신창,674,642,1316
202101,장항선,온양온천,2342,2393,4735
202101,장항선,배방,649,615,1264
202101,장항선,아산,1836,1669,3505
202101,장항선,쌍용,1350,1280,2630
202101,장항선,봉명,1015,999,2014
202101,장항선,신창,636,656,1292
202101,장항선,온양온천,2518,2443,4961
202101,장항선,배방,807,745,1552
202101,장항선,아산,2268,1983,4251
202101,장항선,쌍용,1703,1413,3116
202101,장항선,봉명,1050,1007,2057
202101,장항선,신창,778,674,1452
202101,장항선,온양온천,2490,2500,4990
202101,장항선,배방,820,685,1505
202101,장항선,아산,2287,2087,4374
202101,장항선,쌍용,1439,1262,2701
202101,장항선,봉명,916,875,1791
202101,장항선,봉명,986,919,1905
202101,장항선,쌍용,1360,1316,2676
202101,장항선,아산,2027,1798,3825
202101,장항선,배방,715,710,1425
202101,장항선,온양온천,2540,2548,5088
202101,장항선,신창,715,757,1472
202101,장항선,신창,648,657,1305
202101,장항선,온양온천,2582,2646,5228
202101,장항선,배방,716,692,1408
202101,장항선,아산,1947,1730,3677
202101,장항선,쌍용,1386,1310,2696
202101,장항선,봉명,1012,963,1975
202101,장항선,봉명,1035,955,1990
202101,장항선,쌍용,1424,1359,2783
202101,장항선,아산,1923,1821,3744
202101,장항선,배방,704,708,1412
202101,장항선,온양온천,2693,2625,5318
202101,장항선,신창,723,715,1438
