사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,경의선,서울역,370,408,778
202101,경의선,신촌,97,85,182
202101,경의선,효창공원앞,647,686,1333
202101,경의선,공덕,821,659,1480
202101,경의선,서강대,548,495,1043
202101,경의선,홍대입구,546,577,1123
202101,경의선,가좌,1296,1238,2534
202101,경의선,디지털미디어시티,652,554,1206
202101,경의선,수색,431,434,865
202101,경의선,화전,312,309,621
202101,경의선,강매,641,640,1281
202101,경의선,행신,1693,1782,3475
202101,경의선,능곡,1025,1033,2058
202101,경의선,곡산,113,117,230
202101,경의선,백마,1430,1404,2834
202101,경의선,풍산,1537,1460,2997
202101,경의선,일산,2003,2087,4090
202101,경의선,탄현,1906,1838,3744
202101,경의선,야당,1730,1651,3381
202101,경의선,운정,1439,1471,2910
202101,경의선,금릉,1189,1243,2432
202101,경의선,금촌,2149,2215,4364
202101,경의선,월롱,546,491,1037
202101,경의선,파주,301,283,584
202101,경의선,문산,1617,1698,3315
202101,경의선,임진강,25,13,38
202101,경의선,서울역,3370,4096,7466
202101,경의선,신촌,627,784,1411
202101,경의선,효창공원앞,2378,2744,5122
202101,경의선,공덕,2819,2406,5225
202101,경의선,서강대,1552,1470,3022
202101,경의선,홍대입구,1120,1212,2332
202101,경의선,가좌,4199,3966,8165
202101,경의선,디지털미디어시티,1882,1880,3762
202101,경의선,수색,2068,2101,4169
202101,경의선,화전,1076,968,2044
202101,경의선,강매,2578,2301,4879
202101,경의선,행신,6072,6213,12285
202101,경의선,능곡,2948,2654,5602
202101,경의선,곡산,399,426,825
202101,경의선,백마,5377,5242,10619
202101,경의선,풍산,4060,3805,7865
202101,경의선,일산,7257,7303,14560
202101,경의선,탄현,5855,5785,11640
202101,경의선,야당,4608,4360,8968
202101,경의선,운정,4887,4573,9460
202101,경의선,금릉,3475,3290,6765
202101,경의선,금촌,4863,4853,9716
202101,경의선,월롱,1589,1576,3165
202101,경의선,파주,747,537,1284
202101,경의선,문산,3719,3664,7383
202101,경의선,임진강,6,3,9
202101,경의선,임진강,7,4,11
202101,경의선,문산,3661,3609,7270
202101,경의선,파주,749,559,1308
202101,경의선,월롱,1573,1461,3034
202101,경의선,금촌,4683,4668,9351
202101,경의선,금릉,3415,3256,6671
202101,경의선,운정,4723,4561,9284
202101,경의선,야당,4571,4412,8983
202101,경의선,탄현,5796,5751,11547
202101,경의선,일산,7133,7201,14334
202101,경의선,풍산,4081,3899,7980
202101,경의선,백마,5273,5086,10359
202101,경의선,곡산,398,428,826
202101,경의선,능곡,2863,2602,5465
202101,경의선,행신,6038,5957,11995
202101,경의선,강매,2571,2262,4833
202101,경의선,화전,1124,1057,2181
202101,경의선,수색,2092,2407,4499
202101,경의선,디지털미디어시티,1966,1866,3832
202101,경의선,가좌,4295,4251,8546
202101,경의선,홍대입구,1109,1221,2330
202101,경의선,서강대,1502,1486,2988
202101,경의선,공덕,2932,2448,5380
202101,경의선,효창공원앞,2381,2729,5110
202101,경의선,신촌,634,729,1363
202101,경의선,서울역,3141,3989,7130
202101,경의선,임진강,5,2,7
202101,경의선,문산,3416,3455,6871
202101,경의선,파주,718,519,1237
202101,경의선,월롱,1654,1459,3113
202101,경의선,금촌,4707,4663,9370
202101,경의선,금릉,3317,3275,6592
202101,경의선,운정,4689,4733,9422
202101,경의선,야당,4459,4474,8933
202101,경의선,탄현,5704,5916,11620
202101,경의선,일산,6898,7298,14196
202101,경의선,풍산,4029,4011,8040
202101,경의선,백마,5191,5319,10510
202101,경의선,곡산,418,399,817
202101,경의선,능곡,2850,2749,5599
202101,경의선,행신,5935,6276,12211
202101,경의선,강매,2495,2336,4831
202101,경의선,화전,1095,1052,2147
202101,경의선,수색,2069,2095,4164
202101,경의선,디지털미디어시티,1950,2003,3953
202101,경의선,가좌,4119,4264,8383
202101,경의선,홍대입구,1130,1201,2331
202101,경의선,서강대,1520,1481,3001
202101,경의선,공덕,2969,2546,5515
202101,경의선,효창공원앞,2449,2943,5392
202101,경의선,신촌,657,713,1370
202101,경의선,서울역,3197,3772,6969
202101,경의선,임진강,2,3,5
202101,경의선,문산,3467,3500,6967
202101,경의선,파주,652,511,1163
202101,경의선,월롱,1674,1497,3171
202101,경의선,금촌,4402,4488,8890
202101,경의선,금릉,3304,3204,6508
202101,경의선,운정,4727,4551,9278
202101,경의선,야당,4564,4423,8987
202101,경의선,탄현,5807,5804,11611
202101,경의선,일산,6914,7075,13989
202101,경의선,풍산,4080,3935,8015
202101,경의선,백마,5371,5223,10594
202101,경의선,곡산,410,428,838
202101,경의선,능곡,2831,2575,5406
202101,경의선,행신,6177,6280,12457
202101,경의선,강매,2490,2225,4715
202101,경의선,화전,1122,1054,2176
202101,경의선,수색,2028,2123,4151
202101,경의선,디지털미디어시티,1840,1813,3653
202101,경의선,가좌,4280,4064,8344
202101,경의선,홍대입구,1071,1169,2240
202101,경의선,서강대,1552,1396,2948
202101,경의선,공덕,2998,2389,5387
202101,경의선,효창공원앞,2564,2910,5474
202101,경의선,신촌,593,724,1317
202101,경의선,서울역,3175,3953,7128
202101,경의선,서울역,2975,3686,6661
202101,경의선,신촌,602,655,1257
202101,경의선,효창공원앞,2330,2649,4979
202101,경의선,공덕,2828,2328,5156
202101,경의선,서강대,1394,1348,2742
202101,경의선,홍대입구,1096,1155,2251
202101,경의선,가좌,3852,3647,7499
202101,경의선,디지털미디어시티,1743,1860,3603
202101,경의선,수색,1876,1929,3805
202101,경의선,화전,1009,948,1957
202101,경의선,강매,2298,2023,4321
202101,경의선,행신,5862,5951,11813
202101,경의선,능곡,2576,2367,4943
202101,경의선,곡산,383,378,761
202101,경의선,백마,4870,4905,9775
202101,경의선,풍산,3753,3595,7348
202101,경의선,일산,6458,6698,13156
202101,경의선,탄현,5508,5493,11001
202101,경의선,야당,4208,4163,8371
202101,경의선,운정,4415,4300,8715
202101,경의선,금릉,3149,3044,6193
202101,경의선,금촌,4334,4400,8734
202101,경의선,월롱,1796,1363,3159
202101,경의선,파주,674,488,1162
202101,경의선,문산,3355,3351,6706
202101,경의선,임진강,3,1,4
202101,경의선,계양,1,0,1
202101,경의선,서울역,2235,3708,5943
202101,경의선,신촌,652,750,1402
202101,경의선,효창공원앞,2445,2772,5217
202101,경의선,공덕,2834,2445,5279
202101,경의선,서강대,1560,1504,3064
202101,경의선,홍대입구,1091,1206,2297
202101,경의선,가좌,4230,4004,8234
202101,경의선,디지털미디어시티,1851,1847,3698
202101,경의선,수색,2047,2071,4118
202101,경의선,화전,1135,1065,2200
202101,경의선,강매,2541,2257,4798
202101,경의선,행신,6028,6096,12124
202101,경의선,능곡,2872,2671,5543
202101,경의선,곡산,390,392,782
202101,경의선,백마,5295,5152,10447
202101,경의선,풍산,4127,3847,7974
202101,경의선,일산,7158,7187,14345
202101,경의선,탄현,5884,5765,11649
202101,경의선,야당,4750,4516,9266
202101,경의선,운정,4869,4589,9458
202101,경의선,금릉,3541,3364,6905
202101,경의선,금촌,4856,4883,9739
202101,경의선,월롱,1639,1535,3174
202101,경의선,파주,746,541,1287
202101,경의선,문산,3656,3642,7298
202101,경의선,임진강,8,3,11
202101,경의선,서울역,1048,210,1258
202101,경의선,계양,1,0,1
202101,경의선,임진강,10,3,13
202101,경의선,문산,3795,3808,7603
202101,경의선,파주,716,562,1278
202101,경의선,월롱,1909,1523,3432
202101,경의선,금촌,4894,4964,9858
202101,경의선,금릉,3556,3470,7026
202101,경의선,운정,4997,5158,10155
202101,경의선,야당,4802,4930,9732
202101,경의선,탄현,6113,6411,12524
202101,경의선,일산,7425,7951,15376
202101,경의선,풍산,4374,4386,8760
202101,경의선,백마,5465,5724,11189
202101,경의선,곡산,445,450,895
202101,경의선,능곡,3044,2968,6012
202101,경의선,행신,6283,6883,13166
202101,경의선,강매,2525,2384,4909
202101,경의선,화전,1218,1131,2349
202101,경의선,수색,2249,2206,4455
202101,경의선,디지털미디어시티,1983,2038,4021
202101,경의선,가좌,4498,4749,9247
202101,경의선,홍대입구,1199,1288,2487
202101,경의선,서강대,1580,1563,3143
202101,경의선,공덕,3060,2586,5646
202101,경의선,효창공원앞,2607,3081,5688
202101,경의선,신촌,759,769,1528
202101,경의선,서울역,3616,4077,7693
202101,경의선,가좌,4476,4167,8643
202101,경의선,화전,1275,1184,2459
202101,경의선,강매,2643,2319,4962
202101,경의선,행신,6360,6425,12785
202101,경의선,능곡,3076,2796,5872
202101,경의선,곡산,425,446,871
202101,경의선,백마,5743,5504,11247
202101,경의선,풍산,4346,4084,8430
202101,경의선,일산,8012,7948,15960
202101,경의선,탄현,6265,6100,12365
202101,경의선,야당,5053,4921,9974
202101,경의선,운정,5137,4793,9930
202101,경의선,금릉,3636,3495,7131
202101,경의선,금촌,4983,5000,9983
202101,경의선,월롱,1779,1632,3411
202101,경의선,파주,818,606,1424
202101,경의선,문산,3866,3806,7672
202101,경의선,임진강,5,7,12
202101,경의선,디지털미디어시티,2020,1945,3965
202101,경의선,홍대입구,1265,1385,2650
202101,경의선,수색,2147,2199,4346
202101,경의선,서강대,1599,1533,3132
202101,경의선,공덕,3058,2632,5690
202101,경의선,효창공원앞,2577,2937,5514
202101,경의선,신촌,717,828,1545
202101,경의선,서울역,3486,4279,7765
202101,경의선,서울역,3402,4150,7552
202101,경의선,신촌,696,787,1483
202101,경의선,효창공원앞,2420,2881,5301
202101,경의선,공덕,2969,2590,5559
202101,경의선,서강대,1528,1480,3008
202101,경의선,홍대입구,1251,1314,2565
202101,경의선,가좌,4535,4244,8779
202101,경의선,디지털미디어시티,2031,1870,3901
202101,경의선,수색,2142,2167,4309
202101,경의선,화전,1210,1193,2403
202101,경의선,강매,2644,2334,4978
202101,경의선,행신,6313,6271,12584
202101,경의선,능곡,3024,2801,5825
202101,경의선,곡산,465,484,949
202101,경의선,백마,5487,5341,10828
202101,경의선,풍산,4405,4245,8650
202101,경의선,일산,7529,7634,15163
202101,경의선,탄현,6235,6106,12341
202101,경의선,야당,5058,4865,9923
202101,경의선,운정,4990,4847,9837
202101,경의선,금릉,3585,3491,7076
202101,경의선,금촌,5039,4868,9907
