사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,우이신설선,북한산우이,1623,1659,3282
202101,우이신설선,솔밭공원,746,755,1501
202101,우이신설선,4.19민주묘지,964,781,1745
202101,우이신설선,가오리,1179,1148,2327
202101,우이신설선,화계,1004,942,1946
202101,우이신설선,삼양,654,724,1378
202101,우이신설선,삼양사거리,786,813,1599
202101,우이신설선,솔샘,1313,1242,2555
202101,우이신설선,북한산보국문,1721,1620,3341
202101,우이신설선,정릉,1321,1140,2461
202101,우이신설선,성신여대입구,987,1146,2133
202101,우이신설선,보문,469,448,917
202101,우이신설선,신설동,621,557,1178
202101,우이신설선,신설동,1789,1656,3445
202101,우이신설선,보문,1205,1210,2415
202101,우이신설선,성신여대입구,2244,2479,4723
202101,우이신설선,정릉,3512,3418,6930
202101,우이신설선,북한산보국문,4440,4520,8960
202101,우이신설선,솔샘,4611,4386,8997
202101,우이신설선,삼양사거리,1940,2016,3956
202101,우이신설선,삼양,1684,1822,3506
202101,우이신설선,화계,2734,2650,5384
202101,우이신설선,가오리,3154,3260,6414
202101,우이신설선,4.19민주묘지,2069,2005,4074
202101,우이신설선,솔밭공원,1829,1898,3727
202101,우이신설선,북한산우이,1806,1615,3421
202101,우이신설선,신설동,1759,1679,3438
202101,우이신설선,보문,1227,1199,2426
202101,우이신설선,성신여대입구,2383,2562,4945
202101,우이신설선,정릉,3478,3414,6892
202101,우이신설선,북한산보국문,4621,4631,9252
202101,우이신설선,솔샘,4635,4476,9111
202101,우이신설선,삼양사거리,1889,2003,3892
202101,우이신설선,삼양,1624,1830,3454
202101,우이신설선,화계,2610,2546,5156
202101,우이신설선,가오리,3195,3266,6461
202101,우이신설선,4.19민주묘지,2100,2006,4106
202101,우이신설선,솔밭공원,1943,1928,3871
202101,우이신설선,북한산우이,1892,1737,3629
202101,우이신설선,신설동,1818,1696,3514
202101,우이신설선,보문,1309,1305,2614
202101,우이신설선,성신여대입구,2567,2644,5211
202101,우이신설선,정릉,3601,3781,7382
202101,우이신설선,북한산보국문,4563,5156,9719
202101,우이신설선,솔샘,4593,4877,9470
202101,우이신설선,삼양사거리,1889,2020,3909
202101,우이신설선,삼양,1722,1899,3621
202101,우이신설선,화계,2644,2689,5333
202101,우이신설선,가오리,3145,3412,6557
202101,우이신설선,4.19민주묘지,1964,2095,4059
202101,우이신설선,솔밭공원,1804,1895,3699
202101,우이신설선,북한산우이,1703,1555,3258
202101,우이신설선,신설동,1685,1558,3243
202101,우이신설선,보문,1209,1230,2439
202101,우이신설선,성신여대입구,2679,2686,5365
202101,우이신설선,정릉,3579,3585,7164
202101,우이신설선,북한산보국문,4806,4713,9519
202101,우이신설선,솔샘,4942,4594,9536
202101,우이신설선,삼양사거리,1751,1862,3613
202101,우이신설선,삼양,1598,1686,3284
202101,우이신설선,화계,2585,2525,5110
202101,우이신설선,가오리,3191,3321,6512
202101,우이신설선,4.19민주묘지,1911,1932,3843
202101,우이신설선,솔밭공원,1851,1868,3719
202101,우이신설선,북한산우이,1642,1464,3106
202101,우이신설선,신설동,1491,1492,2983
202101,우이신설선,보문,1135,1143,2278
202101,우이신설선,성신여대입구,2206,2469,4675
202101,우이신설선,정릉,3265,3207,6472
202101,우이신설선,북한산보국문,4482,4538,9020
202101,우이신설선,솔샘,4428,4145,8573
202101,우이신설선,삼양사거리,1601,1697,3298
202101,우이신설선,삼양,1477,1600,3077
202101,우이신설선,화계,2421,2299,4720
202101,우이신설선,가오리,2960,2954,5914
202101,우이신설선,4.19민주묘지,1815,1859,3674
202101,우이신설선,솔밭공원,1738,1722,3460
202101,우이신설선,북한산우이,1473,1203,2676
202101,우이신설선,정릉,3523,3416,6939
202101,우이신설선,북한산보국문,4600,4683,9283
202101,우이신설선,솔샘,4729,4490,9219
202101,우이신설선,삼양사거리,1914,1969,3883
202101,우이신설선,삼양,1632,1752,3384
202101,우이신설선,화계,2619,2535,5154
202101,우이신설선,가오리,3145,3230,6375
202101,우이신설선,4.19민주묘지,2054,2054,4108
202101,우이신설선,솔밭공원,1891,1884,3775
202101,우이신설선,북한산우이,1677,1555,3232
202101,우이신설선,신설동,1790,1657,3447
202101,우이신설선,보문,1194,1242,2436
202101,우이신설선,성신여대입구,2430,2615,5045
202101,우이신설선,신설동,2054,1722,3776
202101,우이신설선,보문,1412,1435,2847
202101,우이신설선,성신여대입구,2833,3040,5873
202101,우이신설선,정릉,3754,4238,7992
202101,우이신설선,북한산보국문,4997,5545,10542
202101,우이신설선,솔샘,4908,5310,10218
202101,우이신설선,삼양사거리,2112,2246,4358
202101,우이신설선,삼양,1706,2023,3729
202101,우이신설선,화계,2767,2970,5737
202101,우이신설선,가오리,3340,3759,7099
202101,우이신설선,4.19민주묘지,2239,2288,4527
202101,우이신설선,솔밭공원,1998,2090,4088
202101,우이신설선,북한산우이,1814,1785,3599
202101,우이신설선,북한산우이,2370,2157,4527
202101,우이신설선,솔밭공원,1983,2021,4004
202101,우이신설선,4.19민주묘지,2218,2185,4403
202101,우이신설선,가오리,3425,3375,6800
202101,우이신설선,화계,2771,2580,5351
202101,우이신설선,삼양,1735,1847,3582
202101,우이신설선,삼양사거리,1932,2038,3970
202101,우이신설선,솔샘,5101,4704,9805
202101,우이신설선,북한산보국문,5170,4908,10078
202101,우이신설선,정릉,3940,3701,7641
202101,우이신설선,성신여대입구,2436,2715,5151
202101,우이신설선,보문,1199,1293,2492
202101,우이신설선,신설동,1813,1729,3542
202101,우이신설선,북한산우이,2031,1881,3912
202101,우이신설선,솔밭공원,1965,2009,3974
202101,우이신설선,4.19민주묘지,2200,2158,4358
202101,우이신설선,가오리,3364,3467,6831
202101,우이신설선,화계,2792,2644,5436
202101,우이신설선,삼양,1759,1852,3611
202101,우이신설선,삼양사거리,1985,2096,4081
202101,우이신설선,솔샘,4855,4624,9479
202101,우이신설선,북한산보국문,4821,4767,9588
202101,우이신설선,정릉,3756,3621,7377
202101,우이신설선,성신여대입구,2488,2794,5282
202101,우이신설선,보문,1285,1293,2578
202101,우이신설선,신설동,1839,1800,3639
202101,우이신설선,성신여대입구,2476,2722,5198
202101,우이신설선,보문,1200,1230,2430
202101,우이신설선,신설동,1791,1695,3486
202101,우이신설선,솔샘,4699,4438,9137
202101,우이신설선,북한산보국문,4747,4684,9431
202101,우이신설선,정릉,3761,3486,7247
202101,우이신설선,북한산우이,1857,1699,3556
202101,우이신설선,솔밭공원,1995,1920,3915
202101,우이신설선,4.19민주묘지,2194,2129,4323
202101,우이신설선,가오리,3257,3289,6546
202101,우이신설선,화계,2726,2595,5321
202101,우이신설선,삼양,1685,1842,3527
202101,우이신설선,삼양사거리,1913,1980,3893
202101,우이신설선,신설동,1844,1771,3615
202101,우이신설선,보문,1256,1297,2553
202101,우이신설선,성신여대입구,2588,2899,5487
202101,우이신설선,정릉,3797,3736,7533
202101,우이신설선,북한산보국문,5125,5035,10160
202101,우이신설선,솔샘,5186,4874,10060
202101,우이신설선,삼양사거리,1985,2091,4076
202101,우이신설선,삼양,1738,1843,3581
