사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20211106,경부선,병점,13252,12963,26215
20211106,5호선,답십리,10503,9356,19859
20211106,5호선,장한평,11626,11104,22730
20211106,5호선,군자,8742,9459,18201
20211106,5호선,아차산,14335,13804,28139
20211106,5호선,광나루,10520,9993,20513
20211106,5호선,천호,17015,16261,33276
20211106,5호선,마장,3955,3752,7707
20211106,5호선,강동,13365,12657,26022
20211106,5호선,굽은다리,7765,7191,14956
20211106,5호선,명일,6586,6484,13070
20211106,5호선,고덕,6904,6589,13493
20211106,5호선,상일동,10267,9387,19654
20211106,5호선,둔촌동,6348,6340,12688
20211106,5호선,올림픽공원,3980,4117,8097
20211106,5호선,길동,6070,6313,12383
20211106,5호선,왕십리,3637,4516,8153
20211106,5호선,행당,5821,5083,10904
20211106,5호선,신금호,4373,4464,8837
20211106,5호선,영등포구청,1968,1931,3899
20211106,5호선,영등포시장,8058,8414,16472
20211106,5호선,신길,2614,2761,5375
20211106,5호선,여의도,11045,12172,23217
20211106,5호선,여의나루,13050,14055,27105
20211106,5호선,마포,7688,7775,15463
20211106,5호선,공덕,7599,7799,15398
20211106,5호선,애오개,3732,3546,7278
20211106,5호선,충정로,2089,1943,4032
20211106,5호선,서대문,7803,7656,15459
20211106,5호선,광화문,18647,18696,37343
20211106,5호선,종로3가,13940,14644,28584
20211106,5호선,을지로4가,3626,3949,7575
20211106,5호선,동대문역사문화공원,996,1259,2255
20211106,5호선,청구,2584,2275,4859
20211106,5호선,방이,5880,5793,11673
20211106,5호선,오금,3054,2748,5802
20211106,5호선,개롱,4536,4634,9170
20211106,5호선,거여,6080,5696,11776
20211106,6호선,광흥창,5450,4778,10228
20211106,6호선,대흥,5846,5687,11533
20211106,6호선,공덕,10845,10002,20847
20211106,6호선,효창공원앞,4915,4178,9093
20211106,6호선,삼각지,5597,4212,9809
20211106,6호선,녹사평,5301,5551,10852
20211106,6호선,이태원,12234,16044,28278
20211106,6호선,한강진,8871,10903,19774
20211106,6호선,버티고개,1273,1359,2632
