사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,4호선,수리산,1670,1570,3240
202101,4호선,오이도,4031,4040,8071
202101,4호선,정왕,3168,3394,6562
202101,4호선,신길온천,719,710,1429
202101,4호선,안산,6299,6274,12573
202101,4호선,초지,1548,1589,3137
202101,4호선,고잔,2905,2686,5591
202101,4호선,중앙,7328,7575,14903
202101,4호선,한대앞,3554,3474,7028
202101,4호선,상록수,6973,6779,13752
202101,4호선,반월,1901,1811,3712
202101,4호선,대야미,2139,1896,4035
202101,4호선,산본,6411,6840,13251
202101,4호선,범계,10408,9875,20283
202101,4호선,평촌,4615,4557,9172
202101,4호선,인덕원,7595,7536,15131
202101,4호선,정부과천청사,2590,2651,5241
202101,4호선,과천,1995,1789,3784
202101,4호선,대공원,1691,1777,3468
202101,4호선,경마공원,598,594,1192
202101,4호선,선바위,2460,2269,4729
202101,4호선,쌍문,12277,11291,23568
202101,4호선,창동,11236,11911,23147
202101,4호선,노원,8913,9767,18680
202101,4호선,상계,8140,7761,15901
202101,4호선,당고개,5707,5451,11158
202101,4호선,남태령,383,378,761
202101,4호선,사당,8752,8333,17085
202101,4호선,총신대입구,7734,8434,16168
202101,4호선,동작,1100,1077,2177
202101,4호선,이촌,2406,2716,5122
202101,4호선,신용산,4667,4752,9419
202101,4호선,삼각지,1274,1548,2822
202101,4호선,숙대입구,4219,4101,8320
202101,4호선,서울역,2425,4003,6428
202101,4호선,회현,6789,7060,13849
202101,4호선,명동,6217,6604,12821
202101,4호선,충무로,5573,5809,11382
202101,4호선,동대문역사문화공원,4987,4512,9499
202101,4호선,동대문,5508,5612,11120
202101,4호선,혜화,10234,10444,20678
202101,4호선,한성대입구,5327,5242,10569
202101,4호선,성신여대입구,8838,8684,17522
202101,4호선,길음,7056,6948,14004
202101,4호선,미아사거리,12866,12528,25394
202101,4호선,미아,6345,6191,12536
202101,4호선,수유,15531,15112,30643
202101,4호선,선바위,1852,1778,3630
202101,4호선,경마공원,490,460,950
202101,4호선,대공원,1495,1593,3088
202101,4호선,과천,1560,1448,3008
202101,4호선,정부과천청사,2001,2141,4142
202101,4호선,인덕원,5628,5627,11255
202101,4호선,평촌,3406,3353,6759
202101,4호선,범계,7540,7147,14687
202101,4호선,산본,4818,5052,9870
202101,4호선,대야미,1621,1523,3144
202101,4호선,반월,1410,1438,2848
202101,4호선,상록수,5530,5287,10817
202101,4호선,한대앞,2776,2744,5520
202101,4호선,중앙,5838,5598,11436
202101,4호선,고잔,2318,2176,4494
202101,4호선,초지,1168,1115,2283
202101,4호선,안산,6229,5181,11410
202101,4호선,신길온천,683,567,1250
202101,4호선,정왕,2844,3227,6071
