사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,일산선,백석,2724,2825,5549
20210101,경부선,오산대,979,871,1850
20210101,경부선,오산,3992,3831,7823
20210101,경부선,진위,444,391,835
20210101,경부선,송탄,1869,1683,3552
20210101,경부선,서정리,2276,1967,4243
20210101,경부선,지제,862,923,1785
20210101,경부선,세마,748,700,1448
20210101,경부선,평택,5087,5111,10198
20210101,경부선,직산,279,258,537
20210101,경부선,두정,2101,2111,4212
20210101,경부선,천안,2302,2505,4807
20210101,경부선,당정,1389,1394,2783
20210101,경부선,서동탄,313,327,640
20210101,경부선,광명,686,688,1374
20210101,경부선,성환,1289,1156,2445
20210101,경부선,병점,4195,4293,8488
20210101,경부선,세류,1018,990,2008
20210101,경부선,독산,3029,3017,6046
20210101,경부선,신도림,944,885,1829
20210101,경부선,신길,2502,2072,4574
20210101,경부선,구로,4952,5190,10142
20210101,경부선,가산디지털단지,2239,3083,5322
20210101,경부선,금천구청,3031,3037,6068
20210101,경부선,석수,2443,2382,4825
20210101,경부선,관악,2112,2046,4158
20210101,경부선,안양,6256,6440,12696
20210101,경부선,명학,1756,1683,3439
20210101,경부선,금정,6731,6792,13523
20210101,경부선,군포,1786,1591,3377
20210101,경부선,의왕,2167,2123,4290
20210101,경부선,성균관대,3578,3646,7224
20210101,경부선,화서,1715,1771,3486
20210101,경부선,수원,13351,14446,27797
20210101,경원선,이촌,828,637,1465
20210101,경원선,서빙고,427,365,792
20210101,경원선,한남,1014,929,1943
20210101,경원선,옥수,9,18,27
20210101,경원선,덕정,1625,1606,3231
20210101,경원선,지행,2089,2102,4191
20210101,경원선,동두천중앙,1108,1154,2262
20210101,경원선,보산,700,762,1462
20210101,경원선,동두천,568,714,1282
20210101,경원선,소요산,1555,1447,3002
20210101,경의선,서울역,370,408,778
20210101,경의선,신촌,97,85,182
20210101,경의선,효창공원앞,647,686,1333
20210101,경의선,공덕,821,659,1480
20210101,경의선,서강대,548,495,1043
20210101,경의선,홍대입구,546,577,1123
20210101,경의선,가좌,1296,1238,2534
20210101,경의선,디지털미디어시티,652,554,1206
20210101,경의선,수색,431,434,865
20210101,경원선,덕계,739,779,1518
20210101,경부선,영등포,13323,13885,27208
20210101,경원선,양주,2221,2255,4476
20210101,경원선,가능,2071,2035,4106
20210101,경원선,응봉,550,475,1025
20210101,경원선,왕십리,4224,5014,9238
20210101,경원선,청량리,4434,5033,9467
20210101,경원선,외대앞,2275,2208,4483
20210101,경원선,신이문,2439,2308,4747
20210101,경원선,석계,2415,2556,4971
