사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,4호선,명동,4270,4248,8518
202101,4호선,회현,2567,2621,5188
202101,4호선,서울역,1925,3471,5396
202101,4호선,숙대입구,2782,2512,5294
202101,4호선,삼각지,770,852,1622
202101,4호선,신용산,2912,3251,6163
202101,4호선,이촌,1459,1662,3121
202101,4호선,동작,881,901,1782
202101,4호선,총신대입구,4704,4911,9615
202101,4호선,사당,5982,5539,11521
202101,4호선,남태령,256,235,491
202101,4호선,당고개,3814,3739,7553
202101,4호선,상계,5339,5022,10361
202101,4호선,노원,5372,5997,11369
202101,4호선,창동,7060,7804,14864
202101,4호선,쌍문,7683,7352,15035
202101,4호선,충무로,3693,3421,7114
202101,4호선,동대문역사문화공원,3433,2933,6366
202101,4호선,동대문,2553,2506,5059
202101,4호선,혜화,7099,7128,14227
202101,4호선,한성대입구,3475,3358,6833
202101,4호선,성신여대입구,5893,5612,11505
202101,4호선,길음,4472,4344,8816
202101,4호선,미아사거리,7803,7425,15228
202101,4호선,미아,4256,4083,8339
202101,4호선,수유,10525,10242,20767
202101,4호선,선바위,1466,1467,2933
202101,4호선,경마공원,224,234,458
202101,4호선,대공원,1004,992,1996
202101,4호선,과천,1237,1114,2351
202101,4호선,정부과천청사,1663,1723,3386
202101,4호선,인덕원,4769,4876,9645
202101,4호선,평촌,3055,2990,6045
202101,4호선,범계,5658,5396,11054
202101,4호선,산본,4196,4530,8726
202101,4호선,대야미,1445,1322,2767
202101,4호선,반월,1307,1311,2618
202101,4호선,상록수,4734,4921,9655
202101,4호선,한대앞,2416,2573,4989
202101,4호선,중앙,4962,5197,10159
202101,4호선,고잔,2051,1879,3930
202101,4호선,초지,1072,1214,2286
202101,4호선,안산,4941,5147,10088
202101,4호선,신길온천,525,499,1024
202101,4호선,정왕,2906,2759,5665
202101,4호선,오이도,3185,3299,6484
202101,4호선,수리산,1062,968,2030
202101,4호선,수리산,3503,2958,6461
202101,4호선,오이도,6491,6135,12626
202101,4호선,정왕,5993,6723,12716
202101,4호선,신길온천,1328,1226,2554
202101,4호선,안산,10028,8952,18980
202101,4호선,초지,3496,3567,7063
202101,4호선,한대앞,6587,6636,13223
202101,4호선,상록수,13086,13257,26343
202101,4호선,반월,3419,3295,6714
202101,4호선,대야미,3915,3653,7568
202101,4호선,산본,12625,13549,26174
202101,4호선,수유,28501,28601,57102
202101,4호선,미아,12483,12416,24899
202101,4호선,미아사거리,22804,22485,45289
202101,4호선,길음,16336,16016,32352
202101,4호선,성신여대입구,14939,14451,29390
202101,4호선,한성대입구,9987,10003,19990
202101,4호선,혜화,21467,21296,42763
202101,4호선,동대문,16383,17097,33480
202101,4호선,동대문역사문화공원,11737,10955,22692
202101,4호선,충무로,22258,23061,45319
202101,4호선,명동,13349,13603,26952
202101,4호선,회현,18674,19400,38074
202101,4호선,서울역,8841,10657,19498
202101,4호선,숙대입구,9791,9688,19479
202101,4호선,삼각지,3697,3944,7641
202101,4호선,신용산,12089,12545,24634
202101,4호선,이촌,5134,5773,10907
