사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,수인분당선,송도,824,798,1622
202101,수인분당선,연수,1600,1571,3171
202101,수인분당선,원인재,1496,1492,2988
202101,수인분당선,남동인더스파크,365,302,667
202101,수인분당선,호구포,1036,935,1971
202101,수인분당선,인천논현,1649,1756,3405
202101,수인분당선,소래포구,2402,2360,4762
202101,수인분당선,월곶,874,910,1784
202101,수인분당선,달월,30,26,56
202101,수인분당선,사리,1073,1045,2118
202101,수인분당선,선릉,1471,1811,3282
202101,수인분당선,한티,2563,2561,5124
202101,수인분당선,도곡,1273,1178,2451
202101,수인분당선,구룡,270,254,524
202101,수인분당선,개포동,669,681,1350
202101,수인분당선,대모산입구,659,606,1265
202101,수인분당선,수서,2983,3517,6500
202101,수인분당선,수원,2803,2282,5085
202101,수인분당선,서울숲,1570,1440,3010
202101,수인분당선,압구정로데오,2634,2911,5545
202101,수인분당선,강남구청,1161,1345,2506
202101,수인분당선,선정릉,924,878,1802
202101,수인분당선,가천대,1704,2059,3763
202101,수인분당선,태평,4448,4194,8642
202101,수인분당선,모란,5910,6074,11984
202101,수인분당선,야탑,5940,6185,12125
202101,수인분당선,서현,5962,5880,11842
202101,수인분당선,수내,2433,2316,4749
202101,수인분당선,정자,3497,3399,6896
202101,수인분당선,미금,3709,3807,7516
202101,수인분당선,오리,2744,2320,5064
202101,수인분당선,이매,1202,1224,2426
202101,수인분당선,보정,447,422,869
202101,수인분당선,죽전,3146,3513,6659
202101,수인분당선,구성,992,1092,2084
202101,수인분당선,신갈,850,899,1749
202101,수인분당선,기흥,2431,2381,4812
202101,수인분당선,상갈,1314,1397,2711
202101,수인분당선,청명,823,846,1669
202101,수인분당선,영통,2257,2300,4557
202101,수인분당선,망포,3192,2945,6137
202101,수인분당선,매탄권선,1221,1156,2377
202101,수인분당선,수원시청,3603,3585,7188
202101,수인분당선,매교,669,670,1339
202101,수인분당선,고색,814,855,1669
202101,수인분당선,오목천,632,547,1179
202101,수인분당선,어천,230,246,476
202101,수인분당선,야목,80,86,166
202101,수인분당선,인하대,1698,1626,3324
202101,수인분당선,숭의,1134,1076,2210
202101,수인분당선,신포,558,629,1187
202101,수인분당선,인천,572,816,1388
202101,수인분당선,인천,698,1167,1865
202101,수인분당선,신포,1346,1336,2682
202101,수인분당선,숭의,3195,2983,6178
202101,수인분당선,인하대,4204,4030,8234
202101,수인분당선,송도,1997,1807,3804
202101,수인분당선,연수,3286,3214,6500
202101,수인분당선,원인재,3426,3498,6924
202101,수인분당선,남동인더스파크,2039,2301,4340
202101,수인분당선,호구포,3045,3252,6297
202101,수인분당선,인천논현,4299,4390,8689
202101,수인분당선,소래포구,3301,3103,6404
202101,수인분당선,월곶,1916,1780,3696
202101,수인분당선,달월,85,54,139
202101,수인분당선,사리,2822,2600,5422
202101,수인분당선,야목,141,108,249
202101,수인분당선,어천,399,436,835
202101,수인분당선,오목천,1704,1628,3332
202101,수인분당선,고색,2781,2774,5555
202101,수인분당선,매교,2098,2157,4255
202101,수인분당선,수원시청,9398,9713,19111
202101,수인분당선,매탄권선,3582,3468,7050
202101,수인분당선,망포,10882,10775,21657
202101,수인분당선,영통,5989,6107,12096
202101,수인분당선,청명,3112,3050,6162
202101,수인분당선,상갈,4151,4044,8195
202101,수인분당선,기흥,7352,7067,14419
202101,수인분당선,신갈,3667,3651,7318
