사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,9호선,개화,573,482,1055
20210101,9호선,신논현,6210,6071,12281
20210101,9호선,사평,508,483,991
20210101,9호선,고속터미널,3048,4369,7417
20210101,9호선,신반포,520,532,1052
20210101,9호선,구반포,467,494,961
20210101,9호선,동작,462,428,890
20210101,9호선,노들,1156,1010,2166
20210101,9호선,노량진,6866,7260,14126
20210101,9호선,샛강,815,777,1592
20210101,9호선,여의도,2240,2063,4303
20210101,9호선,국회의사당,1488,1334,2822
20210101,9호선,흑석,1843,1871,3714
20210101,9호선,선유도,1227,1086,2313
20210101,9호선,당산,3917,3677,7594
20210101,9호선,공항시장,944,939,1883
20210101,9호선,신방화,1694,1646,3340
20210101,9호선,마곡나루,2192,2195,4387
20210101,9호선,양천향교,2134,2046,4180
20210101,9호선,김포공항,3002,4841,7843
20210101,9호선,증미,1729,1687,3416
20210101,9호선,등촌,2468,2450,4918
20210101,9호선,염창,3968,3831,7799
20210101,9호선,신목동,691,606,1297
20210101,9호선,가양,4849,4650,9499
20210102,9호선,신목동,1115,953,2068
20210102,9호선,염창,5939,5855,11794
20210102,9호선,등촌,3824,3931,7755
20210102,9호선,증미,2420,2522,4942
20210102,9호선,가양,7249,7409,14658
20210102,9호선,신방화,2576,2459,5035
20210102,9호선,마곡나루,3267,3279,6546
20210102,9호선,공항시장,1333,1466,2799
20210102,9호선,김포공항,4344,5124,9468
20210102,9호선,개화,736,642,1378
20210102,9호선,양천향교,2870,3083,5953
20210102,9호선,선유도,1721,1743,3464
20210102,9호선,구반포,866,957,1823
20210102,9호선,국회의사당,1723,1754,3477
20210102,9호선,당산,5978,5867,11845
20210102,9호선,신논현,12272,12017,24289
20210102,9호선,사평,926,893,1819
20210102,9호선,고속터미널,5633,6792,12425
20210102,9호선,신반포,1006,935,1941
20210102,9호선,노들,1719,1527,3246
20210102,9호선,동작,655,494,1149
20210102,9호선,흑석,2712,2935,5647
20210102,9호선,노량진,9732,10192,19924
20210102,9호선,샛강,1307,1368,2675
20210102,9호선,여의도,3503,3367,6870
20210103,9호선,여의도,2833,2816,5649
20210103,9호선,샛강,915,1042,1957
20210103,9호선,노량진,7457,8261,15718
20210103,9호선,노들,1344,1174,2518
20210103,9호선,동작,510,427,937
20210103,9호선,신반포,676,670,1346
20210103,9호선,국회의사당,1733,1607,3340
20210103,9호선,고속터미널,5713,5953,11666
20210103,9호선,사평,644,735,1379
20210103,9호선,신논현,7388,7228,14616
20210103,9호선,구반포,599,686,1285
20210103,9호선,당산,4584,4884,9468
20210103,9호선,흑석,2023,2241,4264
20210103,9호선,신목동,904,831,1735
20210103,9호선,김포공항,4806,5401,10207
20210103,9호선,공항시장,968,1163,2131
20210103,9호선,신방화,2003,2008,4011
20210103,9호선,마곡나루,2542,2807,5349
20210103,9호선,양천향교,2180,2521,4701
20210103,9호선,개화,617,571,1188
20210103,9호선,가양,5431,5568,10999
20210103,9호선,증미,1836,1963,3799
20210103,9호선,등촌,2789,3038,5827
20210103,9호선,염창,4531,4779,9310
20210103,9호선,선유도,1310,1480,2790
20210104,9호선,고속터미널,8088,9702,17790
20210104,9호선,신반포,2321,2358,4679
20210104,9호선,구반포,2067,2191,4258
20210104,9호선,동작,1300,1014,2314
20210104,9호선,흑석,5725,6222,11947
20210104,9호선,노량진,18077,17741,35818
20210104,9호선,샛강,4571,4798,9369
20210104,9호선,여의도,19998,19173,39171
20210104,9호선,국회의사당,13111,13070,26181
20210104,9호선,사평,2435,2536,4971
20210104,9호선,노들,3421,3127,6548
20210104,9호선,신논현,24222,23750,47972
20210104,9호선,당산,14030,14298,28328
20210104,9호선,신목동,3151,2902,6053
20210104,9호선,개화,2135,1449,3584
20210104,9호선,김포공항,5436,6171,11607
20210104,9호선,공항시장,2314,2612,4926
20210104,9호선,신방화,5489,5462,10951
20210104,9호선,마곡나루,8562,8601,17163
20210104,9호선,선유도,6377,6163,12540
20210104,9호선,가양,16579,16604,33183
20210104,9호선,증미,6121,6264,12385
20210104,9호선,등촌,8990,9161,18151
20210104,9호선,염창,13675,13878,27553
20210104,9호선,양천향교,7589,7927,15516
20210105,9호선,신목동,3128,2857,5985
20210105,9호선,염창,13707,13682,27389
20210105,9호선,등촌,8921,8991,17912
20210105,9호선,증미,6253,6417,12670
20210105,9호선,가양,16422,16417,32839
20210105,9호선,마곡나루,8616,8624,17240
20210105,9호선,신방화,5442,5464,10906
20210105,9호선,공항시장,2283,2613,4896
20210105,9호선,김포공항,4805,6079,10884
20210105,9호선,선유도,6414,6149,12563
20210105,9호선,양천향교,7533,7909,15442
20210105,9호선,개화,2047,1428,3475
20210105,9호선,당산,14091,14055,28146
20210105,9호선,여의도,20083,19162,39245
20210105,9호선,국회의사당,13365,13262,26627
20210105,9호선,신논현,24257,23791,48048
20210105,9호선,사평,2445,2516,4961
