사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,9호선2~3단계,언주,1451,1365,2816
20210101,9호선2~3단계,중앙보훈병원,1448,1394,2842
20210101,9호선2~3단계,둔촌오륜,176,190,366
20210101,9호선2~3단계,올림픽공원,1229,1199,2428
20210101,9호선2~3단계,송파나루,1195,1153,2348
20210101,9호선2~3단계,석촌,1951,1645,3596
20210101,9호선2~3단계,한성백제,585,494,1079
20210101,9호선2~3단계,삼전,1817,1669,3486
20210101,9호선2~3단계,종합운동장,926,872,1798
20210101,9호선2~3단계,봉은사,3334,3292,6626
20210101,9호선2~3단계,삼성중앙,898,908,1806
20210101,9호선2~3단계,선정릉,1371,1379,2750
20210101,9호선2~3단계,석촌고분,1537,1443,2980
20210102,9호선2~3단계,종합운동장,1446,1400,2846
20210102,9호선2~3단계,언주,2723,2665,5388
20210102,9호선2~3단계,선정릉,2062,2321,4383
20210102,9호선2~3단계,삼성중앙,1575,1595,3170
20210102,9호선2~3단계,봉은사,4492,4367,8859
20210102,9호선2~3단계,삼전,2702,2621,5323
20210102,9호선2~3단계,올림픽공원,1915,1910,3825
20210102,9호선2~3단계,석촌,2824,2523,5347
20210102,9호선2~3단계,송파나루,1811,1899,3710
20210102,9호선2~3단계,한성백제,857,777,1634
20210102,9호선2~3단계,둔촌오륜,278,274,552
20210102,9호선2~3단계,중앙보훈병원,2199,1996,4195
20210102,9호선2~3단계,석촌고분,2227,2271,4498
20210103,9호선2~3단계,한성백제,628,663,1291
20210103,9호선2~3단계,선정릉,1527,1737,3264
20210103,9호선2~3단계,언주,1704,1822,3526
20210103,9호선2~3단계,중앙보훈병원,1723,1642,3365
20210103,9호선2~3단계,올림픽공원,1463,1473,2936
20210103,9호선2~3단계,송파나루,1332,1521,2853
20210103,9호선2~3단계,둔촌오륜,227,232,459
20210103,9호선2~3단계,석촌고분,1767,1890,3657
20210103,9호선2~3단계,삼전,2021,2132,4153
20210103,9호선2~3단계,석촌,2172,2041,4213
20210103,9호선2~3단계,종합운동장,1050,1101,2151
20210103,9호선2~3단계,봉은사,3390,3331,6721
20210103,9호선2~3단계,삼성중앙,1152,1214,2366
20210104,9호선2~3단계,선정릉,7720,8207,15927
20210104,9호선2~3단계,삼성중앙,5686,5736,11422
20210104,9호선2~3단계,봉은사,11899,11921,23820
20210104,9호선2~3단계,종합운동장,3271,3224,6495
20210104,9호선2~3단계,삼전,5354,5243,10597
20210104,9호선2~3단계,석촌고분,4695,4796,9491
20210104,9호선2~3단계,언주,8307,8337,16644
20210104,9호선2~3단계,송파나루,3396,3682,7078
20210104,9호선2~3단계,한성백제,1870,1730,3600
20210104,9호선2~3단계,올림픽공원,4174,4078,8252
20210104,9호선2~3단계,둔촌오륜,790,760,1550
20210104,9호선2~3단계,중앙보훈병원,8104,7247,15351
20210104,9호선2~3단계,석촌,5947,5456,11403
20210105,9호선2~3단계,언주,8336,8415,16751
20210105,9호선2~3단계,선정릉,7619,8237,15856
20210105,9호선2~3단계,삼성중앙,5730,5870,11600
20210105,9호선2~3단계,봉은사,12085,12032,24117
20210105,9호선2~3단계,종합운동장,3285,3190,6475
20210105,9호선2~3단계,삼전,5352,5305,10657
20210105,9호선2~3단계,석촌고분,4737,4867,9604
20210105,9호선2~3단계,송파나루,3583,3787,7370
20210105,9호선2~3단계,한성백제,1880,1774,3654
20210105,9호선2~3단계,올림픽공원,4084,4005,8089
20210105,9호선2~3단계,둔촌오륜,828,769,1597
20210105,9호선2~3단계,중앙보훈병원,8230,7197,15427
20210105,9호선2~3단계,석촌,6139,5379,11518
20210106,9호선2~3단계,삼전,5904,6414,12318
20210106,9호선2~3단계,언주,10125,8947,19072
20210106,9호선2~3단계,선정릉,8046,8455,16501
20210106,9호선2~3단계,삼성중앙,6928,6107,13035
20210106,9호선2~3단계,종합운동장,3646,3538,7184
20210106,9호선2~3단계,석촌고분,5060,5720,10780
20210106,9호선2~3단계,봉은사,13641,12248,25889
20210106,9호선2~3단계,송파나루,3963,4273,8236
20210106,9호선2~3단계,중앙보훈병원,8085,7375,15460
20210106,9호선2~3단계,둔촌오륜,846,830,1676
20210106,9호선2~3단계,석촌,6124,5670,11794
20210106,9호선2~3단계,한성백제,2084,1976,4060
20210106,9호선2~3단계,올림픽공원,4049,4204,8253
20210107,9호선2~3단계,언주,10306,10179,20485
20210107,9호선2~3단계,선정릉,8222,8679,16901
20210107,9호선2~3단계,삼성중앙,6587,6980,13567
20210107,9호선2~3단계,봉은사,13447,13655,27102
20210107,9호선2~3단계,삼전,6983,6623,13606
20210107,9호선2~3단계,석촌고분,6163,6045,12208
20210107,9호선2~3단계,종합운동장,4358,3953,8311
20210107,9호선2~3단계,송파나루,4542,4679,9221
20210107,9호선2~3단계,한성백제,2464,2299,4763
20210107,9호선2~3단계,올림픽공원,4651,4566,9217
20210107,9호선2~3단계,둔촌오륜,1088,898,1986
20210107,9호선2~3단계,중앙보훈병원,8592,7839,16431
20210107,9호선2~3단계,석촌,6356,5581,11937
20210108,9호선2~3단계,송파나루,4049,4201,8250
20210108,9호선2~3단계,중앙보훈병원,8114,6976,15090
20210108,9호선2~3단계,둔촌오륜,888,806,1694
20210108,9호선2~3단계,올림픽공원,4098,4013,8111
20210108,9호선2~3단계,한성백제,2079,1875,3954
20210108,9호선2~3단계,석촌,6221,5541,11762
20210108,9호선2~3단계,선정릉,7749,8231,15980
20210108,9호선2~3단계,삼전,6079,5793,11872
20210108,9호선2~3단계,종합운동장,3748,3498,7246
20210108,9호선2~3단계,봉은사,12648,12621,25269
20210108,9호선2~3단계,삼성중앙,5915,6114,12029
20210108,9호선2~3단계,언주,9204,9234,18438
20210108,9호선2~3단계,석촌고분,5402,5423,10825
20210109,9호선2~3단계,삼전,3534,3466,7000
20210109,9호선2~3단계,선정릉,2998,3159,6157
20210109,9호선2~3단계,삼성중앙,2156,2122,4278
20210109,9호선2~3단계,봉은사,5856,5914,11770
20210109,9호선2~3단계,종합운동장,1933,1811,3744
20210109,9호선2~3단계,언주,4213,4098,8311
20210109,9호선2~3단계,석촌고분,3049,2978,6027
20210109,9호선2~3단계,송파나루,2526,2616,5142
20210109,9호선2~3단계,한성백제,1228,1082,2310
20210109,9호선2~3단계,올림픽공원,2156,2116,4272
20210109,9호선2~3단계,둔촌오륜,449,411,860
20210109,9호선2~3단계,중앙보훈병원,2537,2287,4824
20210109,9호선2~3단계,석촌,3769,3175,6944
20210110,9호선2~3단계,선정릉,1871,2078,3949
20210110,9호선2~3단계,삼성중앙,1234,1325,2559
20210110,9호선2~3단계,봉은사,4184,4049,8233
20210110,9호선2~3단계,종합운동장,1178,1128,2306
20210110,9호선2~3단계,삼전,2402,2399,4801
20210110,9호선2~3단계,석촌고분,2028,2046,4074
20210110,9호선2~3단계,언주,2280,2272,4552
20210110,9호선2~3단계,송파나루,1675,1758,3433
20210110,9호선2~3단계,한성백제,799,693,1492
20210110,9호선2~3단계,올림픽공원,1546,1547,3093
20210110,9호선2~3단계,둔촌오륜,281,261,542
20210110,9호선2~3단계,중앙보훈병원,1782,1737,3519
20210110,9호선2~3단계,석촌,2588,2192,4780
20210111,9호선2~3단계,중앙보훈병원,8273,7402,15675
20210111,9호선2~3단계,둔촌오륜,873,782,1655
20210111,9호선2~3단계,올림픽공원,4263,4072,8335
20210111,9호선2~3단계,한성백제,1958,1863,3821
20210111,9호선2~3단계,송파나루,3709,3913,7622
20210111,9호선2~3단계,석촌,6219,5568,11787
20210111,9호선2~3단계,석촌고분,4942,5014,9956
20210111,9호선2~3단계,종합운동장,3399,3306,6705
20210111,9호선2~3단계,봉은사,12395,12308,24703
20210111,9호선2~3단계,삼성중앙,5771,6010,11781
20210111,9호선2~3단계,선정릉,7950,8401,16351
20210111,9호선2~3단계,언주,8856,8926,17782
20210111,9호선2~3단계,삼전,5720,5684,11404
20210112,9호선2~3단계,종합운동장,3703,3704,7407
20210112,9호선2~3단계,언주,10294,9224,19518
20210112,9호선2~3단계,선정릉,8529,8908,17437
20210112,9호선2~3단계,삼성중앙,6925,6605,13530
20210112,9호선2~3단계,봉은사,13921,12721,26642
20210112,9호선2~3단계,삼전,6086,6504,12590
20210112,9호선2~3단계,올림픽공원,4647,4556,9203
20210112,9호선2~3단계,석촌,6463,5921,12384
20210112,9호선2~3단계,송파나루,4100,4542,8642
20210112,9호선2~3단계,한성백제,2309,2089,4398
20210112,9호선2~3단계,석촌고분,5468,5899,11367
20210112,9호선2~3단계,둔촌오륜,1000,819,1819
20210112,9호선2~3단계,중앙보훈병원,8586,7508,16094
20210113,9호선2~3단계,선정릉,8167,8722,16889
20210113,9호선2~3단계,삼성중앙,5976,6342,12318
20210113,9호선2~3단계,봉은사,12925,13221,26146
20210113,9호선2~3단계,종합운동장,3549,3543,7092
20210113,9호선2~3단계,삼전,6060,5793,11853
20210113,9호선2~3단계,석촌고분,5266,5322,10588
20210113,9호선2~3단계,석촌,6576,5745,12321
20210113,9호선2~3단계,송파나루,3984,4083,8067
20210113,9호선2~3단계,한성백제,2206,2044,4250
20210113,9호선2~3단계,올림픽공원,4660,4602,9262
20210113,9호선2~3단계,둔촌오륜,904,840,1744
20210113,9호선2~3단계,중앙보훈병원,8689,7711,16400
20210113,9호선2~3단계,언주,8941,9260,18201
20210114,9호선2~3단계,둔촌오륜,873,784,1657
20210114,9호선2~3단계,올림픽공원,4584,4398,8982
20210114,9호선2~3단계,한성백제,2107,1931,4038
20210114,9호선2~3단계,송파나루,3837,4025,7862
20210114,9호선2~3단계,석촌,6464,5683,12147
20210114,9호선2~3단계,석촌고분,5088,5133,10221
20210114,9호선2~3단계,중앙보훈병원,8247,7219,15466
20210114,9호선2~3단계,종합운동장,3490,3461,6951
20210114,9호선2~3단계,봉은사,12675,12860,25535
20210114,9호선2~3단계,삼성중앙,5854,6155,12009
20210114,9호선2~3단계,선정릉,8230,8746,16976
20210114,9호선2~3단계,언주,8915,8994,17909
20210114,9호선2~3단계,삼전,5745,5593,11338
20210115,9호선2~3단계,둔촌오륜,894,811,1705
20210115,9호선2~3단계,올림픽공원,4426,4334,8760
20210115,9호선2~3단계,한성백제,2068,1932,4000
20210115,9호선2~3단계,송파나루,3977,4117,8094
20210115,9호선2~3단계,석촌,6748,5963,12711
20210115,9호선2~3단계,석촌고분,5145,5166,10311
20210115,9호선2~3단계,중앙보훈병원,8161,7149,15310
20210115,9호선2~3단계,종합운동장,3545,3535,7080
20210115,9호선2~3단계,봉은사,12848,12690,25538
20210115,9호선2~3단계,삼성중앙,5790,5951,11741
20210115,9호선2~3단계,선정릉,8305,8886,17191
20210115,9호선2~3단계,언주,9076,8967,18043
20210115,9호선2~3단계,삼전,5792,5655,11447
20210116,9호선2~3단계,중앙보훈병원,2913,2690,5603
20210116,9호선2~3단계,둔촌오륜,489,437,926
20210116,9호선2~3단계,올림픽공원,2650,2516,5166
20210116,9호선2~3단계,한성백제,1243,1121,2364
20210116,9호선2~3단계,송파나루,2664,2773,5437
20210116,9호선2~3단계,석촌,4242,3675,7917
20210116,9호선2~3단계,석촌고분,3225,3117,6342
20210116,9호선2~3단계,종합운동장,2037,1911,3948
20210116,9호선2~3단계,봉은사,6458,6577,13035
20210116,9호선2~3단계,삼성중앙,2302,2269,4571
20210116,9호선2~3단계,선정릉,3288,3625,6913
20210116,9호선2~3단계,언주,4444,4382,8826
20210116,9호선2~3단계,삼전,3799,3445,7244
20210117,9호선2~3단계,석촌,2780,2408,5188
20210117,9호선2~3단계,둔촌오륜,274,280,554
20210117,9호선2~3단계,올림픽공원,1751,1759,3510
20210117,9호선2~3단계,한성백제,794,783,1577
20210117,9호선2~3단계,송파나루,1784,1942,3726
20210117,9호선2~3단계,석촌고분,2122,2222,4344
20210117,9호선2~3단계,중앙보훈병원,1904,1850,3754
20210117,9호선2~3단계,종합운동장,1340,1239,2579
20210117,9호선2~3단계,봉은사,4496,4361,8857
20210117,9호선2~3단계,삼성중앙,1333,1394,2727
20210117,9호선2~3단계,삼전,2496,2537,5033
20210117,9호선2~3단계,언주,2524,2494,5018
20210117,9호선2~3단계,선정릉,2110,2310,4420
20210118,9호선2~3단계,언주,9564,9616,19180
20210118,9호선2~3단계,선정릉,8662,9212,17874
20210118,9호선2~3단계,삼성중앙,6382,6577,12959
20210118,9호선2~3단계,봉은사,13677,13702,27379
20210118,9호선2~3단계,종합운동장,3842,3698,7540
20210118,9호선2~3단계,삼전,6296,6193,12489
20210118,9호선2~3단계,둔촌오륜,903,878,1781
20210118,9호선2~3단계,석촌,6761,6009,12770
20210118,9호선2~3단계,송파나루,4166,4358,8524
20210118,9호선2~3단계,한성백제,2242,2025,4267
20210118,9호선2~3단계,올림픽공원,5010,4818,9828
20210118,9호선2~3단계,중앙보훈병원,8897,7841,16738
20210118,9호선2~3단계,석촌고분,5453,5451,10904
20210119,9호선2~3단계,중앙보훈병원,8430,7526,15956
20210119,9호선2~3단계,둔촌오륜,897,806,1703
20210119,9호선2~3단계,올림픽공원,4551,4542,9093
20210119,9호선2~3단계,한성백제,2122,1904,4026
20210119,9호선2~3단계,송파나루,3953,4202,8155
20210119,9호선2~3단계,석촌,6677,5970,12647
20210119,9호선2~3단계,석촌고분,5240,5271,10511
20210119,9호선2~3단계,종합운동장,3495,3514,7009
20210119,9호선2~3단계,봉은사,13261,13361,26622
20210119,9호선2~3단계,삼성중앙,6136,6401,12537
20210119,9호선2~3단계,언주,9128,9164,18292
20210119,9호선2~3단계,삼전,5892,5741,11633
20210119,9호선2~3단계,선정릉,8471,9060,17531
20210120,9호선2~3단계,언주,9173,9276,18449
20210120,9호선2~3단계,삼전,6020,5868,11888
20210120,9호선2~3단계,선정릉,8547,9326,17873
20210120,9호선2~3단계,삼성중앙,6343,6630,12973
20210120,9호선2~3단계,봉은사,13938,13912,27850
20210120,9호선2~3단계,종합운동장,3782,3775,7557
20210120,9호선2~3단계,석촌고분,5419,5477,10896
20210120,9호선2~3단계,한성백제,2144,1969,4113
20210120,9호선2~3단계,올림픽공원,4580,4631,9211
20210120,9호선2~3단계,둔촌오륜,917,845,1762
20210120,9호선2~3단계,중앙보훈병원,8752,7634,16386
20210120,9호선2~3단계,석촌,6769,6099,12868
20210120,9호선2~3단계,송파나루,4119,4382,8501
20210121,9호선2~3단계,선정릉,8519,9260,17779
20210121,9호선2~3단계,삼성중앙,6517,6630,13147
20210121,9호선2~3단계,봉은사,14072,13800,27872
20210121,9호선2~3단계,종합운동장,3796,3608,7404
20210121,9호선2~3단계,삼전,5938,6093,12031
20210121,9호선2~3단계,석촌고분,5351,5539,10890
20210121,9호선2~3단계,언주,9531,9376,18907
20210121,9호선2~3단계,송파나루,4311,4361,8672
20210121,9호선2~3단계,한성백제,2132,2000,4132
20210121,9호선2~3단계,올림픽공원,4623,4451,9074
20210121,9호선2~3단계,둔촌오륜,913,871,1784
20210121,9호선2~3단계,중앙보훈병원,8437,7478,15915
20210121,9호선2~3단계,석촌,6804,6026,12830
20210122,9호선2~3단계,언주,9289,9281,18570
20210122,9호선2~3단계,선정릉,8630,9196,17826
20210122,9호선2~3단계,삼성중앙,6460,6640,13100
20210122,9호선2~3단계,봉은사,13754,13723,27477
20210122,9호선2~3단계,종합운동장,4091,3784,7875
20210122,9호선2~3단계,삼전,6105,5950,12055
20210122,9호선2~3단계,석촌고분,5417,5375,10792
20210122,9호선2~3단계,송파나루,4162,4445,8607
20210122,9호선2~3단계,한성백제,2243,2023,4266
20210122,9호선2~3단계,올림픽공원,4862,4728,9590
20210122,9호선2~3단계,둔촌오륜,920,851,1771
