사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,경강선,판교,738,645,1383
20210101,경강선,이매,268,182,450
20210101,경강선,삼동,383,423,806
20210101,경강선,경기광주,1614,1685,3299
20210101,경강선,초월,766,713,1479
20210101,경강선,곤지암,666,656,1322
20210101,경강선,신둔도예촌,302,323,625
20210101,경강선,이천,926,988,1914
20210101,경강선,부발,664,559,1223
20210101,경강선,세종대왕릉,121,111,232
20210101,경강선,여주,750,770,1520
20210102,경강선,판교,1587,1563,3150
20210102,경강선,이매,385,291,676
20210102,경강선,삼동,798,747,1545
20210102,경강선,경기광주,2452,2465,4917
20210102,경강선,초월,1065,1021,2086
20210102,경강선,부발,766,769,1535
20210102,경강선,신둔도예촌,458,441,899
20210102,경강선,이천,1235,1239,2474
20210102,경강선,세종대왕릉,135,136,271
20210102,경강선,여주,891,853,1744
20210102,경강선,곤지암,873,831,1704
20210103,경강선,신둔도예촌,446,373,819
20210103,경강선,여주,1052,788,1840
20210103,경강선,세종대왕릉,143,126,269
20210103,경강선,부발,633,1354,1987
20210103,경강선,곤지암,724,875,1599
20210103,경강선,이천,1060,1169,2229
20210103,경강선,경기광주,1926,1964,3890
20210103,경강선,초월,878,953,1831
20210103,경강선,삼동,559,535,1094
20210103,경강선,이매,308,223,531
20210103,경강선,판교,1325,1230,2555
20210104,경강선,이매,809,699,1508
20210104,경강선,삼동,1907,1765,3672
20210104,경강선,경기광주,5277,5193,10470
20210104,경강선,초월,2325,2290,4615
20210104,경강선,곤지암,1529,1478,3007
20210104,경강선,판교,3484,3306,6790
20210104,경강선,이천,1717,1838,3555
20210104,경강선,부발,1178,1259,2437
20210104,경강선,세종대왕릉,207,186,393
20210104,경강선,여주,1236,1207,2443
20210104,경강선,신둔도예촌,899,868,1767
20210105,경강선,판교,3472,3278,6750
20210105,경강선,이매,818,685,1503
20210105,경강선,삼동,1764,1704,3468
20210105,경강선,경기광주,5377,5181,10558
20210105,경강선,초월,2308,2299,4607
20210105,경강선,곤지암,1490,1439,2929
20210105,경강선,이천,1644,1741,3385
20210105,경강선,부발,1220,1161,2381
20210105,경강선,세종대왕릉,184,198,382
20210105,경강선,여주,1136,1189,2325
20210105,경강선,신둔도예촌,875,806,1681
20210106,경강선,초월,2383,2626,5009
20210106,경강선,판교,3787,3342,7129
20210106,경강선,이매,838,738,1576
20210106,경강선,삼동,2094,2376,4470
20210106,경강선,곤지암,1479,1457,2936
20210106,경강선,경기광주,5341,6223,11564
20210106,경강선,이천,1639,1736,3375
20210106,경강선,여주,1115,1109,2224
20210106,경강선,세종대왕릉,186,164,350
20210106,경강선,신둔도예촌,827,790,1617
20210106,경강선,부발,1251,1254,2505
20210107,경강선,판교,4759,5316,10075
20210107,경강선,이매,1219,991,2210
20210107,경강선,삼동,3946,3963,7909
20210107,경강선,초월,3534,3736,7270
20210107,경강선,곤지암,1879,2025,3904
20210107,경강선,경기광주,8619,8856,17475
20210107,경강선,이천,2148,2272,4420
20210107,경강선,부발,1627,1637,3264
20210107,경강선,세종대왕릉,193,180,373
20210107,경강선,여주,1228,1277,2505
20210107,경강선,신둔도예촌,1025,953,1978
20210108,경강선,이천,2032,2131,4163
20210108,경강선,여주,1303,1350,2653
20210108,경강선,세종대왕릉,214,179,393
20210108,경강선,부발,1955,1368,3323
20210108,경강선,신둔도예촌,986,938,1924
20210108,경강선,이매,957,815,1772
20210108,경강선,초월,2865,2649,5514
20210108,경강선,경기광주,6686,6365,13051
20210108,경강선,삼동,2425,2207,4632
20210108,경강선,판교,3989,4061,8050
20210108,경강선,곤지암,1736,1666,3402
20210109,경강선,초월,1452,1351,2803
20210109,경강선,이매,474,387,861
20210109,경강선,삼동,958,941,1899
20210109,경강선,경기광주,3167,3145,6312
20210109,경강선,판교,1981,1903,3884
20210109,경강선,곤지암,1116,1017,2133
20210109,경강선,이천,1470,1538,3008
20210109,경강선,부발,1171,876,2047
20210109,경강선,세종대왕릉,127,136,263
20210109,경강선,여주,994,1003,1997
20210109,경강선,신둔도예촌,546,531,1077
20210110,경강선,이매,341,236,577
20210110,경강선,삼동,567,582,1149
20210110,경강선,경기광주,2155,2168,4323
20210110,경강선,초월,870,924,1794
20210110,경강선,곤지암,747,885,1632
20210110,경강선,판교,1529,1399,2928
20210110,경강선,이천,1056,1194,2250
20210110,경강선,부발,692,1259,1951
20210110,경강선,세종대왕릉,111,112,223
20210110,경강선,여주,842,758,1600
20210110,경강선,신둔도예촌,408,418,826
20210111,경강선,여주,1188,1135,2323
20210111,경강선,세종대왕릉,190,182,372
20210111,경강선,부발,1242,1304,2546
20210111,경강선,이천,1785,1898,3683
20210111,경강선,신둔도예촌,900,847,1747
20210111,경강선,곤지암,1522,1545,3067
20210111,경강선,경기광주,5692,5599,11291
20210111,경강선,삼동,2161,1872,4033
20210111,경강선,이매,842,732,1574
20210111,경강선,판교,3743,3564,7307
20210111,경강선,초월,2436,2397,4833
20210112,경강선,경기광주,6379,7632,14011
20210112,경강선,판교,4839,3649,8488
20210112,경강선,이매,905,880,1785
20210112,경강선,삼동,2214,2927,5141
20210112,경강선,초월,2837,3017,5854
20210112,경강선,부발,1904,1285,3189
20210112,경강선,신둔도예촌,1002,892,1894
20210112,경강선,이천,1949,1954,3903
20210112,경강선,곤지암,1865,1638,3503
20210112,경강선,세종대왕릉,218,204,422
20210112,경강선,여주,1287,1216,2503
20210113,경강선,판교,3711,3879,7590
20210113,경강선,이매,940,778,1718
20210113,경강선,삼동,2229,2022,4251
20210113,경강선,경기광주,6406,5768,12174
20210113,경강선,초월,2725,2586,5311
20210113,경강선,곤지암,1717,1794,3511
20210113,경강선,신둔도예촌,962,919,1881
20210113,경강선,이천,1871,2058,3929
20210113,경강선,부발,1341,1392,2733
20210113,경강선,세종대왕릉,187,199,386
20210113,경강선,여주,1284,1277,2561
20210114,경강선,세종대왕릉,211,205,416
20210114,경강선,부발,1439,1266,2705
20210114,경강선,이천,1824,1892,3716
20210114,경강선,신둔도예촌,971,921,1892
20210114,경강선,곤지암,1603,1562,3165
20210114,경강선,여주,1302,1274,2576
20210114,경강선,경기광주,5938,5691,11629
20210114,경강선,삼동,1993,1872,3865
20210114,경강선,이매,840,748,1588
20210114,경강선,판교,3720,3553,7273
20210114,경강선,초월,2515,2434,4949
20210115,경강선,세종대왕릉,228,213,441
20210115,경강선,부발,1950,1445,3395
20210115,경강선,이천,2057,2164,4221
20210115,경강선,신둔도예촌,1073,954,2027
20210115,경강선,곤지암,1774,1612,3386
20210115,경강선,여주,1360,1508,2868
20210115,경강선,경기광주,5935,5712,11647
20210115,경강선,삼동,2039,1888,3927
20210115,경강선,이매,870,769,1639
20210115,경강선,판교,3764,3623,7387
20210115,경강선,초월,2562,2413,4975
20210116,경강선,여주,1199,1212,2411
20210116,경강선,세종대왕릉,172,177,349
20210116,경강선,부발,1341,1022,2363
20210116,경강선,이천,1683,1717,3400
20210116,경강선,신둔도예촌,678,645,1323
20210116,경강선,곤지암,1298,1248,2546
20210116,경강선,경기광주,3570,3449,7019
20210116,경강선,삼동,1025,1031,2056
20210116,경강선,이매,545,373,918
20210116,경강선,판교,2038,1990,4028
20210116,경강선,초월,1505,1381,2886
20210117,경강선,신둔도예촌,498,456,954
20210117,경강선,세종대왕릉,139,131,270
20210117,경강선,부발,834,1499,2333
20210117,경강선,이천,1310,1439,2749
20210117,경강선,곤지암,914,1049,1963
20210117,경강선,여주,1120,1006,2126
20210117,경강선,경기광주,2392,2500,4892
20210117,경강선,판교,1722,1511,3233
20210117,경강선,초월,1090,1162,2252
20210117,경강선,삼동,717,758,1475
20210117,경강선,이매,413,287,700
20210118,경강선,이매,972,821,1793
20210118,경강선,삼동,2235,2086,4321
20210118,경강선,경기광주,6437,6193,12630
20210118,경강선,초월,2813,2750,5563
20210118,경강선,곤지암,1692,1716,3408
20210118,경강선,판교,4025,3930,7955
20210118,경강선,이천,2110,2196,4306
20210118,경강선,부발,1442,1542,2984
20210118,경강선,세종대왕릉,203,186,389
20210118,경강선,여주,1420,1393,2813
20210118,경강선,신둔도예촌,996,985,1981
20210119,경강선,여주,1244,1242,2486
20210119,경강선,세종대왕릉,192,189,381
20210119,경강선,부발,1263,1293,2556
20210119,경강선,이천,1842,1973,3815
20210119,경강선,신둔도예촌,915,858,1773
20210119,경강선,곤지암,1630,1554,3184
20210119,경강선,경기광주,5853,5657,11510
20210119,경강선,삼동,1976,1921,3897
20210119,경강선,판교,3807,3650,7457
20210119,경강선,초월,2541,2432,4973
20210119,경강선,이매,857,728,1585
20210120,경강선,판교,3860,3659,7519
20210120,경강선,초월,2602,2472,5074
20210120,경강선,이매,845,778,1623
20210120,경강선,삼동,2102,1927,4029
20210120,경강선,경기광주,5951,5884,11835
20210120,경강선,곤지암,1711,1668,3379
20210120,경강선,이천,1914,2052,3966
20210120,경강선,부발,1396,1361,2757
20210120,경강선,세종대왕릉,223,214,437
20210120,경강선,여주,1355,1395,2750
20210120,경강선,신둔도예촌,996,938,1934
20210121,경강선,이매,867,786,1653
20210121,경강선,삼동,2044,1992,4036
20210121,경강선,경기광주,5873,5794,11667
20210121,경강선,초월,2564,2460,5024
20210121,경강선,곤지암,1614,1581,3195
20210121,경강선,판교,3886,3769,7655
20210121,경강선,이천,1925,1993,3918
20210121,경강선,부발,1382,1312,2694
20210121,경강선,세종대왕릉,203,181,384
20210121,경강선,여주,1346,1337,2683
20210121,경강선,신둔도예촌,963,884,1847
20210122,경강선,판교,4003,3819,7822
20210122,경강선,이매,912,755,1667
20210122,경강선,삼동,2088,1925,4013
20210122,경강선,경기광주,6255,5916,12171
20210122,경강선,초월,2670,2533,5203
20210122,경강선,곤지암,1876,1761,3637
20210122,경강선,이천,2194,2338,4532
20210122,경강선,부발,1925,1449,3374
20210122,경강선,세종대왕릉,247,224,471
20210122,경강선,여주,1504,1609,3113
20210122,경강선,신둔도예촌,1068,1000,2068
20210123,경강선,신둔도예촌,701,691,1392
20210123,경강선,여주,1415,1557,2972
20210123,경강선,세종대왕릉,203,209,412
20210123,경강선,부발,1474,1165,2639
20210123,경강선,곤지암,1334,1276,2610
20210123,경강선,이천,1919,1980,3899
20210123,경강선,경기광주,3672,3681,7353
20210123,경강선,초월,1644,1523,3167
