사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,경부선,서울역,1363,520,1883
20210101,경부선,세류,1018,990,2008
20210101,경부선,병점,4195,4293,8488
20210101,경부선,세마,748,700,1448
20210101,경부선,오산대,979,871,1850
20210101,경부선,오산,3992,3831,7823
20210101,경부선,진위,444,391,835
20210101,경부선,서정리,2276,1967,4243
20210101,경부선,독산,3029,3017,6046
20210101,경부선,지제,862,923,1785
20210101,경부선,성환,1289,1156,2445
20210101,경부선,직산,279,258,537
20210101,경부선,두정,2101,2111,4212
20210101,경부선,천안,2302,2505,4807
20210101,경부선,당정,1389,1394,2783
20210101,경부선,서동탄,313,327,640
20210101,경부선,광명,686,688,1374
20210101,경부선,평택,5087,5111,10198
20210101,경부선,수원,13351,14446,27797
20210101,경부선,송탄,1869,1683,3552
20210101,경부선,성균관대,3578,3646,7224
20210101,경부선,화서,1715,1771,3486
20210101,경부선,용산,10812,12323,23135
20210101,경부선,노량진,3362,3143,6505
20210101,경부선,대방,2717,2671,5388
20210101,경부선,영등포,13323,13885,27208
20210101,경부선,신도림,944,885,1829
20210101,경부선,신길,2502,2072,4574
20210101,경부선,구로,4952,5190,10142
20210101,경부선,가산디지털단지,2239,3083,5322
20210101,경부선,남영,2043,1986,4029
20210101,경부선,석수,2443,2382,4825
20210101,경부선,관악,2112,2046,4158
20210101,경부선,안양,6256,6440,12696
20210101,경부선,명학,1756,1683,3439
20210101,경부선,금정,6731,6792,13523
20210101,경부선,군포,1786,1591,3377
20210101,경부선,의왕,2167,2123,4290
20210101,경부선,금천구청,3031,3037,6068
20210102,경부선,의왕,3203,3144,6347
20210102,경부선,석수,3594,3550,7144
20210102,경부선,관악,3139,2932,6071
20210102,경부선,군포,2314,2305,4619
20210102,경부선,명학,2458,2389,4847
20210102,경부선,금정,9649,9671,19320
20210102,경부선,금천구청,4336,4334,8670
20210102,경부선,안양,9055,9027,18082
20210102,경부선,가산디지털단지,2882,4278,7160
20210102,경부선,영등포,21565,21970,43535
20210102,경부선,신길,3240,2848,6088
20210102,경부선,신도림,1292,1375,2667
20210102,경부선,대방,3911,3934,7845
20210102,경부선,노량진,4195,4115,8310
20210102,경부선,용산,15207,13779,28986
20210102,경부선,남영,2809,3091,5900
20210102,경부선,서울역,2092,513,2605
20210102,경부선,구로,6720,6934,13654
20210102,경부선,성균관대,4958,5081,10039
20210102,경부선,서정리,2572,2788,5360
20210102,경부선,수원,18845,19061,37906
20210102,경부선,화서,2418,2374,4792
20210102,경부선,서동탄,491,480,971
20210102,경부선,당정,2110,2008,4118
20210102,경부선,천안,2932,2870,5802
20210102,경부선,두정,2363,2571,4934
20210102,경부선,직산,357,310,667
20210102,경부선,성환,1498,1565,3063
20210102,경부선,평택,6604,6489,13093
20210102,경부선,지제,1110,966,2076
20210102,경부선,광명,1109,840,1949
20210102,경부선,송탄,2187,2166,4353
20210102,경부선,진위,531,448,979
20210102,경부선,오산,4655,4751,9406
20210102,경부선,오산대,1253,1121,2374
20210102,경부선,세마,1006,966,1972
20210102,경부선,병점,5402,5754,11156
20210102,경부선,세류,1187,1246,2433
20210102,경부선,독산,4358,4480,8838
20210103,경부선,의왕,2446,2468,4914
20210103,경부선,군포,1958,1900,3858
20210103,경부선,서울역,3889,580,4469
20210103,경부선,남영,2100,2404,4504
20210103,경부선,용산,16227,12871,29098
20210103,경부선,노량진,3046,3141,6187
20210103,경부선,대방,3183,3578,6761
20210103,경부선,신도림,1090,1096,2186
20210103,경부선,금천구청,3585,3504,7089
20210103,경부선,구로,5546,5575,11121
20210103,경부선,가산디지털단지,2505,3653,6158
20210103,경부선,성균관대,4207,4630,8837
20210103,경부선,석수,3066,2988,6054
20210103,경부선,관악,2646,2436,5082
20210103,경부선,안양,7605,7249,14854
20210103,경부선,명학,1921,1979,3900
20210103,경부선,금정,7531,7871,15402
20210103,경부선,신길,2724,2559,5283
20210103,경부선,화서,2062,1990,4052
20210103,경부선,영등포,18497,17774,36271
20210103,경부선,독산,3344,3638,6982
20210103,경부선,서동탄,458,386,844
20210103,경부선,당정,1673,1697,3370
20210103,경부선,천안,3425,3195,6620
20210103,경부선,두정,2318,2535,4853
20210103,경부선,직산,309,387,696
20210103,경부선,성환,1369,1719,3088
20210103,경부선,평택,6328,6970,13298
20210103,경부선,지제,1309,1253,2562
20210103,경부선,광명,1535,856,2391
20210103,경부선,수원,17961,17314,35275
20210103,경부선,송탄,2016,2450,4466
20210103,경부선,진위,440,448,888
20210103,경부선,오산,4553,5137,9690
20210103,경부선,오산대,1108,1078,2186
20210103,경부선,세마,903,853,1756
20210103,경부선,병점,4795,5551,10346
20210103,경부선,세류,1268,1205,2473
20210103,경부선,서정리,2143,4158,6301
20210104,경부선,오산,6894,7124,14018
20210104,경부선,오산대,2300,2120,4420
20210104,경부선,독산,14763,15759,30522
20210104,경부선,병점,10067,9990,20057
20210104,경부선,세류,2379,2208,4587
20210104,경부선,진위,1232,1107,2339
20210104,경부선,세마,1916,1756,3672
20210104,경부선,송탄,3104,3005,6109
20210104,경부선,직산,527,533,1060
20210104,경부선,지제,2109,1929,4038
20210104,경부선,평택,8357,8055,16412
20210104,경부선,성환,2329,2429,4758
20210104,경부선,두정,3724,3702,7426
20210104,경부선,천안,3348,3439,6787
20210104,경부선,당정,4908,4740,9648
20210104,경부선,서동탄,1211,995,2206
20210104,경부선,수원,23837,24667,48504
20210104,경부선,서정리,4237,4415,8652
20210104,경부선,화서,5959,5765,11724
20210104,경부선,광명,2525,2122,4647
20210104,경부선,의왕,7220,7256,14476
20210104,경부선,가산디지털단지,15515,18128,33643
20210104,경부선,구로,15065,15053,30118
20210104,경부선,신길,7785,6565,14350
20210104,경부선,신도림,3353,3341,6694
20210104,경부선,영등포,28316,28598,56914
20210104,경부선,대방,10516,10932,21448
20210104,경부선,노량진,5832,6283,12115
20210104,경부선,용산,22953,22523,45476
20210104,경부선,성균관대,10909,11026,21935
20210104,경부선,서울역,3576,1108,4684
20210104,경부선,금천구청,9578,9570,19148
20210104,경부선,석수,8309,7392,15701
20210104,경부선,관악,5898,5507,11405
20210104,경부선,안양,16465,16613,33078
20210104,경부선,명학,7801,7762,15563
20210104,경부선,금정,21251,22229,43480
20210104,경부선,군포,6535,6773,13308
20210104,경부선,남영,7566,8028,15594
20210105,경부선,관악,5760,5386,11146
20210105,경부선,안양,16272,16439,32711
20210105,경부선,의왕,7238,7200,14438
20210105,경부선,금정,21370,22013,43383
20210105,경부선,군포,6673,6639,13312
20210105,경부선,석수,8335,7418,15753
20210105,경부선,명학,7773,7800,15573
20210105,경부선,금천구청,9584,9457,19041
20210105,경부선,영등포,28018,28887,56905
20210105,경부선,구로,15267,15502,30769
20210105,경부선,신길,7511,6355,13866
20210105,경부선,신도림,3154,3036,6190
20210105,경부선,대방,10400,10810,21210
20210105,경부선,노량진,5884,6335,12219
20210105,경부선,용산,22029,22110,44139
20210105,경부선,남영,7431,7851,15282
20210105,경부선,성균관대,10783,10751,21534
20210105,경부선,가산디지털단지,15011,17810,32821
20210105,경부선,서울역,2671,997,3668
20210105,경부선,화서,5765,5641,11406
20210105,경부선,독산,14695,15717,30412
20210105,경부선,수원,22993,24126,47119
20210105,경부선,광명,2215,1992,4207
20210105,경부선,서동탄,1233,984,2217
20210105,경부선,당정,4771,4616,9387
20210105,경부선,천안,3197,3259,6456
20210105,경부선,직산,502,538,1040
20210105,경부선,성환,2246,2322,4568
20210105,경부선,평택,7823,7692,15515
20210105,경부선,두정,3608,3585,7193
20210105,경부선,서정리,4255,4052,8307
20210105,경부선,지제,2012,1862,3874
20210105,경부선,병점,9952,9820,19772
20210105,경부선,세마,1846,1763,3609
20210105,경부선,오산대,2309,2075,4384
20210105,경부선,세류,2246,2116,4362
20210105,경부선,진위,1207,1080,2287
20210105,경부선,송탄,2935,2885,5820
20210105,경부선,오산,6594,6742,13336
20210106,경부선,석수,8802,7972,16774
20210106,경부선,의왕,7132,7443,14575
20210106,경부선,군포,6873,6757,13630
20210106,경부선,금정,21916,23064,44980
20210106,경부선,명학,7949,7827,15776
20210106,경부선,안양,16584,17429,34013
20210106,경부선,관악,5986,5843,11829
20210106,경부선,가산디지털단지,16786,17813,34599
20210106,경부선,성균관대,10905,12721,23626
20210106,경부선,신길,7680,6739,14419
20210106,경부선,신도림,3188,3166,6354
20210106,경부선,영등포,28938,28708,57646
20210106,경부선,대방,10446,11316,21762
20210106,경부선,노량진,5863,6618,12481
20210106,경부선,용산,23806,22046,45852
20210106,경부선,남영,7729,8038,15767
20210106,경부선,서울역,2895,1019,3914
20210106,경부선,구로,16368,16044,32412
20210106,경부선,화서,5679,6609,12288
20210106,경부선,금천구청,9986,10640,20626
20210106,경부선,독산,16220,16533,32753
20210106,경부선,광명,2601,2448,5049
20210106,경부선,서동탄,1193,1084,2277
20210106,경부선,당정,4978,4991,9969
20210106,경부선,천안,3122,3262,6384
20210106,경부선,두정,3586,3690,7276
20210106,경부선,직산,557,556,1113
20210106,경부선,성환,2252,2274,4526
20210106,경부선,평택,7760,7615,15375
20210106,경부선,지제,2027,1913,3940
20210106,경부선,수원,23603,25486,49089
20210106,경부선,서정리,4210,4092,8302
20210106,경부선,송탄,2906,2852,5758
20210106,경부선,진위,1264,1068,2332
20210106,경부선,오산,6966,6968,13934
20210106,경부선,오산대,2359,2105,4464
20210106,경부선,세마,1971,1897,3868
20210106,경부선,병점,9801,10110,19911
20210106,경부선,세류,2322,2295,4617
20210107,경부선,석수,9416,8480,17896
20210107,경부선,관악,6442,6049,12491
20210107,경부선,안양,17834,17804,35638
20210107,경부선,서울역,3607,1194,4801
20210107,경부선,군포,7583,7785,15368
20210107,경부선,의왕,8196,8288,16484
20210107,경부선,금천구청,10914,10489,21403
20210107,경부선,금정,24815,26901,51716
20210107,경부선,가산디지털단지,15785,19289,35074
20210107,경부선,영등포,28176,29046,57222
20210107,경부선,신길,7827,6511,14338
20210107,경부선,신도림,3177,3035,6212
20210107,경부선,성균관대,13421,12912,26333
20210107,경부선,대방,10681,11292,21973
20210107,경부선,노량진,5559,6194,11753
20210107,경부선,용산,23586,25281,48867
20210107,경부선,남영,7800,8209,16009
20210107,경부선,구로,16140,16993,33133
20210107,경부선,화서,7104,6723,13827
20210107,경부선,명학,8804,9128,17932
20210107,경부선,독산,16023,17391,33414
20210107,경부선,광명,2440,1896,4336
20210107,경부선,수원,26530,29518,56048
20210107,경부선,서동탄,1622,1226,2848
20210107,경부선,당정,6037,5624,11661
20210107,경부선,천안,3206,3514,6720
20210107,경부선,두정,4054,4053,8107
20210107,경부선,성환,2425,2456,4881
20210107,경부선,평택,7952,7748,15700
20210107,경부선,지제,2333,2383,4716
20210107,경부선,직산,575,645,1220
20210107,경부선,송탄,3166,3055,6221
20210107,경부선,진위,1484,1292,2776
20210107,경부선,오산,7799,7955,15754
20210107,경부선,오산대,2934,2473,5407
20210107,경부선,세마,2644,2222,4866
20210107,경부선,병점,12146,12086,24232
20210107,경부선,세류,2755,2574,5329
20210107,경부선,서정리,4737,4482,9219
20210108,경부선,송탄,3120,2949,6069
20210108,경부선,세류,2455,2296,4751
20210108,경부선,병점,11083,11019,22102
20210108,경부선,세마,2128,1876,4004
20210108,경부선,오산대,2483,2225,4708
20210108,경부선,오산,7932,7699,15631
20210108,경부선,진위,1459,1133,2592
20210108,경부선,서정리,4950,4283,9233
20210108,경부선,광명,2662,2240,4902
20210108,경부선,평택,8814,8287,17101
20210108,경부선,성환,2551,2370,4921
20210108,경부선,직산,576,510,1086
20210108,경부선,두정,4189,4161,8350
20210108,경부선,천안,3609,3690,7299
20210108,경부선,당정,5204,4872,10076
20210108,경부선,서동탄,1280,984,2264
20210108,경부선,독산,14552,15625,30177
20210108,경부선,지제,2500,2271,4771
20210108,경부선,수원,26255,28433,54688
20210108,경부선,영등포,28616,29941,58557
20210108,경부선,성균관대,11537,11335,22872
20210108,경부선,화서,6036,5770,11806
20210108,경부선,서울역,4090,1391,5481
20210108,경부선,남영,7248,7624,14872
20210108,경부선,용산,24778,25001,49779
20210108,경부선,노량진,5762,6263,12025
20210108,경부선,신도림,2869,2860,5729
20210108,경부선,신길,7318,5997,13315
20210108,경부선,구로,14860,15349,30209
20210108,경부선,대방,10015,10527,20542
20210108,경부선,금천구청,9320,9377,18697
20210108,경부선,가산디지털단지,14738,17572,32310
20210108,경부선,군포,6821,6946,13767
20210108,경부선,금정,21860,22600,44460
20210108,경부선,명학,7895,7886,15781
20210108,경부선,의왕,7413,7333,14746
20210108,경부선,관악,5579,5225,10804
20210108,경부선,석수,8104,7224,15328
20210108,경부선,안양,16372,16683,33055
20210109,경부선,석수,4137,3937,8074
20210109,경부선,의왕,3720,3693,7413
20210109,경부선,군포,3119,2919,6038
20210109,경부선,금정,11706,11807,23513
20210109,경부선,명학,3368,3224,6592
20210109,경부선,안양,11003,11050,22053
20210109,경부선,관악,3329,3253,6582
20210109,경부선,금천구청,5092,5225,10317
20210109,경부선,성균관대,6211,6181,12392
20210109,경부선,구로,8388,8635,17023
20210109,경부선,신길,4159,3431,7590
20210109,경부선,신도림,1529,1551,3080
20210109,경부선,영등포,25182,25854,51036
20210109,경부선,대방,4890,4863,9753
20210109,경부선,노량진,4793,4605,9398
20210109,경부선,용산,16928,17657,34585
20210109,경부선,남영,3501,3701,7202
20210109,경부선,가산디지털단지,3829,5300,9129
20210109,경부선,서울역,2336,775,3111
20210109,경부선,화서,2886,2927,5813
20210109,경부선,독산,5757,5767,11524
20210109,경부선,광명,1323,1188,2511
20210109,경부선,서동탄,527,551,1078
20210109,경부선,당정,2609,2482,5091
20210109,경부선,천안,3040,3225,6265
20210109,경부선,두정,3008,2973,5981
20210109,경부선,직산,359,320,679
20210109,경부선,성환,1643,1587,3230
20210109,경부선,평택,7496,7175,14671
20210109,경부선,수원,21380,23025,44405
20210109,경부선,서정리,4046,3229,7275
20210109,경부선,송탄,2731,2457,5188
20210109,경부선,진위,647,544,1191
20210109,경부선,오산,5555,5390,10945
20210109,경부선,오산대,1560,1430,2990
20210109,경부선,세마,1248,1111,2359
20210109,경부선,병점,7141,7061,14202
20210109,경부선,세류,1461,1544,3005
20210109,경부선,지제,1738,1557,3295
20210110,경부선,관악,2601,2431,5032
20210110,경부선,안양,8110,7804,15914
20210110,경부선,의왕,2481,2596,5077
20210110,경부선,금정,7977,8537,16514
20210110,경부선,군포,2104,2182,4286
20210110,경부선,석수,3021,2943,5964
20210110,경부선,명학,2138,2083,4221
20210110,경부선,금천구청,3597,3575,7172
20210110,경부선,영등포,19529,18997,38526
20210110,경부선,구로,5944,5923,11867
20210110,경부선,신길,2956,2468,5424
20210110,경부선,신도림,1083,1106,2189
20210110,경부선,대방,3304,3676,6980
20210110,경부선,노량진,3418,3293,6711
20210110,경부선,용산,14700,13261,27961
20210110,경부선,남영,2260,2499,4759
20210110,경부선,성균관대,4366,4591,8957
20210110,경부선,가산디지털단지,2720,3668,6388
20210110,경부선,화서,2037,2017,4054
20210110,경부선,서울역,2766,678,3444
20210110,경부선,독산,3516,3575,7091
20210110,경부선,광명,1170,926,2096
20210110,경부선,서동탄,444,397,841
20210110,경부선,당정,1785,1762,3547
20210110,경부선,천안,3057,2966,6023
20210110,경부선,두정,2291,2557,4848
20210110,경부선,직산,281,333,614
20210110,경부선,성환,1365,1568,2933
20210110,경부선,평택,6295,6716,13011
20210110,경부선,수원,18411,18242,36653
20210110,경부선,서정리,2359,3572,5931
20210110,경부선,송탄,2141,2343,4484
20210110,경부선,진위,406,436,842
20210110,경부선,오산,4387,4786,9173
20210110,경부선,오산대,1189,1122,2311
20210110,경부선,세마,871,831,1702
20210110,경부선,병점,5095,5691,10786
20210110,경부선,세류,1128,1181,2309
20210110,경부선,지제,1170,1214,2384
20210111,경부선,오산,7180,7417,14597
20210111,경부선,오산대,2322,2065,4387
20210111,경부선,독산,15125,16202,31327
20210111,경부선,병점,10196,10126,20322
20210111,경부선,세류,2400,2220,4620
20210111,경부선,진위,1246,1169,2415
20210111,경부선,세마,2012,1862,3874
20210111,경부선,송탄,3119,2946,6065
20210111,경부선,직산,520,543,1063
20210111,경부선,지제,2249,2119,4368
20210111,경부선,평택,8453,8266,16719
20210111,경부선,성환,2567,2677,5244
20210111,경부선,두정,3750,3816,7566
20210111,경부선,천안,3324,3413,6737
20210111,경부선,당정,4995,4810,9805
20210111,경부선,서동탄,1225,991,2216
20210111,경부선,수원,24137,25481,49618
20210111,경부선,서정리,4431,4492,8923
20210111,경부선,광명,2491,2113,4604
20210111,경부선,화서,5870,5792,11662
20210111,경부선,의왕,7274,7322,14596
20210111,경부선,성균관대,11208,11048,22256
20210111,경부선,서울역,3529,1191,4720
20210111,경부선,남영,7732,8099,15831
20210111,경부선,용산,23208,23300,46508
20210111,경부선,노량진,5862,6369,12231
20210111,경부선,영등포,28486,29436,57922
20210111,경부선,신도림,3110,3106,6216
20210111,경부선,신길,7761,6404,14165
20210111,경부선,대방,10570,10913,21483
20210111,경부선,가산디지털단지,15971,18472,34443
20210111,경부선,구로,15664,15699,31363
20210111,경부선,금정,21819,22679,44498
20210111,경부선,명학,7838,7894,15732
20210111,경부선,안양,16790,16870,33660
20210111,경부선,군포,6863,6979,13842
20210111,경부선,석수,8381,7450,15831
20210111,경부선,금천구청,9615,9572,19187
20210111,경부선,관악,5824,5394,11218
20210112,경부선,금천구청,10176,11048,21224
20210112,경부선,군포,7710,7239,14949
20210112,경부선,금정,23444,24050,47494
20210112,경부선,명학,8768,8272,17040
20210112,경부선,안양,17350,18394,35744
20210112,경부선,관악,6100,6060,12160
20210112,경부선,석수,8786,8183,16969
20210112,경부선,가산디지털단지,16789,18641,35430
20210112,경부선,의왕,7682,7769,15451
20210112,경부선,신길,8070,6908,14978
20210112,경부선,신도림,3416,3283,6699
20210112,경부선,영등포,30521,30625,61146
20210112,경부선,대방,10912,11691,22603
20210112,경부선,노량진,6112,6695,12807
20210112,경부선,용산,24414,23841,48255
20210112,경부선,남영,8139,8436,16575
20210112,경부선,서울역,3488,1168,4656
20210112,경부선,구로,16974,16787,33761
20210112,경부선,성균관대,11554,12657,24211
20210112,경부선,서정리,4637,4355,8992
20210112,경부선,수원,25177,26904,52081
20210112,경부선,서동탄,1240,1188,2428
20210112,경부선,당정,5401,5205,10606
20210112,경부선,천안,3274,3489,6763
20210112,경부선,두정,3723,3726,7449
20210112,경부선,직산,538,544,1082
20210112,경부선,성환,2431,2346,4777
20210112,경부선,평택,8178,8170,16348
20210112,경부선,지제,2247,2044,4291
20210112,경부선,광명,2912,2606,5518
20210112,경부선,송탄,3047,2919,5966
20210112,경부선,진위,1402,1120,2522
20210112,경부선,오산,7479,7615,15094
20210112,경부선,오산대,2388,2228,4616
20210112,경부선,세마,1965,1899,3864
20210112,경부선,병점,10455,10746,21201
20210112,경부선,세류,2405,2359,4764
20210112,경부선,독산,16526,16952,33478
20210112,경부선,화서,6237,6557,12794
20210113,경부선,석수,9070,8003,17073
20210113,경부선,관악,6276,5949,12225
20210113,경부선,군포,7240,7560,14800
