사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,경원선,이촌,828,637,1465
20210101,경원선,소요산,1555,1447,3002
20210101,경원선,동두천,568,714,1282
20210101,경원선,보산,700,762,1462
20210101,경원선,동두천중앙,1108,1154,2262
20210101,경원선,지행,2089,2102,4191
20210101,경원선,덕정,1625,1606,3231
20210101,경원선,덕계,739,779,1518
20210101,경원선,녹양,1302,1307,2609
20210101,경원선,가능,2071,2035,4106
20210101,경원선,의정부,6357,6358,12715
20210101,경원선,회룡,3280,3378,6658
20210101,경원선,망월사,2131,2236,4367
20210101,경원선,도봉산,4159,2890,7049
20210101,경원선,양주,2221,2255,4476
20210101,경원선,방학,3024,2933,5957
20210101,경원선,도봉,1805,1765,3570
20210101,경원선,한남,1014,929,1943
20210101,경원선,옥수,9,18,27
20210101,경원선,응봉,550,475,1025
20210101,경원선,왕십리,4224,5014,9238
20210101,경원선,청량리,4434,5033,9467
20210101,경원선,서빙고,427,365,792
20210101,경원선,신이문,2439,2308,4747
20210101,경원선,석계,2415,2556,4971
20210101,경원선,광운대,2238,2262,4500
20210101,경원선,월계,1949,1895,3844
20210101,경원선,녹천,1461,1203,2664
20210101,경원선,외대앞,2275,2208,4483
20210102,경원선,녹천,2035,1729,3764
20210102,경원선,월계,2761,2708,5469
20210102,경원선,광운대,3172,3125,6297
20210102,경원선,석계,3556,3848,7404
20210102,경원선,신이문,3548,3314,6862
20210102,경원선,외대앞,3161,3161,6322
20210102,경원선,옥수,29,12,41
20210102,경원선,왕십리,5792,7150,12942
20210102,경원선,응봉,703,638,1341
20210102,경원선,한남,1500,1417,2917
20210102,경원선,서빙고,707,611,1318
20210102,경원선,이촌,1571,1210,2781
20210102,경원선,청량리,7630,7828,15458
20210102,경원선,방학,4326,4290,8616
20210102,경원선,덕계,1132,1034,2166
20210102,경원선,도봉산,5859,3861,9720
20210102,경원선,도봉,2726,2563,5289
20210102,경원선,동두천,762,937,1699
20210102,경원선,보산,934,900,1834
20210102,경원선,동두천중앙,1499,1503,3002
20210102,경원선,지행,2975,2905,5880
20210102,경원선,덕정,2270,2205,4475
20210102,경원선,소요산,2090,1770,3860
20210102,경원선,양주,3320,3111,6431
20210102,경원선,녹양,1952,1956,3908
20210102,경원선,가능,3054,2896,5950
20210102,경원선,의정부,9693,10142,19835
20210102,경원선,회룡,5137,5195,10332
20210102,경원선,망월사,3158,3235,6393
20210103,경원선,녹천,1540,1383,2923
20210103,경원선,월계,2244,2141,4385
20210103,경원선,광운대,2489,2600,5089
20210103,경원선,석계,2888,3139,6027
20210103,경원선,신이문,2759,2591,5350
20210103,경원선,청량리,6894,6628,13522
