사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,경의선,서울역,370,408,778
20210101,경의선,임진강,25,13,38
20210101,경의선,문산,1617,1698,3315
20210101,경의선,파주,301,283,584
20210101,경의선,월롱,546,491,1037
20210101,경의선,금촌,2149,2215,4364
20210101,경의선,금릉,1189,1243,2432
20210101,경의선,야당,1730,1651,3381
20210101,경의선,탄현,1906,1838,3744
20210101,경의선,일산,2003,2087,4090
20210101,경의선,풍산,1537,1460,2997
20210101,경의선,백마,1430,1404,2834
20210101,경의선,곡산,113,117,230
20210101,경의선,운정,1439,1471,2910
20210101,경의선,행신,1693,1782,3475
20210101,경의선,능곡,1025,1033,2058
20210101,경의선,신촌,97,85,182
20210101,경의선,효창공원앞,647,686,1333
20210101,경의선,공덕,821,659,1480
20210101,경의선,홍대입구,546,577,1123
20210101,경의선,서강대,548,495,1043
20210101,경의선,디지털미디어시티,652,554,1206
20210101,경의선,수색,431,434,865
20210101,경의선,화전,312,309,621
20210101,경의선,강매,641,640,1281
20210101,경의선,가좌,1296,1238,2534
20210102,경의선,강매,997,898,1895
20210102,경의선,디지털미디어시티,885,803,1688
20210102,경의선,화전,449,454,903
20210102,경의선,수색,642,673,1315
20210102,경의선,가좌,1938,1928,3866
20210102,경의선,서울역,477,514,991
20210102,경의선,서강대,859,822,1681
20210102,경의선,공덕,1140,925,2065
20210102,경의선,효창공원앞,935,1040,1975
20210102,경의선,신촌,163,150,313
20210102,경의선,행신,2479,2467,4946
20210102,경의선,홍대입구,708,793,1501
20210102,경의선,능곡,1423,1400,2823
20210102,경의선,금릉,1825,1756,3581
20210102,경의선,백마,2035,1927,3962
20210102,경의선,곡산,200,203,403
20210102,경의선,문산,2261,2272,4533
20210102,경의선,파주,399,312,711
20210102,경의선,월롱,539,577,1116
20210102,경의선,금촌,2766,2843,5609
20210102,경의선,임진강,19,19,38
20210102,경의선,운정,2095,2049,4144
20210102,경의선,야당,2450,2321,4771
20210102,경의선,탄현,2721,2646,5367
20210102,경의선,일산,2999,2925,5924
20210102,경의선,풍산,2121,2013,4134
20210103,경의선,강매,741,712,1453
20210103,경의선,화전,384,373,757
20210103,경의선,수색,473,519,992
20210103,경의선,가좌,1483,1505,2988
20210103,경의선,홍대입구,579,635,1214
20210103,경의선,공덕,837,682,1519
20210103,경의선,행신,2178,2149,4327
20210103,경의선,효창공원앞,685,867,1552
20210103,경의선,신촌,103,116,219
20210103,경의선,서울역,493,453,946
20210103,경의선,서강대,616,670,1286
20210103,경의선,능곡,1233,1142,2375
20210103,경의선,디지털미디어시티,709,686,1395
20210103,경의선,백마,1687,1632,3319
20210103,경의선,문산,1890,1822,3712
20210103,경의선,파주,348,310,658
20210103,경의선,월롱,413,824,1237
20210103,경의선,금촌,2225,2352,4577
20210103,경의선,금릉,1363,1344,2707
20210103,경의선,임진강,15,18,33
20210103,경의선,곡산,143,131,274
20210103,경의선,야당,1945,1830,3775
20210103,경의선,탄현,2226,2087,4313
20210103,경의선,일산,2683,2424,5107
20210103,경의선,풍산,1773,1619,3392
20210103,경의선,운정,1765,1657,3422
20210104,경의선,풍산,4060,3805,7865
20210104,경의선,일산,7257,7303,14560
20210104,경의선,탄현,5855,5785,11640
20210104,경의선,야당,4608,4360,8968
20210104,경의선,운정,4887,4573,9460
20210104,경의선,월롱,1589,1576,3165
20210104,경의선,금촌,4863,4853,9716
20210104,경의선,파주,747,537,1284
20210104,경의선,문산,3719,3664,7383
20210104,경의선,백마,5377,5242,10619
20210104,경의선,금릉,3475,3290,6765
20210104,경의선,곡산,399,426,825
20210104,경의선,임진강,6,3,9
20210104,경의선,행신,6072,6213,12285
20210104,경의선,서울역,3370,4096,7466
20210104,경의선,신촌,627,784,1411
20210104,경의선,효창공원앞,2378,2744,5122
20210104,경의선,공덕,2819,2406,5225
20210104,경의선,서강대,1552,1470,3022
20210104,경의선,능곡,2948,2654,5602
20210104,경의선,가좌,4199,3966,8165
20210104,경의선,디지털미디어시티,1882,1880,3762
20210104,경의선,수색,2068,2101,4169
20210104,경의선,화전,1076,968,2044
20210104,경의선,강매,2578,2301,4879
20210104,경의선,홍대입구,1120,1212,2332
20210105,경의선,행신,6038,5957,11995
20210105,경의선,강매,2571,2262,4833
20210105,경의선,화전,1124,1057,2181
20210105,경의선,수색,2092,2407,4499
20210105,경의선,디지털미디어시티,1966,1866,3832
20210105,경의선,서강대,1502,1486,2988
20210105,경의선,홍대입구,1109,1221,2330
20210105,경의선,공덕,2932,2448,5380
20210105,경의선,효창공원앞,2381,2729,5110
