사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,공항철도 1호선,서울역,2366,2474,4840
20210101,공항철도 1호선,영종,1226,1079,2305
20210101,공항철도 1호선,인천공항2터미널,1405,1294,2699
20210101,공항철도 1호선,인천공항1터미널,2532,2708,5240
20210101,공항철도 1호선,운서,2999,2910,5909
20210101,공항철도 1호선,청라국제도시,1349,1307,2656
20210101,공항철도 1호선,검암,1756,1969,3725
20210101,공항철도 1호선,공항화물청사,915,945,1860
20210101,공항철도 1호선,김포공항,4299,2762,7061
20210101,공항철도 1호선,마곡나루,752,839,1591
20210101,공항철도 1호선,디지털미디어시티,1919,1767,3686
20210101,공항철도 1호선,홍대입구,2865,2534,5399
20210101,공항철도 1호선,공덕,543,759,1302
20210101,공항철도 1호선,계양,2176,2128,4304
20210102,공항철도 1호선,김포공항,5590,2573,8163
20210102,공항철도 1호선,서울역,3039,2472,5511
20210102,공항철도 1호선,공덕,669,968,1637
20210102,공항철도 1호선,홍대입구,3907,3896,7803
20210102,공항철도 1호선,디지털미디어시티,2435,2360,4795
20210102,공항철도 1호선,마곡나루,1084,1149,2233
20210102,공항철도 1호선,계양,3031,3034,6065
20210102,공항철도 1호선,인천공항1터미널,2500,2491,4991
20210102,공항철도 1호선,청라국제도시,1850,1693,3543
20210102,공항철도 1호선,운서,3250,3399,6649
20210102,공항철도 1호선,공항화물청사,1000,1059,2059
20210102,공항철도 1호선,인천공항2터미널,1362,1267,2629
20210102,공항철도 1호선,영종,1351,1383,2734
20210102,공항철도 1호선,검암,2453,2469,4922
20210103,공항철도 1호선,디지털미디어시티,1916,2039,3955
20210103,공항철도 1호선,청라국제도시,1616,1433,3049
20210103,공항철도 1호선,검암,2081,2077,4158
20210103,공항철도 1호선,계양,2634,2492,5126
20210103,공항철도 1호선,김포공항,7307,3153,10460
20210103,공항철도 1호선,홍대입구,3208,3285,6493
20210103,공항철도 1호선,마곡나루,934,1067,2001
20210103,공항철도 1호선,서울역,3898,2847,6745
20210103,공항철도 1호선,영종,1131,1107,2238
20210103,공항철도 1호선,공덕,590,856,1446
20210103,공항철도 1호선,인천공항2터미널,1351,1286,2637
20210103,공항철도 1호선,인천공항1터미널,2393,2370,4763
20210103,공항철도 1호선,공항화물청사,738,827,1565
20210103,공항철도 1호선,운서,2822,3256,6078
20210104,공항철도 1호선,인천공항2터미널,1684,1703,3387
20210104,공항철도 1호선,인천공항1터미널,2727,2853,5580
20210104,공항철도 1호선,공항화물청사,1994,2189,4183
20210104,공항철도 1호선,운서,4612,4677,9289
20210104,공항철도 1호선,청라국제도시,5208,4856,10064
20210104,공항철도 1호선,검암,5760,5549,11309
20210104,공항철도 1호선,영종,2130,2147,4277
20210104,공항철도 1호선,김포공항,7521,4229,11750
20210104,공항철도 1호선,마곡나루,6209,5865,12074
20210104,공항철도 1호선,디지털미디어시티,11595,10386,21981
20210104,공항철도 1호선,홍대입구,5280,5727,11007
20210104,공항철도 1호선,공덕,1746,2158,3904
20210104,공항철도 1호선,서울역,4854,4252,9106
20210104,공항철도 1호선,계양,7388,6963,14351
20210105,공항철도 1호선,서울역,4458,3909,8367
20210105,공항철도 1호선,공덕,1694,2205,3899
20210105,공항철도 1호선,홍대입구,5231,5462,10693
20210105,공항철도 1호선,디지털미디어시티,11440,10167,21607
20210105,공항철도 1호선,마곡나루,6070,5697,11767
20210105,공항철도 1호선,김포공항,6550,3941,10491
20210105,공항철도 1호선,계양,7208,6741,13949
20210105,공항철도 1호선,검암,5631,5547,11178
20210105,공항철도 1호선,운서,4721,4737,9458
20210105,공항철도 1호선,공항화물청사,2018,2257,4275
20210105,공항철도 1호선,인천공항1터미널,2948,3150,6098
20210105,공항철도 1호선,인천공항2터미널,1742,1710,3452
20210105,공항철도 1호선,영종,2063,2105,4168
20210105,공항철도 1호선,청라국제도시,5225,4949,10174
20210106,공항철도 1호선,김포공항,6745,4169,10914
20210106,공항철도 1호선,서울역,4575,4120,8695
20210106,공항철도 1호선,공덕,1733,2298,4031
20210106,공항철도 1호선,홍대입구,5501,5737,11238
