사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,과천선,선바위,1466,1467,2933
20210101,과천선,경마공원,224,234,458
20210101,과천선,대공원,1004,992,1996
20210101,과천선,과천,1237,1114,2351
20210101,과천선,정부과천청사,1663,1723,3386
20210101,과천선,인덕원,4769,4876,9645
20210101,과천선,평촌,3055,2990,6045
20210101,과천선,범계,5658,5396,11054
20210102,과천선,선바위,2460,2269,4729
20210102,과천선,경마공원,598,594,1192
20210102,과천선,대공원,1691,1777,3468
20210102,과천선,과천,1995,1789,3784
20210102,과천선,평촌,4615,4557,9172
20210102,과천선,인덕원,7595,7536,15131
20210102,과천선,범계,10408,9875,20283
20210102,과천선,정부과천청사,2590,2651,5241
20210103,과천선,평촌,3406,3353,6759
20210103,과천선,범계,7540,7147,14687
20210103,과천선,정부과천청사,2001,2141,4142
20210103,과천선,인덕원,5628,5627,11255
20210103,과천선,대공원,1495,1593,3088
20210103,과천선,과천,1560,1448,3008
20210103,과천선,경마공원,490,460,950
20210103,과천선,선바위,1852,1778,3630
20210104,과천선,평촌,15205,15196,30401
20210104,과천선,인덕원,19383,20340,39723
20210104,과천선,정부과천청사,7551,7486,15037
20210104,과천선,범계,19781,19174,38955
20210104,과천선,대공원,1264,1344,2608
20210104,과천선,경마공원,683,673,1356
20210104,과천선,선바위,6888,5931,12819
20210104,과천선,과천,4156,3834,7990
20210105,과천선,범계,20157,19661,39818
20210105,과천선,평촌,15357,15121,30478
20210105,과천선,인덕원,19314,20115,39429
20210105,과천선,정부과천청사,7555,7458,15013
20210105,과천선,과천,4131,3865,7996
20210105,과천선,대공원,1312,1436,2748
20210105,과천선,경마공원,766,776,1542
20210105,과천선,선바위,6696,5960,12656
20210106,과천선,경마공원,976,982,1958
20210106,과천선,선바위,7594,6427,14021
20210106,과천선,과천,4323,4830,9153
20210106,과천선,대공원,1342,1317,2659
20210106,과천선,인덕원,20496,22838,43334
20210106,과천선,범계,20930,21165,42095
20210106,과천선,정부과천청사,8263,8016,16279
20210106,과천선,평촌,15975,15765,31740
20210107,과천선,선바위,7686,7570,15256
20210107,과천선,범계,23621,22854,46475
20210107,과천선,평촌,18614,17840,36454
20210107,과천선,인덕원,24214,25592,49806
20210107,과천선,정부과천청사,9827,9632,19459
20210107,과천선,과천,5382,4997,10379
20210107,과천선,대공원,1352,1554,2906
20210107,과천선,경마공원,1248,1334,2582
20210108,과천선,선바위,6813,6228,13041
20210108,과천선,경마공원,1103,1125,2228
20210108,과천선,대공원,925,993,1918
20210108,과천선,과천,4426,3858,8284
20210108,과천선,평촌,15915,15842,31757
20210108,과천선,인덕원,20467,21365,41832
20210108,과천선,범계,21150,20454,41604
20210108,과천선,정부과천청사,8061,8031,16092
20210109,과천선,과천,2512,2087,4599
20210109,과천선,경마공원,699,707,1406
20210109,과천선,대공원,1151,1270,2421
20210109,과천선,선바위,2948,2720,5668
20210109,과천선,정부과천청사,3029,3175,6204
20210109,과천선,평촌,6096,6114,12210
20210109,과천선,범계,12881,12522,25403
20210109,과천선,인덕원,9401,9318,18719
20210110,과천선,범계,8451,8084,16535
20210110,과천선,평촌,3806,3700,7506
20210110,과천선,인덕원,6125,6231,12356
20210110,과천선,정부과천청사,2140,2134,4274
20210110,과천선,과천,1649,1422,3071
20210110,과천선,대공원,1362,1488,2850
20210110,과천선,경마공원,534,514,1048
20210110,과천선,선바위,1855,1895,3750
20210111,과천선,범계,20271,19711,39982
20210111,과천선,평촌,15589,15507,31096
20210111,과천선,인덕원,19795,20792,40587
20210111,과천선,정부과천청사,7867,7767,15634
20210111,과천선,선바위,7029,6117,13146
20210111,과천선,대공원,1012,1089,2101
20210111,과천선,경마공원,723,695,1418
20210111,과천선,과천,4313,3766,8079
20210112,과천선,대공원,1554,1556,3110
20210112,과천선,선바위,7828,6445,14273
20210112,과천선,경마공원,858,842,1700
20210112,과천선,과천,4717,4930,9647
20210112,과천선,평촌,17570,16713,34283
20210112,과천선,인덕원,22301,23482,45783
20210112,과천선,정부과천청사,9075,8429,17504
20210112,과천선,범계,22105,22076,44181
20210113,과천선,선바위,7145,6765,13910
20210113,과천선,경마공원,1051,1085,2136
20210113,과천선,대공원,1659,1856,3515
20210113,과천선,과천,4811,4376,9187
20210113,과천선,정부과천청사,8606,8585,17191
20210113,과천선,인덕원,21345,22612,43957
20210113,과천선,평촌,16546,16643,33189
20210113,과천선,범계,22497,21782,44279
20210114,과천선,평촌,15755,15657,31412
20210114,과천선,인덕원,20430,21366,41796
20210114,과천선,정부과천청사,8205,8126,16331
20210114,과천선,범계,21271,20606,41877
20210114,과천선,대공원,1621,1733,3354
20210114,과천선,경마공원,1060,1064,2124
20210114,과천선,선바위,7208,6393,13601
20210114,과천선,과천,4591,4215,8806
20210115,과천선,평촌,15843,15647,31490
20210115,과천선,인덕원,20498,21341,41839
20210115,과천선,정부과천청사,8023,7975,15998
20210115,과천선,범계,21589,21202,42791
20210115,과천선,대공원,1416,1507,2923
20210115,과천선,경마공원,1131,1112,2243
20210115,과천선,선바위,7214,6347,13561
20210115,과천선,과천,4591,4205,8796
20210116,과천선,선바위,3305,3096,6401
20210116,과천선,경마공원,717,688,1405
20210116,과천선,대공원,2085,2291,4376
20210116,과천선,과천,3006,2710,5716
