사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,안산선,산본,4196,4530,8726
20210101,안산선,수리산,1062,968,2030
20210101,안산선,오이도,3185,3299,6484
20210101,안산선,정왕,2906,2759,5665
20210101,안산선,안산,4941,5147,10088
20210101,안산선,초지,1072,1214,2286
20210101,안산선,신길온천,525,499,1024
20210101,안산선,중앙,4962,5197,10159
20210101,안산선,한대앞,2416,2573,4989
20210101,안산선,상록수,4734,4921,9655
20210101,안산선,반월,1307,1311,2618
20210101,안산선,대야미,1445,1322,2767
20210101,안산선,고잔,2051,1879,3930
20210102,안산선,한대앞,3554,3474,7028
20210102,안산선,산본,6411,6840,13251
20210102,안산선,대야미,2139,1896,4035
20210102,안산선,반월,1901,1811,3712
20210102,안산선,상록수,6973,6779,13752
20210102,안산선,중앙,7328,7575,14903
20210102,안산선,정왕,3168,3394,6562
20210102,안산선,초지,1548,1589,3137
20210102,안산선,안산,6299,6274,12573
20210102,안산선,신길온천,719,710,1429
20210102,안산선,오이도,4031,4040,8071
20210102,안산선,수리산,1670,1570,3240
20210102,안산선,고잔,2905,2686,5591
20210103,안산선,초지,1168,1115,2283
20210103,안산선,수리산,1190,1164,2354
20210103,안산선,오이도,3068,3014,6082
20210103,안산선,정왕,2844,3227,6071
20210103,안산선,안산,6229,5181,11410
20210103,안산선,고잔,2318,2176,4494
20210103,안산선,신길온천,683,567,1250
20210103,안산선,한대앞,2776,2744,5520
20210103,안산선,상록수,5530,5287,10817
20210103,안산선,중앙,5838,5598,11436
20210103,안산선,반월,1410,1438,2848
20210103,안산선,대야미,1621,1523,3144
20210103,안산선,산본,4818,5052,9870
20210104,안산선,고잔,6987,6648,13635
20210104,안산선,산본,12625,13549,26174
20210104,안산선,대야미,3915,3653,7568
20210104,안산선,반월,3419,3295,6714
20210104,안산선,상록수,13086,13257,26343
20210104,안산선,한대앞,6587,6636,13223
20210104,안산선,중앙,12631,12890,25521
20210104,안산선,안산,10028,8952,18980
20210104,안산선,신길온천,1328,1226,2554
20210104,안산선,정왕,5993,6723,12716
20210104,안산선,오이도,6491,6135,12626
20210104,안산선,수리산,3503,2958,6461
20210104,안산선,초지,3496,3567,7063
20210105,안산선,산본,12497,13395,25892
20210105,안산선,대야미,3882,3557,7439
20210105,안산선,반월,3429,3260,6689
20210105,안산선,상록수,13068,13295,26363
20210105,안산선,한대앞,6488,6536,13024
20210105,안산선,중앙,12249,12628,24877
20210105,안산선,고잔,6936,6663,13599
20210105,안산선,안산,9797,8794,18591
20210105,안산선,신길온천,1254,1146,2400
20210105,안산선,정왕,5864,6207,12071
20210105,안산선,오이도,6402,6202,12604
20210105,안산선,수리산,3573,2951,6524
20210105,안산선,초지,3589,3674,7263
20210106,안산선,중앙,12659,13272,25931
20210106,안산선,산본,12728,14236,26964
20210106,안산선,대야미,3852,3603,7455
20210106,안산선,반월,3355,3355,6710
20210106,안산선,한대앞,6572,6809,13381
20210106,안산선,고잔,7163,6857,14020
20210106,안산선,상록수,12898,13724,26622
20210106,안산선,안산,10222,8980,19202
20210106,안산선,수리산,3487,3045,6532
20210106,안산선,오이도,6560,6788,13348
20210106,안산선,초지,3483,3641,7124
20210106,안산선,신길온천,1313,1223,2536
20210106,안산선,정왕,6192,6653,12845
20210107,안산선,산본,14573,15209,29782
20210107,안산선,대야미,4403,4043,8446
20210107,안산선,반월,3699,3631,7330
20210107,안산선,상록수,14392,14343,28735
20210107,안산선,중앙,14293,14545,28838
20210107,안산선,고잔,8193,7862,16055
20210107,안산선,한대앞,7576,7567,15143
20210107,안산선,안산,11556,11151,22707
20210107,안산선,신길온천,1435,1327,2762
20210107,안산선,정왕,7120,7991,15111
20210107,안산선,오이도,7731,7448,15179
20210107,안산선,수리산,3872,3258,7130
20210107,안산선,초지,4084,4120,8204
20210108,안산선,한대앞,6697,6727,13424
20210108,안산선,산본,12718,11943,24661
20210108,안산선,대야미,3930,3537,7467
20210108,안산선,반월,3377,3161,6538
20210108,안산선,상록수,13153,13178,26331
20210108,안산선,중앙,12724,13600,26324
20210108,안산선,오이도,6621,6486,13107
20210108,안산선,초지,3629,3687,7316
20210108,안산선,안산,10290,9431,19721
20210108,안산선,신길온천,1300,1200,2500
20210108,안산선,정왕,6342,6731,13073
20210108,안산선,수리산,3465,2613,6078
20210108,안산선,고잔,7188,6816,14004
20210109,안산선,중앙,8893,9288,18181
20210109,안산선,대야미,2363,2085,4448
20210109,안산선,반월,2205,2070,4275
20210109,안산선,상록수,8076,8160,16236
20210109,안산선,한대앞,4305,4433,8738
20210109,안산선,산본,7640,6908,14548
20210109,안산선,고잔,3717,3666,7383
20210109,안산선,안산,6399,6416,12815
20210109,안산선,신길온천,799,771,1570
20210109,안산선,정왕,3975,3985,7960
20210109,안산선,오이도,4153,4243,8396
20210109,안산선,수리산,1861,1655,3516
20210109,안산선,초지,1975,2020,3995
20210110,안산선,대야미,1680,1524,3204
20210110,안산선,반월,1424,1504,2928
20210110,안산선,상록수,5626,5510,11136
20210110,안산선,한대앞,3024,2981,6005
20210110,안산선,중앙,6295,6171,12466
20210110,안산선,고잔,2439,2333,4772
20210110,안산선,산본,4923,4359,9282
20210110,안산선,안산,6123,5547,11670
20210110,안산선,신길온천,604,560,1164
20210110,안산선,정왕,2969,3182,6151
20210110,안산선,오이도,3103,3024,6127
20210110,안산선,수리산,1258,1184,2442
20210110,안산선,초지,1309,1271,2580
20210111,안산선,초지,3620,3658,7278
20210111,안산선,안산,10185,9230,19415
20210111,안산선,신길온천,1297,1189,2486
20210111,안산선,정왕,6041,6720,12761
20210111,안산선,오이도,6583,6328,12911
20210111,안산선,수리산,3437,2847,6284
20210111,안산선,고잔,7180,6834,14014
20210111,안산선,한대앞,6705,6770,13475
20210111,안산선,상록수,13095,13287,26382
20210111,안산선,반월,3452,3252,6704
20210111,안산선,대야미,3905,3595,7500
20210111,안산선,산본,12664,11627,24291
20210111,안산선,중앙,13005,13367,26372
20210112,안산선,한대앞,7073,7353,14426
20210112,안산선,산본,13238,12477,25715
20210112,안산선,대야미,4063,3902,7965
20210112,안산선,반월,3530,3639,7169
20210112,안산선,상록수,13498,14493,27991
20210112,안산선,중앙,13655,14541,28196
20210112,안산선,정왕,7293,7033,14326
20210112,안산선,초지,3854,3943,7797
20210112,안산선,안산,11709,9415,21124
20210112,안산선,신길온천,1524,1310,2834
20210112,안산선,고잔,7677,7229,14906
20210112,안산선,오이도,7479,7369,14848
20210112,안산선,수리산,3714,3217,6931
20210113,안산선,수리산,3871,3082,6953
20210113,안산선,오이도,7424,7074,14498
20210113,안산선,정왕,6460,7592,14052
20210113,안산선,신길온천,1382,1377,2759
20210113,안산선,안산,10595,10158,20753
20210113,안산선,초지,3914,3978,7892
20210113,안산선,고잔,7750,7654,15404
20210113,안산선,중앙,13893,14387,28280
20210113,안산선,한대앞,7304,7249,14553
20210113,안산선,상록수,13977,13932,27909
20210113,안산선,반월,3725,3576,7301
20210113,안산선,대야미,4342,3827,8169
20210113,안산선,산본,14059,12181,26240
20210114,안산선,오이도,6859,6752,13611
20210114,안산선,정왕,6111,6720,12831
20210114,안산선,신길온천,1374,1304,2678
20210114,안산선,안산,10379,9329,19708
20210114,안산선,초지,3795,3888,7683
20210114,안산선,고잔,7372,7067,14439
20210114,안산선,수리산,3616,3031,6647
20210114,안산선,한대앞,7205,7124,14329
20210114,안산선,상록수,13622,13735,27357
20210114,안산선,반월,3606,3448,7054
20210114,안산선,대야미,4099,3752,7851
20210114,안산선,산본,13366,13557,26923
20210114,안산선,중앙,13355,13889,27244
20210115,안산선,오이도,7114,6851,13965
20210115,안산선,정왕,6780,7136,13916
20210115,안산선,신길온천,1456,1326,2782
20210115,안산선,안산,10603,9577,20180
20210115,안산선,초지,3920,3943,7863
20210115,안산선,고잔,7526,7151,14677
20210115,안산선,수리산,3544,2824,6368
20210115,안산선,한대앞,7310,7196,14506
20210115,안산선,상록수,13768,13959,27727
20210115,안산선,반월,3558,3437,6995
20210115,안산선,대야미,4194,3699,7893
20210115,안산선,산본,13389,14825,28214
20210115,안산선,중앙,13701,14830,28531
20210116,안산선,수리산,2149,1890,4039
20210116,안산선,오이도,5058,5266,10324
20210116,안산선,정왕,4333,4524,8857
20210116,안산선,신길온천,995,980,1975
20210116,안산선,안산,7713,8062,15775
20210116,안산선,초지,2130,2182,4312
20210116,안산선,고잔,4098,4038,8136
20210116,안산선,한대앞,4840,4840,9680
20210116,안산선,상록수,9119,9472,18591
20210116,안산선,반월,2564,2300,4864
20210116,안산선,대야미,2842,2455,5297
20210116,안산선,산본,8549,9301,17850
20210116,안산선,중앙,10054,10617,20671
20210117,안산선,중앙,7267,6990,14257
20210117,안산선,대야미,1915,1817,3732
20210117,안산선,반월,1637,1694,3331
20210117,안산선,상록수,6249,6255,12504
20210117,안산선,한대앞,3448,3368,6816
