사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,우이신설선,북한산우이,1623,1659,3282
20210101,우이신설선,신설동,621,557,1178
20210101,우이신설선,보문,469,448,917
20210101,우이신설선,성신여대입구,987,1146,2133
20210101,우이신설선,북한산보국문,1721,1620,3341
20210101,우이신설선,솔샘,1313,1242,2555
20210101,우이신설선,정릉,1321,1140,2461
20210101,우이신설선,삼양,654,724,1378
20210101,우이신설선,화계,1004,942,1946
20210101,우이신설선,가오리,1179,1148,2327
20210101,우이신설선,4.19민주묘지,964,781,1745
20210101,우이신설선,솔밭공원,746,755,1501
20210101,우이신설선,삼양사거리,786,813,1599
20210102,우이신설선,보문,671,706,1377
20210102,우이신설선,솔샘,2031,1881,3912
20210102,우이신설선,북한산보국문,2442,2264,4706
20210102,우이신설선,정릉,1976,1701,3677
20210102,우이신설선,성신여대입구,1565,1789,3354
20210102,우이신설선,신설동,854,844,1698
20210102,우이신설선,화계,1470,1315,2785
20210102,우이신설선,솔밭공원,1039,1024,2063
20210102,우이신설선,4.19민주묘지,1299,1122,2421
20210102,우이신설선,가오리,1653,1625,3278
20210102,우이신설선,삼양,917,1019,1936
20210102,우이신설선,삼양사거리,1112,1102,2214
20210102,우이신설선,북한산우이,2003,1969,3972
20210103,우이신설선,보문,548,570,1118
20210103,우이신설선,가오리,1367,1211,2578
20210103,우이신설선,4.19민주묘지,1062,928,1990
20210103,우이신설선,솔밭공원,792,770,1562
20210103,우이신설선,신설동,656,625,1281
20210103,우이신설선,성신여대입구,1082,1288,2370
20210103,우이신설선,북한산우이,1530,1718,3248
20210103,우이신설선,북한산보국문,2036,1983,4019
20210103,우이신설선,솔샘,1564,1415,2979
20210103,우이신설선,정릉,1452,1285,2737
20210103,우이신설선,삼양사거리,913,903,1816
20210103,우이신설선,삼양,749,783,1532
20210103,우이신설선,화계,1221,1108,2329
20210104,우이신설선,솔밭공원,1829,1898,3727
20210104,우이신설선,4.19민주묘지,2069,2005,4074
20210104,우이신설선,가오리,3154,3260,6414
20210104,우이신설선,화계,2734,2650,5384
20210104,우이신설선,삼양,1684,1822,3506
20210104,우이신설선,삼양사거리,1940,2016,3956
20210104,우이신설선,북한산우이,1806,1615,3421
20210104,우이신설선,북한산보국문,4440,4520,8960
20210104,우이신설선,정릉,3512,3418,6930
20210104,우이신설선,성신여대입구,2244,2479,4723
20210104,우이신설선,보문,1205,1210,2415
20210104,우이신설선,신설동,1789,1656,3445
20210104,우이신설선,솔샘,4611,4386,8997
20210105,우이신설선,북한산우이,1892,1737,3629
20210105,우이신설선,솔밭공원,1943,1928,3871
20210105,우이신설선,4.19민주묘지,2100,2006,4106
20210105,우이신설선,가오리,3195,3266,6461
20210105,우이신설선,화계,2610,2546,5156
20210105,우이신설선,삼양,1624,1830,3454
20210105,우이신설선,삼양사거리,1889,2003,3892
20210105,우이신설선,북한산보국문,4621,4631,9252
20210105,우이신설선,정릉,3478,3414,6892
20210105,우이신설선,성신여대입구,2383,2562,4945
20210105,우이신설선,보문,1227,1199,2426
20210105,우이신설선,신설동,1759,1679,3438
20210105,우이신설선,솔샘,4635,4476,9111
20210106,우이신설선,삼양,1722,1899,3621
20210106,우이신설선,북한산우이,1703,1555,3258
20210106,우이신설선,솔밭공원,1804,1895,3699
20210106,우이신설선,4.19민주묘지,1964,2095,4059
20210106,우이신설선,화계,2644,2689,5333
20210106,우이신설선,삼양사거리,1889,2020,3909
20210106,우이신설선,가오리,3145,3412,6557
20210106,우이신설선,북한산보국문,4563,5156,9719
20210106,우이신설선,신설동,1818,1696,3514
20210106,우이신설선,보문,1309,1305,2614
20210106,우이신설선,솔샘,4593,4877,9470
20210106,우이신설선,정릉,3601,3781,7382
20210106,우이신설선,성신여대입구,2567,2644,5211
20210107,우이신설선,북한산우이,1642,1464,3106
20210107,우이신설선,솔밭공원,1851,1868,3719
20210107,우이신설선,4.19민주묘지,1911,1932,3843
20210107,우이신설선,가오리,3191,3321,6512
20210107,우이신설선,삼양,1598,1686,3284
20210107,우이신설선,삼양사거리,1751,1862,3613
20210107,우이신설선,화계,2585,2525,5110
