사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20221001,1호선,동대문,11335,11587,22922
20221001,1호선,동묘앞,12784,13315,26099
20221001,1호선,서울역,43012,45410,88422
20221001,1호선,시청,18020,17937,35957
20221001,1호선,신설동,10673,10015,20688
20221001,1호선,제기동,16287,16615,32902
20221001,1호선,종각,24275,22607,46882
20221001,1호선,종로3가,27779,25549,53328
20221001,1호선,종로5가,22382,23109,45491
20221001,1호선,청량리,19245,19656,38901
20221001,2호선,강남,58374,58877,117251
20221001,2호선,강변,32507,35225,67732
20221001,2호선,건대입구,36013,39194,75207
20221001,2호선,교대,18583,21257,39840
20221001,2호선,구로디지털단지,38092,37059,75151
20221001,2호선,구의,17896,16751,34647
20221001,2호선,낙성대,23577,20850,44427
20221001,2호선,당산,14135,15572,29707
20221001,2호선,대림,19450,20180,39630
20221001,2호선,도림천,875,917,1792
20221001,2호선,동대문역사문화공원,13421,15295,28716
20221001,2호선,뚝섬,17129,17545,34674
20221001,2호선,문래,13572,14427,27999
20221001,2호선,방배,10796,10942,21738
20221001,2호선,봉천,19177,16856,36033
20221001,2호선,사당,35260,38943,74203
20221001,2호선,삼성,33281,33721,67002
20221001,2호선,상왕십리,10747,9707,20454
20221001,2호선,서울대입구,39574,37078,76652
20221001,2호선,서초,12590,10532,23122
20221001,2호선,선릉,25718,22659,48377
20221001,2호선,성수,22904,27044,49948
20221001,2호선,시청,12921,11301,24222
20221001,2호선,신답,1182,1195,2377
20221001,2호선,신당,12331,12916,25247
20221001,2호선,신대방,21326,19836,41162
20221001,2호선,신도림,43873,44823,88696
20221001,2호선,신림,49592,46465,96057
20221001,2호선,신설동,3733,3591,7324
20221001,2호선,신정네거리,8036,7626,15662
20221001,2호선,신촌,43588,42758,86346
20221001,2호선,아현,8305,7407,15712
20221001,2호선,양천구청,5450,5360,10810
20221001,2호선,역삼,18026,20030,38056
20221001,2호선,영등포구청,13501,14105,27606
20221001,2호선,왕십리,14262,12280,26542
20221001,2호선,용답,2331,2132,4463
20221001,2호선,용두,1841,1734,3575
20221001,2호선,을지로3가,13480,13810,27290
20221001,2호선,을지로4가,9232,9888,19120
20221001,2호선,을지로입구,27777,27409,55186
20221001,2호선,이대,12419,12224,24643
20221001,2호선,잠실,78396,75695,154091
20221001,2호선,잠실나루,8872,8602,17474
20221001,2호선,잠실새내,19059,19689,38748
20221001,2호선,종합운동장,13347,15176,28523
20221001,2호선,충정로,6316,6727,13043
20221001,2호선,한양대,5819,5921,11740
20221001,2호선,합정,30749,35488,66237
20221001,2호선,홍대입구,72912,82760,155672
20221001,3호선,가락시장,6913,6566,13479
20221001,3호선,경복궁,26206,29755,55961
20221001,3호선,경찰병원,4490,4231,8721
20221001,3호선,고속터미널,59124,62989,122113
20221001,3호선,교대,8040,4875,12915
20221001,3호선,구파발,16798,17567,34365
20221001,3호선,금호,6414,5757,12171
20221001,3호선,남부터미널,24407,25126,49533
