사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20220701,2호선,성수,43013,47661,20220704
20220701,2호선,건대입구,39433,44202,20220704
20220701,2호선,구의,25932,24750,20220704
20220701,2호선,강변,36241,35859,20220704
20220701,2호선,잠실나루,16254,15555,20220704
20220701,2호선,잠실,81553,80908,20220704
20220701,2호선,잠실새내,24833,25305,20220704
20220701,2호선,종합운동장,13919,15768,20220704
20220701,2호선,삼성,65374,65073,20220704
20220701,2호선,선릉,62039,54390,20220704
20220701,2호선,역삼,55298,62606,20220704
20220701,2호선,강남,93266,92240,20220704
20220701,2호선,교대,37080,42049,20220704
20220701,2호선,서초,23585,22050,20220704
20220701,2호선,방배,17580,18166,20220704
20220701,2호선,사당,45262,48844,20220704
20220701,2호선,낙성대,30809,28210,20220704
20220701,2호선,서울대입구,51828,49472,20220704
20220701,2호선,봉천,26039,23655,20220704
20220701,2호선,신림,63886,61007,20220704
20220701,2호선,신대방,27808,26249,20220704
20220701,2호선,구로디지털단지,64952,64740,20220704
20220701,2호선,대림,25746,26125,20220704
20220701,2호선,신도림,53000,53240,20220704
20220701,2호선,문래,24307,25326,20220704
20220701,2호선,영등포구청,23798,24759,20220704
20220701,2호선,당산,20125,23593,20220704
20220701,2호선,합정,34991,39362,20220704
20220701,분당선,선릉,14347,22274,20220704
20220701,분당선,한티,16134,16806,20220704
20220701,분당선,도곡,8196,7880,20220704
20220701,분당선,구룡,2557,2354,20220704
20220701,분당선,개포동,4321,4469,20220704
20220701,분당선,대모산입구,5018,4499,20220704
20220701,분당선,수서,15376,16258,20220704
20220701,분당선,수원,9104,7786,20220704
20220701,분당선,서울숲,12653,12875,20220704
20220701,분당선,압구정로데오,21931,25973,20220704
20220701,분당선,강남구청,10597,12211,20220704
20220701,분당선,선정릉,8369,8900,20220704
20220701,분당선,가천대,7741,8205,20220704
20220701,분당선,태평,14748,13845,20220704
20220701,분당선,모란,21667,22042,20220704
20220701,분당선,야탑,29534,30646,20220704
20220701,분당선,서현,29481,30194,20220704
20220701,분당선,수내,15257,15233,20220704
20220701,분당선,정자,20620,21670,20220704
20220701,분당선,미금,17249,18184,20220704
20220701,분당선,오리,13174,10635,20220704
20220701,분당선,이매,6693,6217,20220704
20220701,분당선,보정,3134,2591,20220704
20220701,분당선,죽전,15055,16553,20220704
20220701,분당선,구성,5623,5847,20220704
20220701,분당선,신갈,5118,4946,20220704
20220701,분당선,기흥,10988,10405,20220704
20220701,분당선,상갈,5956,5620,20220704
20220701,분당선,청명,5141,4600,20220704
20220701,분당선,영통,9621,9970,20220704
20220701,분당선,망포,16986,15406,20220704
20220701,분당선,매탄권선,5918,5407,20220704
20220701,분당선,수원시청,13996,16493,20220704
20220701,분당선,매교,3403,3385,20220704
20220701,수인선,고색,5162,4680,20220704
20220701,수인선,오목천,3619,3102,20220704
20220701,수인선,어천,983,945,20220704
20220701,수인선,야목,459,330,20220704
20220701,수인선,사리,5577,4614,20220704
20220701,수인선,달월,97,69,20220704
20220701,수인선,월곶,3086,2911,20220704
20220701,수인선,소래포구,5434,5203,20220704
20220701,수인선,인천논현,6287,6677,20220704
20220701,수인선,호구포,4695,4718,20220704
20220701,수인선,남동인더스파크,2349,2682,20220704
20220701,수인선,원인재,4854,5065,20220704
20220701,수인선,연수,5188,5271,20220704
20220701,수인선,송도,2738,2551,20220704
20220701,수인선,인하대,6350,5991,20220704
20220701,수인선,숭의,4459,4078,20220704
20220701,수인선,신포,2069,2091,20220704
20220701,수인선,인천,1187,1860,20220704
20220701,신림선,샛강,2203,2841,20220704
20220701,신림선,대방,1904,1509,20220704
20220701,신림선,서울지방병무청,2295,2500,20220704
20220701,신림선,보라매,2860,2567,20220704
20220701,신림선,보라매공원,1882,1972,20220704
20220701,신림선,보라매병원,5831,6064,20220704
20220701,신림선,당곡,3742,3560,20220704
20220701,신림선,신림,1696,2313,20220704
20220701,신림선,서원,2915,2440,20220704
20220701,신림선,서울대벤처타운,6806,6428,20220704
20220701,신림선,관악산,3009,2906,20220704
20220701,안산선,산본,17300,19128,20220704
20220701,안산선,대야미,5439,5357,20220704
20220701,안산선,반월,4753,4605,20220704
20220701,안산선,상록수,16934,17418,20220704
20220701,안산선,한대앞,9917,10684,20220704
20220701,안산선,중앙,19554,20963,20220704
20220701,안산선,고잔,9613,9162,20220704
20220701,안산선,초지,5094,5154,20220704
20220701,안산선,안산,12643,12053,20220704
20220701,안산선,신길온천,1973,1794,20220704
20220701,안산선,정왕,8855,9132,20220704
20220701,안산선,오이도,9266,9256,20220704
20220701,안산선,수리산,4379,3597,20220704
20220701,우이신설선,북한산우이,3468,3098,20220704
20220701,우이신설선,솔밭공원,2710,2473,20220704
20220701,우이신설선,4.19민주묘지,3323,3018,20220704
20220701,우이신설선,가오리,4804,4733,20220704
20220701,우이신설선,화계,3933,3489,20220704
20220701,중앙선,아신,614,615,20220704
20220701,중앙선,오빈,349,340,20220704
20220701,중앙선,양평,3208,3301,20220704
20220701,중앙선,원덕,390,422,20220704
20220701,중앙선,용문,2084,2269,20220704
20220701,중앙선,지평,81,109,20220704
20220701,2호선,홍대입구,66440,76144,20220704
20220701,2호선,신촌,39854,40521,20220704
20220701,2호선,이대,14939,15713,20220704
20220701,2호선,아현,11757,10617,20220704
20220701,2호선,충정로,10850,11436,20220704
20220701,2호선,용답,3088,2846,20220704
20220701,2호선,신답,1920,2042,20220704
20220701,2호선,신설동,4160,4010,20220704
20220701,2호선,도림천,1541,1608,20220704
20220701,2호선,양천구청,7550,7649,20220704
20220701,2호선,신정네거리,11484,11619,20220704
20220701,2호선,용두,2813,2646,20220704
20220701,3호선,지축,5783,5243,20220704
20220701,3호선,구파발,23022,22043,20220704
20220701,3호선,연신내,39726,37460,20220704
20220701,3호선,불광,17405,18391,20220704
20220701,3호선,녹번,16999,14725,20220704
20220701,3호선,홍제,19006,17604,20220704
20220701,3호선,무악재,4204,4129,20220704
