사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20220903,일산선,정발산,7475,7987,20220906
20220903,일산선,주엽,7392,7285,20220906
20220903,일산선,대화,9327,8314,20220906
20220903,장항선,봉명,863,791,20220906
20220903,장항선,쌍용,1915,1649,20220906
20220903,장항선,아산,3580,3423,20220906
20220903,장항선,탕정,957,804,20220906
20220903,장항선,배방,1183,1121,20220906
20220903,장항선,온양온천,4245,4212,20220906
20220903,장항선,신창,1617,1373,20220906
20220903,중앙선,회기,24351,22912,20220906
20220903,중앙선,중랑,5048,4724,20220906
20220903,중앙선,상봉,5494,5228,20220906
20220903,중앙선,망우,7583,7270,20220906
20220903,중앙선,양원,2204,2131,20220906
20220903,중앙선,구리,11752,11709,20220906
20220903,중앙선,도농,8641,8123,20220906
20220903,중앙선,양정,632,547,20220906
20220903,중앙선,덕소,5185,5109,20220906
20220903,중앙선,도심,1928,1640,20220906
20220903,중앙선,팔당,1518,1603,20220906
20220903,중앙선,운길산,1343,1338,20220906
20220903,중앙선,양수,2691,2695,20220906
20220903,중앙선,신원,350,286,20220906
20220903,중앙선,국수,845,851,20220906
20220903,중앙선,아신,687,708,20220906
20220903,중앙선,오빈,354,382,20220906
20220903,중앙선,양평,5035,5068,20220906
20220903,중앙선,원덕,516,458,20220906
20220903,중앙선,용문,2548,2684,20220906
20220903,중앙선,지평,55,84,20220906
20220903,경원선,도봉산,9317,6403,20220906
20220903,수인선,오목천,2685,2238,20220906
20220903,6호선,석계,9440,9646,20220906
20220903,1호선,종로3가,26241,23999,20220906
20220903,1호선,종각,23077,21651,20220906
20220903,1호선,시청,15222,15639,20220906
20220903,1호선,서울역,38756,37447,20220906
20220903,2호선,아현,8604,7886,20220906
20220903,우이신설선,성신여대입구,3090,3517,20220906
20220903,우이신설선,정릉,4075,3265,20220906
20220903,우이신설선,북한산보국문,5224,4408,20220906
20220903,우이신설선,솔샘,4234,3688,20220906
20220903,우이신설선,삼양사거리,2093,2023,20220906
20220903,우이신설선,삼양,1671,1769,20220906
20220903,우이신설선,화계,2723,2503,20220906
20220903,우이신설선,가오리,3372,3155,20220906
20220903,우이신설선,4.19민주묘지,2746,2266,20220906
20220903,우이신설선,솔밭공원,2126,1934,20220906
20220903,우이신설선,북한산우이,4204,4240,20220906
20220903,안산선,수리산,3301,3027,20220906
20220903,안산선,오이도,8336,8394,20220906
20220903,안산선,정왕,7393,7444,20220906
20220903,안산선,신길온천,1662,1507,20220906
20220903,안산선,안산,10236,10484,20220906
20220903,안산선,초지,3859,3717,20220906
