사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
2022-09-01,1호선,동대문,11465,10762,22227
2022-09-01,1호선,동묘앞,8759,8937,17696
2022-09-01,1호선,서울역,49081,47845,96926
2022-09-01,1호선,시청,26721,26378,53099
2022-09-01,1호선,신설동,14979,14453,29432
2022-09-01,1호선,제기동,21748,22507,44255
2022-09-01,1호선,종각,40534,39678,80212
2022-09-01,1호선,종로3가,27728,25170,52898
2022-09-01,1호선,종로5가,24956,24754,49710
2022-09-01,1호선,청량리,22981,23353,46334
2022-09-01,2호선,강남,84920,82240,167160
2022-09-01,2호선,강변,32933,30152,63085
2022-09-01,2호선,건대입구,37946,40313,78259
2022-09-01,2호선,교대,37206,42180,79386
2022-09-01,2호선,구로디지털단지,62567,62906,125473
2022-09-01,2호선,구의,25585,24938,50523
2022-09-01,2호선,낙성대,30179,29402,59581
2022-09-01,2호선,당산,20280,23917,44197
2022-09-01,2호선,대림,25226,25639,50865
2022-09-01,2호선,도림천,1473,1488,2961
2022-09-01,2호선,동대문역사문화공원,13507,15384,28891
2022-09-01,2호선,뚝섬,24281,26411,50692
2022-09-01,2호선,문래,24158,24803,48961
2022-09-01,2호선,방배,21291,22169,43460
2022-09-01,2호선,봉천,26070,23873,49943
2022-09-01,2호선,사당,41219,44430,85649
2022-09-01,2호선,삼성,55623,56969,112592
2022-09-01,2호선,상왕십리,15654,15266,30920
2022-09-01,2호선,서울대입구,51225,50545,101770
2022-09-01,2호선,서초,23669,22741,46410
2022-09-01,2호선,선릉,62394,56014,118408
2022-09-01,2호선,성수,40741,45142,85883
2022-09-01,2호선,시청,26387,25893,52280
2022-09-01,2호선,신답,1810,1967,3777
2022-09-01,2호선,신당,14876,15212,30088
2022-09-01,2호선,신대방,26990,26203,53193
2022-09-01,2호선,신도림,51063,50767,101830
2022-09-01,2호선,신림,61313,58762,120075
2022-09-01,2호선,신설동,3591,3565,7156
2022-09-01,2호선,신정네거리,11170,11399,22569
2022-09-01,2호선,신촌,40427,40834,81261
2022-09-01,2호선,아현,11686,10969,22655
2022-09-01,2호선,양천구청,7476,7800,15276
2022-09-01,2호선,역삼,57249,65514,122763
2022-09-01,2호선,영등포구청,23613,24465,48078
2022-09-01,2호선,왕십리,18390,14722,33112
2022-09-01,2호선,용답,3459,3572,7031
2022-09-01,2호선,용두,2773,2740,5513
2022-09-01,2호선,을지로3가,26060,26489,52549
2022-09-01,2호선,을지로4가,14916,14986,29902
2022-09-01,2호선,을지로입구,47451,48775,96226
2022-09-01,2호선,이대,18345,19998,38343
2022-09-01,2호선,잠실,74247,74217,148464
2022-09-01,2호선,잠실나루,16221,15808,32029
2022-09-01,2호선,잠실새내,23596,23617,47213
2022-09-01,2호선,종합운동장,10825,11918,22743
2022-09-01,2호선,충정로,11017,12032,23049
2022-09-01,2호선,한양대,14561,16955,31516
2022-09-01,2호선,합정,33651,35837,69488
2022-09-01,2호선,홍대입구,62238,66709,128947
2022-09-01,3호선,가락시장,10120,9926,20046
2022-09-01,3호선,경복궁,25193,25616,50809
2022-09-01,3호선,경찰병원,7751,7810,15561
2022-09-01,3호선,고속터미널,44468,42039,86507
2022-09-01,3호선,교대,16403,10840,27243
2022-09-01,3호선,구파발,22296,21334,43630
2022-09-01,3호선,금호,8633,7942,16575
2022-09-01,3호선,남부터미널,30821,31067,61888
2022-09-01,3호선,녹번,17294,15293,32587
2022-09-01,3호선,대청,11784,10848,22632
2022-09-01,3호선,대치,12099,12242,24341
2022-09-01,3호선,도곡,5506,5797,11303
