사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20220101,일산선,대화,4677,4190,20220104
20220101,일산선,주엽,3259,3354,20220104
20220101,일산선,정발산,3824,3861,20220104
20220101,일산선,마두,2568,2642,20220104
20220101,일산선,백석,4287,4281,20220104
20220101,일산선,대곡,721,534,20220104
20220101,일산선,화정,7575,7999,20220104
20220101,일산선,원당,4609,4594,20220104
20220101,일산선,삼송,8752,8588,20220104
20220101,일산선,원흥,3952,3997,20220104
20220101,4호선,쌍문,11661,11083,20220104
20220101,4호선,창동,11195,12193,20220104
20220101,4호선,노원,9287,10239,20220104
20220101,4호선,상계,8017,7693,20220104
20220101,4호선,당고개,5762,5674,20220104
20220101,4호선,남태령,437,372,20220104
20220101,4호선,사당,10613,9321,20220104
20220101,4호선,총신대입구,7163,7857,20220104
20220101,4호선,동작,766,802,20220104
20220101,4호선,이촌,2154,2461,20220104
20220101,4호선,신용산,5930,6093,20220104
20220101,4호선,삼각지,1657,2037,20220104
20220101,4호선,숙대입구,4439,4172,20220104
20220101,4호선,서울역,3123,6657,20220104
20220101,4호선,회현,6552,7068,20220104
20220101,4호선,명동,12174,12386,20220104
20220101,4호선,충무로,6117,5834,20220104
20220101,4호선,동대문역사문화공원,6641,5631,20220104
20220101,4호선,동대문,4370,4250,20220104
20220101,4호선,혜화,16405,16577,20220104
20220101,4호선,한성대입구,5709,5507,20220104
20220101,4호선,성신여대입구,9522,9234,20220104
20220101,4호선,길음,7240,7189,20220104
20220101,4호선,미아사거리,11557,11381,20220104
20220101,4호선,미아,5820,5523,20220104
20220101,4호선,수유,15534,15487,20220104
20220102,4호선,노원,10630,11595,20220105
20220102,일산선,대화,5218,4771,20220105
20220102,일산선,주엽,3930,3869,20220105
20220102,일산선,정발산,4426,4484,20220105
20220102,일산선,마두,2848,2806,20220105
20220102,일산선,백석,4966,4906,20220105
20220102,일산선,대곡,795,635,20220105
20220102,일산선,화정,8254,8554,20220105
20220102,일산선,원당,5141,5017,20220105
20220102,일산선,삼송,9297,9094,20220105
20220102,일산선,지축,1,0,20220105
20220102,일산선,원흥,4529,4442,20220105
20220102,4호선,쌍문,13439,12423,20220105
20220102,4호선,창동,12796,13175,20220105
20220102,4호선,상계,8935,8228,20220105
20220102,4호선,당고개,6569,6249,20220105
20220102,4호선,남태령,510,430,20220105
20220102,4호선,사당,11615,11338,20220105
20220102,4호선,총신대입구,8233,9125,20220105
20220102,4호선,동작,681,749,20220105
20220102,4호선,이촌,4012,4528,20220105
20220102,4호선,신용산,7628,6981,20220105
20220102,4호선,삼각지,1974,2515,20220105
20220102,4호선,숙대입구,5667,5564,20220105
20220102,4호선,서울역,3227,7255,20220105
20220102,4호선,회현,9036,9104,20220105
20220102,4호선,명동,11202,11327,20220105
20220102,4호선,충무로,6031,6199,20220105
20220102,4호선,동대문역사문화공원,7350,6273,20220105
20220102,4호선,동대문,5094,5173,20220105
20220102,4호선,혜화,17491,18280,20220105
20220102,4호선,한성대입구,6097,6353,20220105
20220102,4호선,성신여대입구,10387,10602,20220105
20220102,4호선,길음,8502,8494,20220105
20220102,4호선,미아사거리,14176,13609,20220105
20220102,4호선,미아,6519,6499,20220105
20220102,4호선,수유,16850,16612,20220105
20220103,일산선,대화,11902,9288,20220106
20220103,일산선,주엽,8419,8316,20220106
20220103,일산선,정발산,6446,6356,20220106
20220103,일산선,마두,6859,7092,20220106
20220103,일산선,백석,9233,9268,20220106
20220103,일산선,대곡,1771,1396,20220106
20220103,일산선,화정,15782,16258,20220106
20220103,일산선,원당,10252,9717,20220106
20220103,일산선,삼송,18098,17920,20220106
20220103,일산선,원흥,9757,9362,20220106
20220103,4호선,수유,31181,31335,20220106
20220103,4호선,미아,13522,13423,20220106
20220103,4호선,미아사거리,25411,24781,20220106
20220103,4호선,길음,18514,18360,20220106
20220103,4호선,성신여대입구,17836,17395,20220106
20220103,4호선,한성대입구,11725,11684,20220106
20220103,4호선,혜화,26726,26831,20220106
20220103,4호선,동대문,15986,17333,20220106
20220103,4호선,동대문역사문화공원,12919,11870,20220106
20220103,4호선,충무로,23771,24715,20220106
20220103,4호선,명동,16690,17130,20220106
20220103,4호선,회현,21960,23110,20220106
20220103,4호선,서울역,10530,14163,20220106
20220103,4호선,숙대입구,11267,11049,20220106
20220103,4호선,삼각지,4305,4535,20220106
20220103,4호선,신용산,15785,16298,20220106
20220103,4호선,이촌,6487,7139,20220106
20220103,4호선,동작,1211,1326,20220106
20220103,4호선,총신대입구,17147,18611,20220106
20220103,4호선,사당,21998,18031,20220106
20220103,4호선,남태령,1067,957,20220106
20220103,4호선,당고개,11937,10861,20220106
20220103,4호선,상계,17534,16370,20220106
20220103,4호선,노원,17081,19302,20220106
20220103,4호선,창동,23393,24745,20220106
20220103,4호선,쌍문,27554,25499,20220106
20220104,4호선,수유,32097,32251,20220107
20220104,4호선,미아,13880,13550,20220107
20220104,4호선,미아사거리,26234,25576,20220107
20220104,4호선,길음,19007,18769,20220107
20220104,4호선,성신여대입구,18370,17764,20220107
20220104,4호선,한성대입구,12067,11996,20220107
20220104,4호선,혜화,30100,29979,20220107
20220104,4호선,동대문,18485,18876,20220107
20220104,4호선,동대문역사문화공원,13742,12629,20220107
20220104,4호선,충무로,24984,25705,20220107
20220104,4호선,명동,17294,17590,20220107
20220104,4호선,회현,23355,24635,20220107
20220104,4호선,서울역,10632,14490,20220107
20220104,4호선,숙대입구,11765,11618,20220107
20220104,4호선,삼각지,4628,5077,20220107
20220104,4호선,신용산,15966,16660,20220107
20220104,4호선,이촌,6816,7618,20220107
20220104,4호선,동작,1298,1517,20220107
20220104,4호선,총신대입구,18023,19516,20220107
