사용일자,노선명,역명,승차총승객수,하차총승객수,총 승차인원,총 하차인원
20220101,5호선,강동,6644,6329,6644,6329
20220101,5호선,강일,1527,1558,1527,1558
20220101,5호선,개롱,2085,2304,2085,2304
20220101,5호선,개화산,2253,2366,2253,2366
20220101,5호선,거여,3095,3109,3095,3109
20220101,5호선,고덕,3515,3454,3515,3454
20220101,5호선,공덕,3249,3303,3249,3303
20220101,5호선,광나루(장신대),5727,5762,5727,5762
20220101,5호선,광화문(세종문화회관),8245,7887,8245,7887
20220101,5호선,군자(능동),4671,5286,4671,5286
20220101,5호선,굽은다리(강동구민회관앞),4329,4090,4329,4090
20220101,5호선,길동,3397,3534,3397,3534
20220101,5호선,김포공항,5736,5212,5736,5212
20220101,5호선,까치산,12401,12296,12401,12296
20220101,5호선,답십리,5872,5566,5872,5566
20220101,5호선,동대문역사문화공원(DDP),672,778,672,778
20220101,5호선,둔촌동,3208,3233,3208,3233
20220101,5호선,마곡,2606,2607,2606,2607
20220101,5호선,마장,2302,2166,2302,2166
20220101,5호선,마천,2732,2942,2732,2942
20220101,5호선,마포,3732,3718,3732,3718
20220101,5호선,명일,3191,3429,3191,3429
20220101,5호선,목동,5641,5864,5641,5864
20220101,5호선,미사,6848,6830,6848,6830
20220101,5호선,발산,7230,7644,7230,7644
20220101,5호선,방이,2789,2757,2789,2757
20220101,5호선,방화,2873,2870,2873,2870
20220101,5호선,상일동,4982,4848,4982,4848
20220101,5호선,서대문,3995,3793,3995,3793
20220101,5호선,송정,3160,2982,3160,2982
20220101,5호선,신금호,2302,2414,2302,2414
20220101,5호선,신길,1375,1483,1375,1483
20220101,5호선,신정(은행정),4971,4549,4971,4549
20220101,5호선,아차산(어린이대공원후문),9533,9281,9533,9281
20220101,5호선,애오개,1995,1911,1995,1911
20220101,5호선,양평,1828,1869,1828,1869
20220101,5호선,여의나루,3296,3376,3296,3376
20220101,5호선,여의도,4712,5120,4712,5120
20220101,5호선,영등포구청,986,907,986,907
20220101,5호선,영등포시장,3730,3872,3730,3872
20220101,5호선,오금,1080,1041,1080,1041
20220101,5호선,오목교(목동운동장앞),7333,7737,7333,7737
20220101,5호선,올림픽공원(한국체대),2184,2150,2184,2150
20220101,5호선,왕십리(성동구청),2005,2381,2005,2381
20220101,5호선,우장산,4987,5287,4987,5287
20220101,5호선,을지로4가,1163,1289,1163,1289
20220101,5호선,장한평,5610,5604,5610,5604
20220101,5호선,종로3가,7197,6625,7197,6625
20220101,5호선,천호(풍납토성),9009,8308,9009,8308
20220101,5호선,청구,1437,1325,1437,1325
20220101,5호선,충정로(경기대입구),1029,980,1029,980
20220101,5호선,하남검단산,3509,3422,3509,3422
20220101,5호선,하남시청(덕풍·신장),3074,2964,3074,2964
20220101,5호선,하남풍산,1684,1772,1684,1772
20220101,5호선,행당,2816,2563,2816,2563
20220101,5호선,화곡,11204,10584,11204,10584
20220102,5호선,강동,7051,7495,7051,7495
20220102,5호선,강일,1711,1693,1711,1693
20220102,5호선,개롱,2464,2753,2464,2753
20220102,5호선,개화산,2333,2414,2333,2414
20220102,5호선,거여,3498,3420,3498,3420
20220102,5호선,고덕,3760,3853,3760,3853
20220102,5호선,공덕,3612,3701,3612,3701
20220102,5호선,광나루(장신대),6287,6123,6287,6123
20220102,5호선,광화문(세종문화회관),8709,8581,8709,8581
20220102,5호선,군자(능동),5014,5587,5014,5587
20220102,5호선,굽은다리(강동구민회관앞),4832,4654,4832,4654
20220102,5호선,길동,3642,3824,3642,3824
20220102,5호선,김포공항,7284,6233,7284,6233
20220102,5호선,까치산,13229,13561,13229,13561
20220102,5호선,답십리,6445,6300,6445,6300
20220102,5호선,동대문역사문화공원(DDP),667,781,667,781
20220102,5호선,둔촌동,3975,4068,3975,4068
20220102,5호선,마곡,3030,3254,3030,3254
20220102,5호선,마장,2334,2271,2334,2271
20220102,5호선,마천,2957,3137,2957,3137
20220102,5호선,마포,3830,4046,3830,4046
20220102,5호선,명일,4168,4373,4168,4373
20220102,5호선,목동,6407,6795,6407,6795
20220102,5호선,미사,7374,7698,7374,7698
20220102,5호선,발산,7448,8020,7448,8020
20220102,5호선,방이,3319,3278,3319,3278
20220102,5호선,방화,3244,3285,3244,3285
20220102,5호선,상일동,5747,5574,5747,5574
20220102,5호선,서대문,4268,4308,4268,4308
20220102,5호선,송정,3175,3281,3175,3281
20220102,5호선,신금호,2577,2888,2577,2888
20220102,5호선,신길,1439,1871,1439,1871
20220102,5호선,신정(은행정),5395,5120,5395,5120
20220102,5호선,아차산(어린이대공원후문),8733,8893,8733,8893
20220102,5호선,애오개,2221,2318,2221,2318
20220102,5호선,양평,2168,2434,2168,2434
20220102,5호선,여의나루,4297,5071,4297,5071
20220102,5호선,여의도,6590,6657,6590,6657
20220102,5호선,영등포구청,1142,1214,1142,1214
20220102,5호선,영등포시장,3770,4313,3770,4313
20220102,5호선,오금,1233,1225,1233,1225
20220102,5호선,오목교(목동운동장앞),10065,10408,10065,10408
20220102,5호선,올림픽공원(한국체대),2184,1984,2184,1984
20220102,5호선,왕십리(성동구청),2279,2650,2279,2650
20220102,5호선,우장산,5974,6091,5974,6091
20220102,5호선,을지로4가,1127,1201,1127,1201
20220102,5호선,장한평,6526,7026,6526,7026
20220102,5호선,종로3가,6867,6228,6867,6228
20220102,5호선,천호(풍납토성),11082,10250,11082,10250
20220102,5호선,청구,1558,1378,1558,1378
20220102,5호선,충정로(경기대입구),1170,1231,1170,1231
20220102,5호선,하남검단산,3779,3697,3779,3697
20220102,5호선,하남시청(덕풍·신장),3379,3183,3379,3183
20220102,5호선,하남풍산,1777,1910,1777,1910
20220102,5호선,행당,3243,3039,3243,3039
20220102,5호선,화곡,12405,11732,12405,11732
20220103,5호선,강동,17436,16738,17436,16738
20220103,5호선,강일,3602,3650,3602,3650
20220103,5호선,개롱,6012,6276,6012,6276
20220103,5호선,개화산,5217,5031,5217,5031
20220103,5호선,거여,8754,8395,8754,8395
20220103,5호선,고덕,8866,8960,8866,8960
20220103,5호선,공덕,13200,13896,13200,13896
20220103,5호선,광나루(장신대),12124,11088,12124,11088
20220103,5호선,광화문(세종문화회관),27817,28810,27817,28810
20220103,5호선,군자(능동),10335,11261,10335,11261
20220103,5호선,굽은다리(강동구민회관앞),8949,8622,8949,8622
20220103,5호선,길동,7493,7894,7493,7894
20220103,5호선,김포공항,6962,6577,6962,6577
20220103,5호선,까치산,27403,26773,27403,26773
20220103,5호선,답십리,15420,14271,15420,14271
20220103,5호선,동대문역사문화공원(DDP),2984,3372,2984,3372
20220103,5호선,둔촌동,7965,8138,7965,8138
20220103,5호선,마곡,10364,10128,10364,10128
20220103,5호선,마장,5047,4739,5047,4739
20220103,5호선,마천,6439,6346,6439,6346
20220103,5호선,마포,13769,13990,13769,13990
20220103,5호선,명일,7961,8267,7961,8267
20220103,5호선,목동,15859,17531,15859,17531
20220103,5호선,미사,15182,15314,15182,15314
20220103,5호선,발산,19127,19282,19127,19282
20220103,5호선,방이,6640,6894,6640,6894
20220103,5호선,방화,6379,6258,6379,6258
20220103,5호선,상일동,14933,13919,14933,13919
20220103,5호선,서대문,17922,18284,17922,18284
20220103,5호선,송정,6174,5658,6174,5658
20220103,5호선,신금호,5775,6177,5775,6177
20220103,5호선,신길,3944,4379,3944,4379
20220103,5호선,신정(은행정),13282,10756,13282,10756
20220103,5호선,아차산(어린이대공원후문),12633,12628,12633,12628
20220103,5호선,애오개,6186,6327,6186,6327
20220103,5호선,양평,7366,7543,7366,7543
20220103,5호선,여의나루,8578,9330,8578,9330
20220103,5호선,여의도,28372,29242,28372,29242
20220103,5호선,영등포구청,3832,3876,3832,3876
20220103,5호선,영등포시장,9562,9704,9562,9704
20220103,5호선,오금,3597,3567,3597,3567
20220103,5호선,오목교(목동운동장앞),20868,22246,20868,22246
20220103,5호선,올림픽공원(한국체대),4030,3504,4030,3504
20220103,5호선,왕십리(성동구청),4267,4690,4267,4690
20220103,5호선,우장산,13489,13531,13489,13531
20220103,5호선,을지로4가,5850,5801,5850,5801
20220103,5호선,장한평,17761,17696,17761,17696
20220103,5호선,종로3가,11052,10692,11052,10692
20220103,5호선,천호(풍납토성),16530,16330,16530,16330
20220103,5호선,청구,3653,3442,3653,3442
20220103,5호선,충정로(경기대입구),4669,4686,4669,4686
20220103,5호선,하남검단산,4998,4860,4998,4860
20220103,5호선,하남시청(덕풍·신장),5835,5691,5835,5691
20220103,5호선,하남풍산,4062,3992,4062,3992
20220103,5호선,행당,7620,6887,7620,6887
20220103,5호선,화곡,27093,25584,27093,25584
20220104,5호선,강동,17978,17095,17978,17095
20220104,5호선,강일,3754,3736,3754,3736
20220104,5호선,개롱,6070,6447,6070,6447
20220104,5호선,개화산,5349,5150,5349,5150
20220104,5호선,거여,8985,8665,8985,8665
20220104,5호선,고덕,9186,9296,9186,9296
20220104,5호선,공덕,13830,14436,13830,14436
20220104,5호선,광나루(장신대),13479,12315,13479,12315
20220104,5호선,광화문(세종문화회관),29070,29907,29070,29907
20220104,5호선,군자(능동),10850,11893,10850,11893
20220104,5호선,굽은다리(강동구민회관앞),9164,8807,9164,8807
20220104,5호선,길동,7787,8252,7787,8252
20220104,5호선,김포공항,7106,6443,7106,6443
20220104,5호선,까치산,28007,27451,28007,27451
20220104,5호선,답십리,15841,14488,15841,14488
20220104,5호선,동대문역사문화공원(DDP),3023,3502,3023,3502
20220104,5호선,둔촌동,8404,8355,8404,8355
20220104,5호선,마곡,10636,10444,10636,10444
20220104,5호선,마장,5505,5033,5505,5033
20220104,5호선,마천,6693,6609,6693,6609
20220104,5호선,마포,14216,14440,14216,14440
20220104,5호선,명일,8294,8741,8294,8741
20220104,5호선,목동,16336,17801,16336,17801
20220104,5호선,미사,15457,15669,15457,15669
20220104,5호선,발산,19726,19975,19726,19975
20220104,5호선,방이,7154,7360,7154,7360
20220104,5호선,방화,6394,6223,6394,6223
20220104,5호선,상일동,15180,13940,15180,13940
20220104,5호선,서대문,18666,18878,18666,18878
20220104,5호선,송정,6315,5953,6315,5953
20220104,5호선,신금호,5951,6268,5951,6268
20220104,5호선,신길,4087,4417,4087,4417
20220104,5호선,신정(은행정),13529,11188,13529,11188
20220104,5호선,아차산(어린이대공원후문),13759,13362,13759,13362
20220104,5호선,애오개,6528,6628,6528,6628
