사용월,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202201,8호선,가락시장,2644,2828,2644,2828
202201,8호선,강동구청,3371,3526,3371,3526
202201,8호선,남위례,1367,1592,1367,1592
202201,8호선,남한산성입구,5323,5004,5323,5004
202201,8호선,단대오거리,4316,4142,4316,4142
202201,8호선,모란,2208,1927,2208,1927
202201,8호선,몽촌토성,2779,2571,2779,2571
202201,8호선,문정,3686,3717,3686,3717
202201,8호선,복정,3374,3023,3374,3023
202201,8호선,산성,2435,2447,2435,2447
202201,8호선,석촌,3107,3797,3107,3797
202201,8호선,송파,2576,2707,2576,2707
202201,8호선,수진,2462,2262,2462,2262
202201,8호선,신흥,2273,2602,2273,2602
202201,8호선,암사,6855,6471,6855,6471
202201,8호선,잠실,8337,9287,8337,9287
202201,8호선,장지,7522,7404,7522,7404
202201,8호선,천호,6431,7632,6431,7632
202201,8호선,가락시장,2587,3313,2587,3313
202201,8호선,강동구청,3987,4302,3987,4302
202201,8호선,남위례,1560,1796,1560,1796
202201,8호선,남한산성입구,5625,5333,5625,5333
202201,8호선,단대오거리,4737,4721,4737,4721
202201,8호선,모란,2400,1983,2400,1983
202201,8호선,몽촌토성,2790,2862,2790,2862
202201,8호선,문정,3765,4409,3765,4409
202201,8호선,복정,3633,3498,3633,3498
202201,8호선,산성,2646,2693,2646,2693
202201,8호선,석촌,3587,4643,3587,4643
202201,8호선,송파,3028,3320,3028,3320
202201,8호선,수진,2671,2496,2671,2496
202201,8호선,신흥,2385,2611,2385,2611
202201,8호선,암사,7687,7350,7687,7350
202201,8호선,잠실,9634,10188,9634,10188
202201,8호선,장지,8000,8381,8000,8381
202201,8호선,천호,7651,9029,7651,9029
202201,8호선,가락시장,7104,7733,7104,7733
202201,8호선,강동구청,10029,10488,10029,10488
202201,8호선,남위례,3311,3646,3311,3646
202201,8호선,남한산성입구,12695,11675,12695,11675
202201,8호선,단대오거리,9710,9674,9710,9674
202201,8호선,모란,4097,3128,4097,3128
202201,8호선,몽촌토성,5659,5724,5659,5724
202201,8호선,문정,21983,23062,21983,23062
202201,8호선,복정,8772,7475,8772,7475
202201,8호선,산성,5008,5038,5008,5038
202201,8호선,석촌,7245,8280,7245,8280
202201,8호선,송파,7146,7307,7146,7307
202201,8호선,수진,5131,4725,5131,4725
202201,8호선,신흥,3999,4459,3999,4459
202201,8호선,암사,18074,16322,18074,16322
202201,8호선,잠실,13182,15254,13182,15254
202201,8호선,장지,16033,15741,16033,15741
202201,8호선,천호,13851,16005,13851,16005
202201,8호선,가락시장,7594,8261,7594,8261
202201,8호선,강동구청,10325,10838,10325,10838
202201,8호선,남위례,3426,3778,3426,3778
202201,8호선,남한산성입구,13195,12277,13195,12277
202201,8호선,단대오거리,10160,10134,10160,10134
202201,8호선,모란,5719,4466,5719,4466
202201,8호선,몽촌토성,6012,5906,6012,5906
202201,8호선,문정,22640,23757,22640,23757
202201,8호선,복정,9321,7871,9321,7871
202201,8호선,산성,5129,5188,5129,5188
202201,8호선,석촌,7704,8867,7704,8867
202201,8호선,송파,7236,7405,7236,7405
202201,8호선,수진,5243,4788,5243,4788
202201,8호선,신흥,4066,4433,4066,4433
202201,8호선,암사,18470,16513,18470,16513
202201,8호선,잠실,13673,15757,13673,15757
202201,8호선,장지,16924,16435,16924,16435
202201,8호선,천호,14394,16402,14394,16402
202201,8호선,가락시장,7592,8280,7592,8280
202201,8호선,강동구청,10323,10789,10323,10789
202201,8호선,남위례,3548,3824,3548,3824
202201,8호선,남한산성입구,13149,12049,13149,12049
202201,8호선,단대오거리,10096,9908,10096,9908
