사용일자,노선명,역명,승차총승객수,하차총승객수,총 승차인원,총 하차인원
20220101,경강선,여주,1329,1328,1329,1328
20220101,경강선,세종대왕릉,161,195,161,195
20220101,경강선,부발,1223,1233,1223,1233
20220101,경강선,이천,1644,1720,1644,1720
20220101,경강선,신둔도예촌,589,579,589,579
20220101,경강선,곤지암,1251,1182,1251,1182
20220101,경강선,초월,1169,1135,1169,1135
20220101,경강선,경기광주,2922,3062,2922,3062
20220101,경강선,삼동,749,681,749,681
20220101,경강선,이매,519,317,519,317
20220101,경강선,판교,1427,1260,1427,1260
20220102,경강선,여주,1918,1566,1918,1566
20220102,경강선,세종대왕릉,223,198,223,198
20220102,경강선,부발,1652,2166,1652,2166
20220102,경강선,이천,1957,2065,1957,2065
20220102,경강선,신둔도예촌,817,710,817,710
20220102,경강선,곤지암,1333,1454,1333,1454
20220102,경강선,초월,1415,1415,1415,1415
20220102,경강선,경기광주,3581,3390,3581,3390
20220102,경강선,삼동,918,922,918,922
20220102,경강선,이매,563,449,563,449
20220102,경강선,판교,2469,2330,2469,2330
20220103,경강선,판교,4610,4535,4610,4535
20220103,경강선,이매,1040,897,1040,897
20220103,경강선,삼동,2287,2169,2287,2169
20220103,경강선,경기광주,7364,7106,7364,7106
20220103,경강선,초월,2948,2877,2948,2877
20220103,경강선,곤지암,2037,2027,2037,2027
20220103,경강선,신둔도예촌,1229,1175,1229,1175
20220103,경강선,이천,2414,2515,2414,2515
20220103,경강선,부발,1886,1931,1886,1931
20220103,경강선,세종대왕릉,262,249,262,249
20220103,경강선,여주,1764,1723,1764,1723
20220104,경강선,판교,4577,4518,4577,4518
20220104,경강선,이매,1007,938,1007,938
20220104,경강선,삼동,2305,2133,2305,2133
20220104,경강선,경기광주,7528,7098,7528,7098
20220104,경강선,초월,2999,2929,2999,2929
20220104,경강선,곤지암,2032,1999,2032,1999
20220104,경강선,신둔도예촌,1258,1211,1258,1211
20220104,경강선,이천,2328,2368,2328,2368
20220104,경강선,부발,1853,1761,1853,1761
20220104,경강선,세종대왕릉,247,252,247,252
20220104,경강선,여주,1737,1748,1737,1748
20220105,경강선,판교,4577,4531,4577,4531
20220105,경강선,이매,1019,880,1019,880
20220105,경강선,삼동,2279,2140,2279,2140
20220105,경강선,경기광주,7291,7001,7291,7001
20220105,경강선,초월,3033,2919,3033,2919
20220105,경강선,곤지암,2099,2003,2099,2003
20220105,경강선,신둔도예촌,1286,1223,1286,1223
20220105,경강선,이천,2276,2386,2276,2386
