사용일자,노선명,역명,승차총승객수,하차총승객수,총 승차인원,총 하차인원
20220101,경의중앙선,가능,2996,2855,2996,2855
20220101,경의중앙선,가좌,2017,1980,2017,1980
20220101,경의중앙선,강매,1078,1085,1078,1085
20220101,경의중앙선,곡산,223,222,223,222
20220101,경의중앙선,공덕,1251,1060,1251,1060
20220101,경의중앙선,광운대,3040,3166,3040,3166
20220101,경의중앙선,구리,5372,5743,5372,5743
20220101,경의중앙선,국수,337,378,337,378
20220101,경의중앙선,금릉,2226,2242,2226,2242
20220101,경의중앙선,금촌,3655,3696,3655,3696
20220101,경의중앙선,녹양,2000,2031,2000,2031
20220101,경의중앙선,녹천,1934,1633,1934,1633
20220101,경의중앙선,능곡,1562,1524,1562,1524
20220101,경의중앙선,덕계,1203,1182,1203,1182
20220101,경의중앙선,덕소,2626,2727,2626,2727
20220101,경의중앙선,덕정,2668,2576,2668,2576
20220101,경의중앙선,도농,3751,3812,3751,3812
20220101,경의중앙선,도봉,2638,2480,2638,2480
20220101,경의중앙선,도봉산,5421,3866,5421,3866
20220101,경의중앙선,도심,868,795,868,795
20220101,경의중앙선,동두천,959,1154,959,1154
20220101,경의중앙선,동두천중앙,1617,1626,1617,1626
20220101,경의중앙선,디지털미디어시티,1025,905,1025,905
20220101,경의중앙선,망우,3549,3588,3549,3588
20220101,경의중앙선,망월사,3245,3429,3245,3429
20220101,경의중앙선,문산,2792,2863,2792,2863
20220101,경의중앙선,방학,4376,4204,4376,4204
20220101,경의중앙선,백마,2377,2411,2377,2411
20220101,경의중앙선,보산,883,991,883,991
20220101,경의중앙선,상봉(시외버스터미널),2911,2736,2911,2736
20220101,경의중앙선,서강대,929,856,929,856
20220101,경의중앙선,서빙고,750,695,750,695
20220101,경의중앙선,서울역,687,726,687,726
20220101,경의중앙선,석계,3821,4189,3821,4189
20220101,경의중앙선,소요산,2218,1982,2218,1982
20220101,경의중앙선,수색,677,686,677,686
20220101,경의중앙선,신원,110,108,110,108
20220101,경의중앙선,신이문,3480,3310,3480,3310
20220101,경의중앙선,신촌,181,212,181,212
20220101,경의중앙선,아신,278,314,278,314
20220101,경의중앙선,야당,4003,3880,4003,3880
20220101,경의중앙선,양수,1149,1169,1149,1169
20220101,경의중앙선,양원,655,680,655,680
20220101,경의중앙선,양정,277,203,277,203
20220101,경의중앙선,양주,3605,3514,3605,3514
20220101,경의중앙선,양평,1432,1481,1432,1481
20220101,경의중앙선,오빈,144,142,144,142
20220101,경의중앙선,옥수,28,28,28,28
20220101,경의중앙선,왕십리(성동구청),7197,8126,7197,8126
20220101,경의중앙선,외대앞,3374,3345,3374,3345
20220101,경의중앙선,용문,1171,1224,1171,1224
20220101,경의중앙선,운길산,689,667,689,667
20220101,경의중앙선,운정,2739,2779,2739,2779
20220101,경의중앙선,원덕,171,190,171,190
20220101,경의중앙선,월계,2796,2675,2796,2675
20220101,경의중앙선,월롱,757,813,757,813
20220101,경의중앙선,응봉,876,794,876,794
20220101,경의중앙선,의정부,10507,10890,10507,10890
20220101,경의중앙선,이촌(국립중앙박물관),1274,1053,1274,1053
20220101,경의중앙선,일산,3367,3452,3367,3452
20220101,경의중앙선,임진강,56,73,56,73
20220101,경의중앙선,중랑,2451,2381,2451,2381
20220101,경의중앙선,지평,24,40,24,40
20220101,경의중앙선,지행,3454,3406,3454,3406
20220101,경의중앙선,창동,1,0,1,0
20220101,경의중앙선,청량리(서울시립대입구),9450,9171,9450,9171
20220101,경의중앙선,탄현,3023,3009,3023,3009
20220101,경의중앙선,파주,482,424,482,424
20220101,경의중앙선,팔당,838,820,838,820
20220101,경의중앙선,풍산,2502,2511,2502,2511
20220101,경의중앙선,한남,1487,1363,1487,1363
20220101,경의중앙선,행신,2954,3044,2954,3044
20220101,경의중앙선,홍대입구,1134,1294,1134,1294
20220101,경의중앙선,화전,515,449,515,449
20220101,경의중앙선,회기,10723,10388,10723,10388
20220101,경의중앙선,회룡,5162,5301,5162,5301
20220101,경의중앙선,효창공원앞,934,1056,934,1056
20220102,경의중앙선,가능,3229,3049,3229,3049
20220102,경의중앙선,가좌,2182,2313,2182,2313
20220102,경의중앙선,강매,1278,1206,1278,1206
20220102,경의중앙선,곡산,240,223,240,223
20220102,경의중앙선,공덕,1261,1147,1261,1147
