사용일자,노선명,역명,승차총승객수,하차총승객수,총 승차인원,총 하차인원
20220101,경춘선,춘천,976,904,976,904
20220101,경춘선,남춘천,1573,1664,1573,1664
20220101,경춘선,김유정,207,200,207,200
20220101,경춘선,강촌,304,319,304,319
20220101,경춘선,백양리,326,255,326,255
20220101,경춘선,굴봉산,118,122,118,122
20220101,경춘선,가평,1183,1126,1183,1126
20220101,경춘선,상천,151,146,151,146
20220101,경춘선,청평,1089,1001,1089,1001
20220101,경춘선,대성리,391,247,391,247
20220101,경춘선,마석,1805,1841,1805,1841
20220101,경춘선,천마산,800,805,800,805
20220101,경춘선,평내호평,2636,2550,2636,2550
20220101,경춘선,금곡,643,614,643,614
20220101,경춘선,사릉,1227,1256,1227,1256
20220101,경춘선,퇴계원,1457,1421,1457,1421
20220101,경춘선,별내,1348,1285,1348,1285
20220101,경춘선,갈매,996,977,996,977
20220101,경춘선,신내,652,648,652,648
20220102,경춘선,춘천,1174,952,1174,952
20220102,경춘선,남춘천,2315,2209,2315,2209
20220102,경춘선,김유정,292,243,292,243
20220102,경춘선,강촌,409,343,409,343
20220102,경춘선,백양리,234,167,234,167
20220102,경춘선,굴봉산,120,164,120,164
20220102,경춘선,가평,1277,955,1277,955
20220102,경춘선,상천,256,182,256,182
20220102,경춘선,청평,1144,966,1144,966
20220102,경춘선,대성리,359,239,359,239
20220102,경춘선,마석,1994,1943,1994,1943
20220102,경춘선,천마산,927,917,927,917
20220102,경춘선,평내호평,2856,2644,2856,2644
20220102,경춘선,금곡,704,667,704,667
20220102,경춘선,사릉,1329,1356,1329,1356
20220102,경춘선,퇴계원,1729,1499,1729,1499
20220102,경춘선,별내,1547,1514,1547,1514
20220102,경춘선,갈매,1167,1047,1167,1047
20220102,경춘선,신내,715,735,715,735
20220103,경춘선,신내,1899,1752,1899,1752
20220103,경춘선,갈매,2904,2529,2904,2529
20220103,경춘선,별내,3237,3044,3237,3044
20220103,경춘선,퇴계원,3435,3212,3435,3212
20220103,경춘선,사릉,3011,2871,3011,2871
20220103,경춘선,금곡,1375,1325,1375,1325
20220103,경춘선,평내호평,5857,5495,5857,5495
20220103,경춘선,천마산,1533,1393,1533,1393
20220103,경춘선,마석,3673,3675,3673,3675
20220103,경춘선,대성리,369,330,369,330
20220103,경춘선,청평,1337,1318,1337,1318
20220103,경춘선,상천,172,145,172,145
20220103,경춘선,가평,1304,1294,1304,1294
20220103,경춘선,굴봉산,92,117,92,117
20220103,경춘선,백양리,243,218,243,218
20220103,경춘선,강촌,243,265,243,265
20220103,경춘선,김유정,206,175,206,175
20220103,경춘선,남춘천,1814,1835,1814,1835
20220103,경춘선,춘천,899,831,899,831
20220104,경춘선,신내,1899,1777,1899,1777
20220104,경춘선,갈매,2968,2625,2968,2625
20220104,경춘선,별내,3200,2998,3200,2998
20220104,경춘선,퇴계원,3371,3142,3371,3142
20220104,경춘선,사릉,3105,2922,3105,2922
20220104,경춘선,금곡,1409,1262,1409,1262
20220104,경춘선,평내호평,5907,5608,5907,5608
20220104,경춘선,천마산,1477,1400,1477,1400
20220104,경춘선,마석,3476,3383,3476,3383
20220104,경춘선,대성리,364,320,364,320
20220104,경춘선,청평,1392,1308,1392,1308
20220104,경춘선,상천,180,172,180,172
20220104,경춘선,가평,1298,1360,1298,1360
20220104,경춘선,굴봉산,103,124,103,124
20220104,경춘선,백양리,269,201,269,201
20220104,경춘선,강촌,277,276,277,276
20220104,경춘선,김유정,269,228,269,228
20220104,경춘선,남춘천,1776,1887,1776,1887
20220104,경춘선,춘천,960,928,960,928
20220105,경춘선,신내,1902,1813,1902,1813
20220105,경춘선,갈매,3021,2601,3021,2601
20220105,경춘선,별내,3284,3047,3284,3047
20220105,경춘선,퇴계원,3488,3156,3488,3156
20220105,경춘선,사릉,3018,2927,3018,2927
20220105,경춘선,금곡,1389,1299,1389,1299
20220105,경춘선,평내호평,5813,5684,5813,5684
20220105,경춘선,천마산,1533,1434,1533,1434
20220105,경춘선,마석,3435,3407,3435,3407
20220105,경춘선,대성리,340,351,340,351
20220105,경춘선,청평,1348,1283,1348,1283
20220105,경춘선,상천,198,189,198,189
20220105,경춘선,가평,1309,1290,1309,1290
20220105,경춘선,굴봉산,94,118,94,118
20220105,경춘선,백양리,252,205,252,205
20220105,경춘선,강촌,307,266,307,266
20220105,경춘선,김유정,221,232,221,232
20220105,경춘선,남춘천,1881,1960,1881,1960
20220105,경춘선,춘천,907,832,907,832
20220106,경춘선,신내,1889,1761,1889,1761
20220106,경춘선,갈매,2929,2503,2929,2503
20220106,경춘선,별내,3227,3066,3227,3066
20220106,경춘선,퇴계원,3476,3266,3476,3266
20220106,경춘선,사릉,3016,2944,3016,2944
20220106,경춘선,금곡,1427,1320,1427,1320
20220106,경춘선,평내호평,5718,5677,5718,5677
20220106,경춘선,천마산,1560,1426,1560,1426
20220106,경춘선,마석,3495,3390,3495,3390
20220106,경춘선,대성리,401,352,401,352
20220106,경춘선,청평,1389,1354,1389,1354
20220106,경춘선,상천,201,182,201,182
20220106,경춘선,가평,1337,1400,1337,1400
20220106,경춘선,굴봉산,123,142,123,142
20220106,경춘선,백양리,256,271,256,271
20220106,경춘선,강촌,290,265,290,265
20220106,경춘선,김유정,275,285,275,285
20220106,경춘선,남춘천,2006,1994,2006,1994
20220106,경춘선,춘천,1004,899,1004,899
20220107,경춘선,가평,1508,1538,1508,1538
20220107,경춘선,갈매,3012,2601,3012,2601
20220107,경춘선,강촌,300,311,300,311
20220107,경춘선,굴봉산,96,119,96,119
20220107,경춘선,금곡,1405,1356,1405,1356
20220107,경춘선,김유정,240,264,240,264
20220107,경춘선,남춘천,2858,2938,2858,2938
20220107,경춘선,대성리,436,410,436,410
20220107,경춘선,마석,3710,3615,3710,3615
20220107,경춘선,백양리,257,233,257,233
20220107,경춘선,별내,3403,3215,3403,3215
20220107,경춘선,사릉,3134,2979,3134,2979
20220107,경춘선,상천,201,190,201,190
20220107,경춘선,신내,1998,1886,1998,1886
20220107,경춘선,천마산,1594,1513,1594,1513
20220107,경춘선,청평,1577,1624,1577,1624
20220107,경춘선,춘천,1177,1090,1177,1090
20220107,경춘선,퇴계원,3467,3242,3467,3242
20220107,경춘선,평내호평,5974,5906,5974,5906
20220108,경춘선,신내,1119,1126,1119,1126
20220108,경춘선,갈매,1871,1587,1871,1587
20220108,경춘선,별내,2261,2158,2261,2158
20220108,경춘선,퇴계원,2366,2181,2366,2181
20220108,경춘선,사릉,2027,1975,2027,1975
20220108,경춘선,금곡,1072,931,1072,931
20220108,경춘선,평내호평,4127,3954,4127,3954
20220108,경춘선,천마산,1239,1252,1239,1252
20220108,경춘선,마석,3028,3065,3028,3065
20220108,경춘선,대성리,407,368,407,368
20220108,경춘선,청평,1278,1331,1278,1331
20220108,경춘선,상천,256,213,256,213
20220108,경춘선,가평,1287,1337,1287,1337
20220108,경춘선,굴봉산,142,196,142,196
20220108,경춘선,백양리,366,309,366,309
20220108,경춘선,강촌,413,430,413,430
20220108,경춘선,김유정,299,342,299,342
20220108,경춘선,남춘천,2137,2323,2137,2323
20220108,경춘선,춘천,1239,1130,1239,1130
20220109,경춘선,신내,772,798,772,798
20220109,경춘선,갈매,1293,1139,1293,1139
20220109,경춘선,별내,1702,1547,1702,1547
20220109,경춘선,퇴계원,1765,1577,1765,1577
20220109,경춘선,사릉,1375,1369,1375,1369
20220109,경춘선,금곡,719,692,719,692
