사용월,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202201,공항철도,검암,2523,2697,2523,2697
202201,공항철도,계양,3715,3735,3715,3735
202201,공항철도,공덕,805,1177,805,1177
202201,공항철도,공항화물청사,1055,1057,1055,1057
202201,공항철도,김포공항,8828,4204,8828,4204
202201,공항철도,디지털미디어시티,2655,2457,2655,2457
202201,공항철도,마곡나루,1551,1591,1551,1591
202201,공항철도,서울역,4845,4299,4845,4299
202201,공항철도,영종,1904,1839,1904,1839
202201,공항철도,운서,4110,4080,4110,4080
202201,공항철도,인천공항1터미널,3601,3377,3601,3377
202201,공항철도,인천공항2터미널,1684,1522,1684,1522
202201,공항철도,청라국제도시,2333,2353,2333,2353
202201,공항철도,홍대입구,6979,6898,6979,6898
202201,공항철도,검암,3023,2966,3023,2966
202201,공항철도,계양,4421,4159,4421,4159
202201,공항철도,공덕,933,1293,933,1293
202201,공항철도,공항화물청사,887,926,887,926
202201,공항철도,김포공항,10988,5498,10988,5498
202201,공항철도,디지털미디어시티,2741,2965,2741,2965
202201,공항철도,마곡나루,1673,1976,1673,1976
202201,공항철도,서울역,7609,5335,7609,5335
202201,공항철도,영종,2032,1896,2032,1896
202201,공항철도,운서,4037,4513,4037,4513
202201,공항철도,인천공항1터미널,3129,3391,3129,3391
202201,공항철도,인천공항2터미널,1791,1714,1791,1714
202201,공항철도,청라국제도시,2640,2440,2640,2440
202201,공항철도,홍대입구,8011,7906,8011,7906
202201,공항철도,검암,6277,6192,6277,6192
202201,공항철도,계양,9692,9100,9692,9100
202201,공항철도,공덕,2118,2671,2118,2671
202201,공항철도,공항화물청사,2232,2374,2232,2374
202201,공항철도,김포공항,11597,6778,11597,6778
202201,공항철도,디지털미디어시티,13893,12516,13893,12516
202201,공항철도,마곡나루,8468,7970,8468,7970
202201,공항철도,서울역,6955,5972,6955,5972
202201,공항철도,영종,2771,2782,2771,2782
202201,공항철도,운서,5917,6075,5917,6075
202201,공항철도,인천공항1터미널,3444,3690,3444,3690
202201,공항철도,인천공항2터미널,2032,1953,2032,1953
202201,공항철도,청라국제도시,6469,5999,6469,5999
202201,공항철도,홍대입구,8463,8721,8463,8721
202201,공항철도,검암,6453,6288,6453,6288
202201,공항철도,계양,9741,9256,9741,9256
202201,공항철도,공덕,2234,2780,2234,2780
202201,공항철도,공항화물청사,2324,2514,2324,2514
202201,공항철도,김포공항,10970,5986,10970,5986
202201,공항철도,디지털미디어시티,13872,12599,13872,12599
202201,공항철도,마곡나루,8652,8106,8652,8106
202201,공항철도,서울역,6535,5727,6535,5727
202201,공항철도,영종,2853,2798,2853,2798
202201,공항철도,운서,6035,6131,6035,6131
202201,공항철도,인천공항1터미널,3527,3855,3527,3855
202201,공항철도,인천공항2터미널,2009,2108,2009,2108
202201,공항철도,청라국제도시,6587,6219,6587,6219
202201,공항철도,홍대입구,8879,9076,8879,9076
202201,공항철도,검암,6436,6292,6436,6292
202201,공항철도,계양,9679,9189,9679,9189
202201,공항철도,공덕,2187,2775,2187,2775
202201,공항철도,공항화물청사,2224,2447,2224,2447
202201,공항철도,김포공항,11128,6233,11128,6233
202201,공항철도,디지털미디어시티,14024,12460,14024,12460
202201,공항철도,마곡나루,8583,8234,8583,8234
202201,공항철도,서울역,6250,5837,6250,5837
202201,공항철도,영종,2744,2811,2744,2811
202201,공항철도,운서,6263,6141,6263,6141
202201,공항철도,인천공항1터미널,3532,3749,3532,3749
202201,공항철도,인천공항2터미널,2127,2022,2127,2022
202201,공항철도,청라국제도시,6556,6160,6556,6160
202201,공항철도,홍대입구,8796,8848,8796,8848
202201,공항철도,검암,6516,6358,6516,6358
202201,공항철도,계양,9951,9342,9951,9342
202201,공항철도,공덕,2204,2866,2204,2866
202201,공항철도,공항화물청사,2295,2481,2295,2481
202201,공항철도,김포공항,10909,6561,10909,6561
202201,공항철도,디지털미디어시티,14124,12741,14124,12741
202201,공항철도,마곡나루,8573,8180,8573,8180
202201,공항철도,서울역,6785,6376,6785,6376
202201,공항철도,영종,2782,2848,2782,2848
202201,공항철도,운서,6376,6410,6376,6410
202201,공항철도,인천공항1터미널,3660,3729,3660,3729
202201,공항철도,인천공항2터미널,2291,2187,2291,2187
202201,공항철도,청라국제도시,6759,6225,6759,6225
202201,공항철도,홍대입구,9087,9319,9087,9319
202201,공항철도,검암,6577,6487,6577,6487
202201,공항철도,계양,10059,9177,10059,9177
202201,공항철도,공덕,2265,2913,2265,2913
202201,공항철도,공항화물청사,2269,2399,2269,2399
202201,공항철도,김포공항,13409,7120,13409,7120
202201,공항철도,디지털미디어시티,13673,12252,13673,12252
202201,공항철도,마곡나루,8398,7744,8398,7744
202201,공항철도,서울역,8082,7816,8082,7816
202201,공항철도,영종,2944,3016,2944,3016
202201,공항철도,운서,6445,6355,6445,6355
202201,공항철도,인천공항1터미널,3825,4093,3825,4093
202201,공항철도,인천공항2터미널,2280,2094,2280,2094
202201,공항철도,청라국제도시,6717,6424,6717,6424
202201,공항철도,홍대입구,10075,10175,10075,10175
202201,공항철도,검암,3989,4035,3989,4035
202201,공항철도,계양,6389,5921,6389,5921
202201,공항철도,공덕,1392,2190,1392,2190
202201,공항철도,공항화물청사,1226,1197,1226,1197
202201,공항철도,김포공항,10576,5713,10576,5713
202201,공항철도,디지털미디어시티,4574,4292,4574,4292
202201,공항철도,마곡나루,2867,3065,2867,3065
202201,공항철도,서울역,6410,6441,6410,6441
202201,공항철도,영종,2571,2531,2571,2531
202201,공항철도,운서,5404,5563,5404,5563
202201,공항철도,인천공항1터미널,3317,3437,3317,3437
202201,공항철도,인천공항2터미널,2010,1720,2010,1720
202201,공항철도,청라국제도시,3832,3851,3832,3851
202201,공항철도,홍대입구,11262,10856,11262,10856
202201,공항철도,검암,3127,3097,3127,3097
202201,공항철도,계양,4629,4557,4629,4557
202201,공항철도,공덕,1054,1565,1054,1565
202201,공항철도,공항화물청사,916,968,916,968
202201,공항철도,김포공항,10438,5715,10438,5715
202201,공항철도,디지털미디어시티,3022,3035,3022,3035
202201,공항철도,마곡나루,1903,2169,1903,2169
202201,공항철도,서울역,6686,5804,6686,5804
202201,공항철도,영종,2081,2008,2081,2008
202201,공항철도,운서,4511,4795,4511,4795
202201,공항철도,인천공항1터미널,3238,3235,3238,3235
202201,공항철도,인천공항2터미널,1772,1614,1772,1614
202201,공항철도,청라국제도시,2963,2777,2963,2777
202201,공항철도,홍대입구,9031,8378,9031,8378
202201,공항철도,검암,6479,6329,6479,6329
202201,공항철도,계양,9769,9390,9769,9390
202201,공항철도,공덕,2142,2776,2142,2776
202201,공항철도,공항화물청사,2211,2407,2211,2407
202201,공항철도,김포공항,11790,6943,11790,6943
202201,공항철도,디지털미디어시티,14161,12730,14161,12730
202201,공항철도,마곡나루,8755,8343,8755,8343
202201,공항철도,서울역,7054,6596,7054,6596
202201,공항철도,영종,2921,2883,2921,2883
202201,공항철도,운서,6476,6377,6476,6377
202201,공항철도,인천공항1터미널,3571,3847,3571,3847
202201,공항철도,인천공항2터미널,2206,1969,2206,1969
202201,공항철도,청라국제도시,6627,6147,6627,6147
202201,공항철도,홍대입구,9072,8905,9072,8905
202201,공항철도,검암,6289,6295,6289,6295
202201,공항철도,계양,10063,9562,10063,9562
202201,공항철도,공덕,2282,2960,2282,2960
202201,공항철도,공항화물청사,2308,2467,2308,2467
202201,공항철도,김포공항,10947,6380,10947,6380
202201,공항철도,디지털미디어시티,14412,13084,14412,13084
202201,공항철도,마곡나루,8702,8445,8702,8445
202201,공항철도,서울역,6951,6315,6951,6315
202201,공항철도,영종,2820,2758,2820,2758
202201,공항철도,운서,6250,6353,6250,6353
202201,공항철도,인천공항1터미널,3605,3887,3605,3887
202201,공항철도,인천공항2터미널,2157,2157,2157,2157
202201,공항철도,청라국제도시,6801,6487,6801,6487
202201,공항철도,홍대입구,9059,9226,9059,9226
202201,공항철도,검암,6449,6342,6449,6342
202201,공항철도,계양,9791,9245,9791,9245
202201,공항철도,공덕,2195,2892,2195,2892
202201,공항철도,공항화물청사,2216,2465,2216,2465
202201,공항철도,김포공항,10853,6399,10853,6399
202201,공항철도,디지털미디어시티,14330,12914,14330,12914
202201,공항철도,마곡나루,8508,8122,8508,8122
202201,공항철도,서울역,6969,6421,6969,6421
202201,공항철도,영종,2700,2781,2700,2781
202201,공항철도,운서,6225,6089,6225,6089
202201,공항철도,인천공항1터미널,3679,3974,3679,3974
202201,공항철도,인천공항2터미널,2130,2039,2130,2039
202201,공항철도,청라국제도시,6683,6309,6683,6309
202201,공항철도,홍대입구,9082,9139,9082,9139
202201,공항철도,검암,6461,6360,6461,6360
202201,공항철도,계양,9866,9374,9866,9374
202201,공항철도,공덕,2254,2862,2254,2862
202201,공항철도,공항화물청사,2279,2507,2279,2507
202201,공항철도,김포공항,10981,6242,10981,6242
202201,공항철도,디지털미디어시티,14236,12714,14236,12714
202201,공항철도,마곡나루,8656,8423,8656,8423
202201,공항철도,서울역,7144,6641,7144,6641
202201,공항철도,영종,2836,2765,2836,2765
202201,공항철도,운서,6140,6187,6140,6187
202201,공항철도,인천공항1터미널,3539,3718,3539,3718
202201,공항철도,인천공항2터미널,2282,2023,2282,2023
