사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20220101,분당선,복정,1,0,20220104
20220101,수인선,인천,1172,1569,20220104
20220101,수인선,신포,1010,992,20220104
20220101,수인선,숭의,1636,1500,20220104
20220101,수인선,인하대,2640,2546,20220104
20220101,수인선,송도,1354,1324,20220104
20220101,수인선,연수,2297,2372,20220104
20220101,수인선,원인재,2188,2402,20220104
20220101,수인선,남동인더스파크,441,362,20220104
20220101,수인선,호구포,1548,1489,20220104
20220101,수인선,인천논현,2600,2694,20220104
20220101,수인선,소래포구,3911,3837,20220104
20220101,수인선,월곶,1348,1284,20220104
20220101,수인선,달월,38,55,20220104
20220101,수인선,사리,2162,1974,20220104
20220101,수인선,야목,152,122,20220104
20220101,수인선,어천,427,416,20220104
20220101,수인선,오목천,1239,1112,20220104
20220101,수인선,고색,1544,1512,20220104
20220101,분당선,매교,1075,1049,20220104
20220101,분당선,수원시청,6412,6209,20220104
20220101,분당선,매탄권선,2034,2085,20220104
20220101,분당선,망포,5250,5034,20220104
20220101,분당선,영통,4036,3958,20220104
20220101,분당선,청명,1364,1469,20220104
20220101,분당선,상갈,2335,2371,20220104
20220101,분당선,기흥,3933,3873,20220104
20220101,분당선,신갈,1426,1522,20220104
20220101,분당선,구성,1805,1908,20220104
20220101,분당선,죽전,5099,5796,20220104
20220101,분당선,보정,833,801,20220104
20220101,분당선,이매,2019,2134,20220104
20220101,분당선,오리,4144,3475,20220104
20220101,분당선,미금,5774,6011,20220104
20220101,분당선,정자,5621,5722,20220104
20220101,분당선,수내,3887,3641,20220104
20220101,분당선,서현,11052,10765,20220104
20220101,분당선,야탑,9563,10027,20220104
20220101,분당선,모란,8977,9270,20220104
20220101,분당선,태평,6305,5972,20220104
20220101,분당선,가천대,2542,2988,20220104
20220101,분당선,선정릉,1210,1218,20220104
20220101,분당선,강남구청,2024,2355,20220104
20220101,분당선,압구정로데오,5891,6496,20220104
20220101,분당선,서울숲,3164,3292,20220104
20220101,분당선,수원,4789,4007,20220104
20220101,분당선,수서,5513,5557,20220104
20220101,분당선,대모산입구,1430,1409,20220104
20220101,분당선,개포동,1114,1121,20220104
20220101,분당선,구룡,468,542,20220104
20220101,분당선,도곡,1858,1799,20220104
20220101,분당선,한티,5769,5517,20220104
20220101,분당선,선릉,1980,2837,20220104
20220102,수인선,인천,940,1350,20220105
20220102,수인선,신포,1032,987,20220105
20220102,수인선,숭의,1781,1633,20220105
20220102,수인선,인하대,2630,2609,20220105
20220102,수인선,송도,1304,1315,20220105
20220102,수인선,연수,2541,2502,20220105
20220102,수인선,원인재,2575,2693,20220105
20220102,수인선,남동인더스파크,414,466,20220105
20220102,수인선,호구포,1681,1755,20220105
20220102,수인선,인천논현,2607,2802,20220105
20220102,수인선,소래포구,3674,3507,20220105
20220102,수인선,월곶,1497,1459,20220105
20220102,수인선,달월,33,36,20220105
20220102,수인선,사리,2336,1876,20220105
20220102,수인선,야목,173,144,20220105
20220102,수인선,어천,404,549,20220105
20220102,수인선,오목천,1263,1354,20220105
20220102,수인선,고색,1479,1583,20220105
20220102,분당선,매교,1181,1214,20220105
20220102,분당선,수원시청,6127,6320,20220105
20220102,분당선,매탄권선,2188,2179,20220105
20220102,분당선,망포,5471,6140,20220105
20220102,분당선,영통,4147,4351,20220105
20220102,분당선,청명,1723,1753,20220105
20220102,분당선,상갈,2507,2595,20220105
20220102,분당선,기흥,4334,4047,20220105
20220102,분당선,신갈,1669,1739,20220105
20220102,분당선,구성,2122,2214,20220105
20220102,분당선,죽전,7083,8152,20220105
20220102,분당선,보정,1000,965,20220105
20220102,분당선,이매,2819,2981,20220105
20220102,분당선,오리,4600,4018,20220105
20220102,분당선,미금,6679,7192,20220105
20220102,분당선,정자,6446,6937,20220105
20220102,분당선,수내,5245,5244,20220105
20220102,분당선,서현,13629,13575,20220105
20220102,분당선,야탑,12108,11987,20220105
