사용일자,노선명,역명,승차총승객수,하차총승객수,총 승차인원,총 하차인원
20220528,신림선,보라매공원,2444,2750,2444,2750
20220528,신림선,보라매병원,3958,3648,3958,3648
20220528,신림선,당곡,3493,2893,3493,2893
20220528,신림선,신림,2310,2526,2310,2526
20220528,신림선,서원,2860,2382,2860,2382
20220528,신림선,서울대벤처타운,7104,6246,7104,6246
20220528,신림선,관악산(서울대),8226,8205,8226,8205
20220528,신림선,샛강,4002,5457,4002,5457
20220528,신림선,대방,2044,1370,2044,1370
20220528,신림선,서울지방병무청,2327,2284,2327,2284
20220528,신림선,보라매,3069,2427,3069,2427
20220529,신림선,관악산(서울대),7027,7136,7027,7136
20220529,신림선,서울대벤처타운,5322,4939,5322,4939
20220529,신림선,서원,2234,1984,2234,1984
20220529,신림선,신림,1850,2160,1850,2160
20220529,신림선,당곡,2695,2417,2695,2417
20220529,신림선,보라매병원,2770,2787,2770,2787
20220529,신림선,보라매공원,1808,2097,1808,2097
20220529,신림선,보라매,2126,1806,2126,1806
20220529,신림선,서울지방병무청,1916,1846,1916,1846
20220529,신림선,대방,1419,1087,1419,1087
20220529,신림선,샛강,2691,3962,2691,3962
20220530,신림선,샛강,2382,3083,2382,3083
20220530,신림선,대방,1662,1087,1662,1087
20220530,신림선,서울지방병무청,2053,2308,2053,2308
20220530,신림선,보라매,2640,2193,2640,2193
20220530,신림선,보라매공원,1582,1877,1582,1877
20220530,신림선,보라매병원,5586,4893,5586,4893
20220530,신림선,당곡,2914,2963,2914,2963
20220530,신림선,신림,1724,1980,1724,1980
20220530,신림선,서원,2343,2358,2343,2358
20220530,신림선,서울대벤처타운,5503,5970,5503,5970
20220530,신림선,관악산(서울대),3908,3842,3908,3842
20220531,신림선,관악산(서울대),4590,4378,4590,4378
20220531,신림선,서울대벤처타운,6361,6263,6361,6263
20220531,신림선,서원,2571,2371,2571,2371
20220531,신림선,신림,1960,2432,1960,2432
20220531,신림선,당곡,3387,3113,3387,3113
20220531,신림선,보라매병원,5879,5643,5879,5643
20220531,신림선,보라매공원,1864,2100,1864,2100
20220531,신림선,보라매,2742,2278,2742,2278
20220531,신림선,서울지방병무청,2104,2273,2104,2273
20220531,신림선,대방,1779,1155,1779,1155
20220531,신림선,샛강,2654,3540,2654,3540
20220601,신림선,샛강,2155,3375,2155,3375
20220601,신림선,대방,1567,1071,1567,1071
20220601,신림선,서울지방병무청,1779,1862,1779,1862
20220601,신림선,보라매,2119,1839,2119,1839
20220601,신림선,보라매공원,1859,1992,1859,1992
20220601,신림선,보라매병원,2782,2766,2782,2766
20220601,신림선,당곡,2836,2451,2836,2451
20220601,신림선,신림,1912,2260,1912,2260
20220601,신림선,서원,2173,1899,2173,1899
20220601,신림선,서울대벤처타운,5416,4915,5416,4915
20220601,신림선,관악산(서울대),6328,6858,6328,6858
20220602,신림선,샛강,2227,2801,2227,2801
20220602,신림선,대방,1569,1108,1569,1108
20220602,신림선,서울지방병무청,1971,2095,1971,2095
20220602,신림선,보라매,2500,2172,2500,2172
20220602,신림선,보라매공원,1588,1830,1588,1830
20220602,신림선,보라매병원,5604,5470,5604,5470
20220602,신림선,당곡,3027,2879,3027,2879
20220602,신림선,신림,1710,2112,1710,2112
20220602,신림선,서원,2310,2190,2310,2190
20220602,신림선,서울대벤처타운,5566,5764,5566,5764
20220602,신림선,관악산(서울대),3503,3520,3503,3520
20220603,신림선,관악산(서울대),3390,3294,3390,3294
20220603,신림선,서울대벤처타운,6006,6088,6006,6088
20220603,신림선,서원,2561,2181,2561,2181
20220603,신림선,당곡,3315,3033,3315,3033
20220603,신림선,보라매병원,5395,5269,5395,5269
20220603,신림선,보라매공원,1726,1926,1726,1926
20220603,신림선,보라매,2661,2303,2661,2303
20220603,신림선,서울지방병무청,2084,2193,2084,2193
20220603,신림선,대방,1740,1176,1740,1176
20220603,신림선,샛강,2339,3127,2339,3127
20220603,신림선,신림,1835,2293,1835,2293
20220604,신림선,샛강,1677,2397,1677,2397
20220604,신림선,대방,1689,1151,1689,1151
20220604,신림선,서울지방병무청,1639,1664,1639,1664
20220604,신림선,보라매,2146,1738,2146,1738
20220604,신림선,보라매공원,1464,1588,1464,1588
20220604,신림선,보라매병원,2788,2628,2788,2628
20220604,신림선,당곡,2826,2400,2826,2400
20220604,신림선,신림,1783,2017,1783,2017
20220604,신림선,서원,2151,1811,2151,1811
20220604,신림선,서울대벤처타운,5677,4972,5677,4972
20220604,신림선,관악산(서울대),4870,5056,4870,5056
20220605,신림선,관악산(서울대),4622,4982,4622,4982
20220605,신림선,서울대벤처타운,4615,4207,4615,4207
20220605,신림선,서원,1889,1620,1889,1620
20220605,신림선,신림,1424,1754,1424,1754
20220605,신림선,당곡,2297,1941,2297,1941
20220605,신림선,보라매병원,1960,1953,1960,1953
20220605,신림선,보라매공원,1182,1349,1182,1349
20220605,신림선,보라매,1674,1476,1674,1476
