사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20220101,우이신설선,신설동,791,844,20220104
20220101,우이신설선,보문,741,656,20220104
20220101,우이신설선,성신여대입구,1771,2160,20220104
20220101,우이신설선,정릉,1969,1772,20220104
20220101,우이신설선,북한산보국문,2808,2504,20220104
20220101,우이신설선,솔샘,2149,2052,20220104
20220101,우이신설선,삼양사거리,1183,1215,20220104
20220101,우이신설선,삼양,934,985,20220104
20220101,우이신설선,화계,1597,1464,20220104
20220101,우이신설선,가오리,1814,1754,20220104
20220101,우이신설선,4.19민주묘지,1374,1227,20220104
20220101,우이신설선,솔밭공원,1073,1012,20220104
20220101,우이신설선,북한산우이,2603,2554,20220104
20220102,우이신설선,신설동,1028,957,20220105
20220102,우이신설선,보문,810,823,20220105
20220102,우이신설선,성신여대입구,2015,2262,20220105
20220102,우이신설선,정릉,2259,2013,20220105
20220102,우이신설선,북한산보국문,3071,2933,20220105
20220102,우이신설선,솔샘,2444,2286,20220105
20220102,우이신설선,삼양사거리,1294,1316,20220105
20220102,우이신설선,삼양,1053,1049,20220105
20220102,우이신설선,화계,1813,1727,20220105
20220102,우이신설선,가오리,2048,1952,20220105
20220102,우이신설선,4.19민주묘지,1617,1422,20220105
20220102,우이신설선,솔밭공원,1250,1206,20220105
20220102,우이신설선,북한산우이,2398,2469,20220105
20220103,우이신설선,북한산우이,2818,2548,20220106
20220103,우이신설선,솔밭공원,2263,2193,20220106
20220103,우이신설선,신설동,2014,1912,20220106
20220103,우이신설선,보문,1321,1372,20220106
20220103,우이신설선,성신여대입구,2895,3279,20220106
20220103,우이신설선,4.19민주묘지,2424,2346,20220106
20220103,우이신설선,가오리,3742,3798,20220106
20220103,우이신설선,화계,3133,2927,20220106
20220103,우이신설선,삼양사거리,2324,2370,20220106
20220103,우이신설선,정릉,4222,4004,20220106
20220103,우이신설선,북한산보국문,5377,5290,20220106
20220103,우이신설선,솔샘,5484,5208,20220106
20220103,우이신설선,삼양,1901,2053,20220106
