사용일자,노선명,역명,승차총승객수,하차총승객수,총 승차인원,총 하차인원
20220101,우이신설선,신설동,791,844,791,844
20220101,우이신설선,보문,741,656,741,656
20220101,우이신설선,성신여대입구(돈암),1771,2160,1771,2160
20220101,우이신설선,정릉,1969,1772,1969,1772
20220101,우이신설선,북한산보국문,2808,2504,2808,2504
20220101,우이신설선,솔샘,2149,2052,2149,2052
20220101,우이신설선,삼양사거리,1183,1215,1183,1215
20220101,우이신설선,삼양,934,985,934,985
20220101,우이신설선,화계,1597,1464,1597,1464
20220101,우이신설선,가오리,1814,1754,1814,1754
20220101,우이신설선,4.19민주묘지,1374,1227,1374,1227
20220101,우이신설선,솔밭공원,1073,1012,1073,1012
20220101,우이신설선,북한산우이,2603,2554,2603,2554
20220102,우이신설선,신설동,1028,957,1028,957
20220102,우이신설선,보문,810,823,810,823
20220102,우이신설선,성신여대입구(돈암),2015,2262,2015,2262
20220102,우이신설선,정릉,2259,2013,2259,2013
20220102,우이신설선,북한산보국문,3071,2933,3071,2933
20220102,우이신설선,솔샘,2444,2286,2444,2286
20220102,우이신설선,삼양사거리,1294,1316,1294,1316
20220102,우이신설선,삼양,1053,1049,1053,1049
20220102,우이신설선,화계,1813,1727,1813,1727
20220102,우이신설선,가오리,2048,1952,2048,1952
20220102,우이신설선,4.19민주묘지,1617,1422,1617,1422
20220102,우이신설선,솔밭공원,1250,1206,1250,1206
20220102,우이신설선,북한산우이,2398,2469,2398,2469
20220103,우이신설선,북한산우이,2818,2548,2818,2548
20220103,우이신설선,솔밭공원,2263,2193,2263,2193
20220103,우이신설선,신설동,2014,1912,2014,1912
20220103,우이신설선,보문,1321,1372,1321,1372
20220103,우이신설선,성신여대입구(돈암),2895,3279,2895,3279
20220103,우이신설선,4.19민주묘지,2424,2346,2424,2346
20220103,우이신설선,가오리,3742,3798,3742,3798
20220103,우이신설선,화계,3133,2927,3133,2927
20220103,우이신설선,삼양사거리,2324,2370,2324,2370
20220103,우이신설선,정릉,4222,4004,4222,4004
20220103,우이신설선,북한산보국문,5377,5290,5377,5290
20220103,우이신설선,솔샘,5484,5208,5484,5208
20220103,우이신설선,삼양,1901,2053,1901,2053
20220104,우이신설선,가오리,3902,3896,3902,3896
20220104,우이신설선,북한산우이,2405,2143,2405,2143
20220104,우이신설선,솔밭공원,2405,2302,2405,2302
20220104,우이신설선,4.19민주묘지,2626,2480,2626,2480
20220104,우이신설선,화계,3182,2960,3182,2960
20220104,우이신설선,삼양,1914,2051,1914,2051
20220104,우이신설선,삼양사거리,2316,2317,2316,2317
20220104,우이신설선,솔샘,5655,5448,5655,5448
20220104,우이신설선,북한산보국문,5576,5514,5576,5514
20220104,우이신설선,정릉,4341,4097,4341,4097
20220104,우이신설선,성신여대입구(돈암),3128,3396,3128,3396
20220104,우이신설선,보문,1370,1393,1370,1393
20220104,우이신설선,신설동,1995,1907,1995,1907
20220105,우이신설선,성신여대입구(돈암),3095,3449,3095,3449
20220105,우이신설선,보문,1410,1446,1410,1446
20220105,우이신설선,신설동,2083,1962,2083,1962
20220105,우이신설선,북한산우이,2549,2315,2549,2315
20220105,우이신설선,솔밭공원,2372,2252,2372,2252
20220105,우이신설선,4.19민주묘지,2581,2487,2581,2487
20220105,우이신설선,가오리,3966,3916,3966,3916
20220105,우이신설선,화계,3180,2968,3180,2968
20220105,우이신설선,삼양,1986,2092,1986,2092
20220105,우이신설선,삼양사거리,2358,2377,2358,2377
20220105,우이신설선,솔샘,5701,5375,5701,5375
20220105,우이신설선,북한산보국문,5715,5546,5715,5546
20220105,우이신설선,정릉,4422,4173,4422,4173
20220106,우이신설선,신설동,2091,1971,2091,1971
20220106,우이신설선,보문,1420,1428,1420,1428
20220106,우이신설선,성신여대입구(돈암),3111,3413,3111,3413
20220106,우이신설선,정릉,4483,4147,4483,4147
20220106,우이신설선,북한산보국문,5683,5511,5683,5511
20220106,우이신설선,솔샘,5708,5384,5708,5384
20220106,우이신설선,삼양사거리,2362,2375,2362,2375
20220106,우이신설선,삼양,1926,2106,1926,2106
20220106,우이신설선,화계,3276,3054,3276,3054
20220106,우이신설선,가오리,3905,3964,3905,3964
20220106,우이신설선,4.19민주묘지,2623,2531,2623,2531
20220106,우이신설선,솔밭공원,2451,2301,2451,2301
