사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,1호선,동대문,6486,6390,12876
202201,1호선,동묘앞,7240,7366,14606
202201,1호선,서울,18398,16926,35324
202201,1호선,시청,5604,5006,10610
202201,1호선,신설동,4939,4733,9672
202201,1호선,제기동,7244,7259,14503
202201,1호선,종각,9977,8864,18841
202201,1호선,종로3가,11017,9630,20647
202201,1호선,종로5가,7975,7922,15897
202201,1호선,청량리,9400,9553,18953
202201,2호선,강남,26200,24977,51177
202201,2호선,강변,14225,13711,27936
202201,2호선,건대입구,21954,23039,44993
202201,2호선,교대,6678,7333,14011
202201,2호선,구로디지털단지,18363,18352,36715
202201,2호선,구의,8872,8862,17734
202201,2호선,낙성대,11148,10973,22121
202201,2호선,당산,6288,7044,13332
202201,2호선,대림,10717,11703,22420
202201,2호선,도림천,332,348,680
202201,2호선,동대문역사문화공원,5620,6213,11833
202201,2호선,뚝섬,6067,5964,12031
202201,2호선,문래,5480,5672,11152
202201,2호선,방배,4297,4484,8781
202201,2호선,봉천,9207,8941,18148
202201,2호선,사당,15292,16173,31465
202201,2호선,삼성,15003,13937,28940
202201,2호선,상왕십리,5212,5043,10255
202201,2호선,서울대입구,20142,20315,40457
202201,2호선,서초,4010,3348,7358
202201,2호선,선릉,9197,7746,16943
202201,2호선,성수,9220,10042,19262
202201,2호선,시청,4137,2961,7098
202201,2호선,신답,512,551,1063
202201,2호선,신당,6015,6529,12544
202201,2호선,신대방,11652,11727,23379
202201,2호선,신도림,18150,18655,36805
202201,2호선,신림,29564,29162,58726
202201,2호선,신설동,1801,1806,3607
202201,2호선,신정네거리,3834,4073,7907
202201,2호선,신촌,15120,14485,29605
202201,2호선,아현,3624,3682,7306
202201,2호선,양천구청,2299,2518,4817
202201,2호선,역삼,8239,8524,16763
202201,2호선,영등포구청,5631,5554,11185
202201,2호선,왕십리,6953,6214,13167
202201,2호선,용답,1334,1385,2719
202201,2호선,용두,889,882,1771
