사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
202304,6호선,고려대,57469,48779,101708,90400,56435,61276,3786,831,35477,47935,198440,187945
202304,6호선,공덕,62371,150007,170211,178571,177450,102169,4700,2285,89553,63990,326835,394853
202304,6호선,광흥창,56471,55505,98537,88140,65406,58149,3129,1310,27428,39260,185565,184215
202304,6호선,구산,81705,16732,93125,52738,26096,56616,5707,145,14657,35601,195194,105216
202304,6호선,녹사평,15282,30408,49147,60238,44346,37073,1066,512,38940,19543,104435,110701
202304,6호선,대흥,44964,58284,103586,113343,65936,61191,2432,924,43362,37604,194344,210155
202304,6호선,독바위,32563,5806,30978,23814,7655,29004,2344,171,2998,21936,68883,51727
202304,6호선,돌곶이,98485,28276,110993,85327,40227,82482,6445,1900,21572,56748,237495,172251
202304,6호선,동묘앞,30466,36407,113535,119968,58901,47348,4809,917,26620,38585,175430,195877
202304,6호선,디지털미디어시티,123468,110701,132506,120943,104074,116416,6250,2775,30962,79305,293186,313724
202304,6호선,마포구청,112440,56686,160788,116469,81042,102595,7096,2044,38585,75085,318909,250284
202304,6호선,망원,75920,46901,158260,202748,100954,125237,5306,946,75914,62988,315400,313583
202304,6호선,버티고개,15184,8992,24918,20832,12601,16630,712,339,5870,12826,46684,42989
202304,6호선,보문,64853,34154,88708,63172,40536,58015,3751,868,22770,47821,180082,146015
202304,6호선,봉화산,105361,21725,92938,63465,27784,81971,5244,904,12480,58845,216023,144939
202304,6호선,불광,30342,13130,56038,48916,26308,38443,1492,482,12597,23050,100469,85578
202304,6호선,삼각지,26183,49508,79805,68771,66083,36654,1576,755,34826,26326,142390,145360
202304,6호선,상수,30980,35998,88864,160708,79026,85980,5435,1062,85946,50828,211225,248596
202304,6호선,상월곡,63117,20007,76722,61698,27311,50717,5241,560,13071,38224,158151,120489
202304,6호선,새절,138374,28808,150322,102068,45031,120230,10881,568,20724,84573,320301,216017
202304,6호선,석계,124751,31090,141119,109505,44998,128606,9600,1620,27913,86784,303383,228999
202304,6호선,신내,0,0,8,0,4,0,0,0,0,0,8,0
202304,6호선,신당,24616,61566,85711,90881,64123,53158,5885,1222,57219,38815,173431,192484
202304,6호선,안암,26350,81532,146200,192660,110859,61011,1929,1576,81092,49617,255571,325385
202304,6호선,약수,14552,24627,39899,41092,29543,23671,1316,297,17494,12216,73261,78232
202304,6호선,역촌,39331,12918,43434,36193,13145,43153,2116,372,6084,29495,90965,78978
202304,6호선,연신내,1,0,11,0,6,0,0,0,4,0,16,0
202304,6호선,월곡,103844,41658,142587,121040,64396,101882,6791,894,29547,70063,282769,233655
202304,6호선,월드컵경기장,20925,17336,71795,103980,49641,31327,761,1077,16744,14769,110225,137162
202304,6호선,응암,188904,33940,205064,139905,61155,187011,11409,1271,32691,128341,438068,303457
202304,6호선,이태원,31132,50323,110537,142220,95536,93561,6847,1372,94674,69608,243190,263523
202304,6호선,증산,105524,19760,119232,84303,34484,103264,7713,583,17163,71917,249632,176563
202304,6호선,창신,37407,15300,40626,28126,13721,24803,2631,353,7892,19627,88556,63406
202304,6호선,청구,20643,32744,37993,37849,29023,19596,1879,508,15627,13673,76142,84774
202304,6호선,태릉입구,47223,18302,64504,59079,24883,58498,4167,715,14932,42324,130826,120420
202304,6호선,한강진,10470,73159,82042,184430,114156,61435,720,850,74947,15321,168179,273760
202304,6호선,합정,41642,67729,127085,161337,116361,105221,3926,1335,109380,52726,282033,283127
202304,6호선,화랑대,140333,30557,139263,81959,45145,89881,6380,983,16146,66708,302122,180207
202304,6호선,효창공원앞,50269,38477,84493,75358,50558,48632,2488,533,21214,32776,158464,147144
202303,6호선,고려대,60755,51881,105820,96188,62715,69358,3919,860,37944,50610,208438,199539
202303,6호선,공덕,65730,162562,173111,185650,191428,108225,4743,2344,95499,64802,339083,415358
202303,6호선,광흥창,60117,59357,103631,90844,70390,62905,3141,1367,28528,41618,195417,193186
202303,6호선,구산,88768,18088,97731,55321,27093,60386,5892,163,15628,38104,208019,111676
202303,6호선,녹사평,16170,32802,50437,60244,46777,37295,1094,545,37232,19710,104933,113301
202303,6호선,대흥,47084,65576,110147,120530,71785,65787,2519,866,45976,39801,205726,226773
202303,6호선,독바위,34878,5634,31087,25701,8019,30711,2451,192,3033,22983,71449,54510
202303,6호선,돌곶이,104241,29768,113478,88478,43955,87959,6515,2133,22355,59786,246589,180165
202303,6호선,동묘앞,32519,39006,117277,125622,63184,49948,5354,1045,28350,39953,183500,205626
202303,6호선,디지털미디어시티,132883,120588,136351,122557,112258,124765,6516,2685,37388,83397,313138,329227
202303,6호선,마포구청,119751,59825,164318,118985,84887,110039,7345,2163,41963,78447,333377,259420
202303,6호선,망원,81232,49870,160833,205933,106859,131339,5511,982,76956,65419,324532,322204
202303,6호선,버티고개,16289,9593,26055,21839,13954,18344,790,324,6060,13451,49194,45207
202303,6호선,보문,68982,36467,91397,64858,44286,61399,3741,845,24569,50261,188689,152431
202303,6호선,봉화산,112902,23057,99008,67070,30928,89102,5329,1001,13181,62840,230420,153968
202303,6호선,불광,31720,13766,57932,49747,27670,39944,1548,525,13677,24406,104877,88444
202303,6호선,삼각지,27436,51975,79458,68948,70390,39365,1608,808,36237,27796,144739,149527
202303,6호선,상수,32211,37710,89237,167222,83496,91748,4937,1060,89718,50932,216103,256924
202303,6호선,상월곡,68023,21241,78898,64025,29627,54592,5104,627,13643,40341,165668,126234
202303,6호선,새절,148485,29294,155182,103833,46947,128046,11008,644,20332,89247,335007,223018
202303,6호선,석계,133730,32715,147357,116090,49001,139345,9855,1814,30480,92238,321422,242857
202303,6호선,신내,1,0,3,0,5,0,0,0,0,0,4,0
202303,6호선,신당,26000,65122,84813,91401,65507,50301,6496,1185,53721,39685,171030,197393
202303,6호선,안암,28198,96432,160764,220080,130266,74386,3011,1536,99844,54317,291817,372365
202303,6호선,약수,15278,26334,40331,41952,30781,24632,1303,261,18565,12526,75477,81073
202303,6호선,역촌,42044,13255,44309,37528,13859,45724,2215,331,6303,30940,94871,82054
202303,6호선,연신내,5,0,13,0,3,0,0,0,2,0,20,0
202303,6호선,월곡,111640,45576,156296,132587,72117,111647,6815,912,32483,75580,307234,254655
202303,6호선,월드컵경기장,22126,16708,68138,88435,33651,63000,679,1130,35101,15944,126044,122217
202303,6호선,응암,202841,35437,212215,140776,62940,197563,12108,1382,30912,136277,458076,313872
202303,6호선,이태원,31385,52315,109879,144025,101550,90954,5498,1480,90001,62289,236763,260109
202303,6호선,증산,113241,20558,124350,86756,36687,111361,8051,540,17530,76142,263172,183996
202303,6호선,창신,40060,17273,42017,29785,15264,26758,2724,345,7763,20784,92564,68187
202303,6호선,청구,21833,34997,39049,39638,31361,20798,1822,566,16581,14012,79285,89213
202303,6호선,태릉입구,50794,19236,67609,61507,27135,63649,4317,761,15593,45830,138313,127334
202303,6호선,한강진,11003,78200,82781,189748,119824,61247,781,905,76943,15886,171508,284739
202303,6호선,합정,44672,71746,130148,163560,123545,114888,3878,1435,114092,55443,292790,292184
202303,6호선,화랑대,151520,33488,143667,84461,52041,96995,6437,1011,16254,72222,317878,191182
202303,6호선,효창공원앞,53622,41349,86649,81984,55703,51213,2485,553,21343,34727,164099,158613
202302,6호선,고려대,51862,36717,84771,71319,47965,53122,3219,753,20737,42564,160589,151353
202302,6호선,공덕,53779,142414,153873,170143,173647,96524,4109,2093,87229,55194,298990,369844
202302,6호선,광흥창,48156,51251,91685,82246,63721,54024,2611,1280,25609,36409,168061,171186
202302,6호선,구산,74826,11665,84149,50280,23416,53539,5236,183,12882,33819,177093,95947
202302,6호선,녹사평,12356,26379,41056,54392,40258,30196,818,425,30760,16061,84990,97257
202302,6호선,대흥,38738,41848,84057,90171,54867,54031,2092,756,31417,33197,156304,165972
202302,6호선,독바위,28831,4418,28846,21588,7207,27364,2021,161,2655,20134,62353,46301
202302,6호선,돌곶이,87977,24424,98770,72104,35914,77481,5693,1557,16860,52125,209300,150210
202302,6호선,동묘앞,25814,31404,101806,108929,56033,42860,4534,911,23397,34495,155551,175739
202302,6호선,디지털미디어시티,108572,106472,120380,109546,100168,108741,5620,2221,27861,73726,262433,291965
202302,6호선,마포구청,98855,52442,146226,107115,76631,95353,6212,1814,35542,69402,286835,230773
202302,6호선,망원,66357,43533,144244,187580,98450,117966,4863,941,70954,55982,286418,288036
202302,6호선,버티고개,13555,7823,21847,19228,12449,15892,631,278,5392,11581,41425,38910
202302,6호선,보문,58513,26211,77339,54370,37117,54025,3429,748,19614,43062,158895,124391
202302,6호선,봉화산,95308,19984,86533,58158,27641,76804,4457,815,11628,55231,197926,134188
202302,6호선,불광,26943,10528,51625,43317,24398,34456,1282,419,11825,21333,91675,75597
202302,6호선,삼각지,21941,45851,68568,62952,62923,33749,1365,664,29671,22841,121545,132308
202302,6호선,상수,27821,30141,73026,130289,67084,81665,4275,881,77204,44250,182326,205561
202302,6호선,상월곡,56256,16524,64271,42412,23456,48098,4292,599,11894,34820,136713,94355
202302,6호선,새절,127222,21153,131407,83151,38218,112273,9661,542,16936,78751,285226,183597
202302,6호선,석계,113849,22118,125876,90984,38739,121374,8402,1603,24095,80002,272222,194707
202302,6호선,신내,0,0,1,0,1,0,0,0,0,0,1,0
202302,6호선,신당,21080,50436,72245,84163,59240,47810,5962,999,49959,33885,149246,169483
202302,6호선,안암,22797,55035,112685,133811,82033,51502,1470,1312,51148,38212,188100,228370
202302,6호선,약수,12247,22562,34754,39150,27342,21561,1114,208,15912,10475,64027,72395
202302,6호선,역촌,35742,11430,39348,32775,12500,40115,1853,270,5887,26937,82830,71412
202302,6호선,연신내,2,0,5,0,13,0,0,0,5,0,12,0
202302,6호선,월곡,91802,33419,117109,92534,53513,93545,6004,791,23135,64060,238050,190804
202302,6호선,월드컵경기장,18348,14067,50801,65378,36394,26822,634,976,13204,13656,82987,94077
202302,6호선,응암,172447,29297,188310,121932,55009,173771,10122,1265,27197,120084,398076,272578
202302,6호선,이태원,25020,39324,88526,121234,84471,72714,4263,1289,73411,47784,191220,209631
202302,6호선,증산,95457,16607,109113,70884,31532,96175,6988,506,14308,66786,225866,154783
202302,6호선,창신,32974,8958,34347,21045,10742,21764,2338,273,5385,17563,75044,47839
202302,6호선,청구,17929,29985,34810,35794,27869,17616,1548,428,14268,11912,68555,78119
202302,6호선,태릉입구,42362,13290,57842,47703,22861,55228,4036,681,13676,39039,117916,100713
202302,6호선,한강진,8855,64140,67329,163680,103679,56277,610,607,76744,11829,153538,240256
