사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
202304,9호선2~3단계,둔촌오륜,8523,7798,14873,8560,4756,8266,361,333,2133,6002,25890,22693
202304,9호선2~3단계,봉은사,25235,165449,173110,303425,233970,73061,1787,1880,102187,28697,302319,499451
202304,9호선2~3단계,삼성중앙,17149,65654,60905,88806,86928,32703,795,630,31846,18613,110695,173703
202304,9호선2~3단계,삼전,62401,18724,83820,54593,32716,65008,4657,473,16997,48982,167875,122772
202304,9호선2~3단계,석촌,66100,20890,109753,86929,49417,78127,3393,390,36591,52610,215837,160819
202304,9호선2~3단계,석촌고분,53783,23836,78878,58256,36358,57240,2777,457,17289,42642,152727,125191
202304,9호선2~3단계,선정릉,22567,89113,75871,134305,116564,39533,908,1113,44654,27026,144000,251557
202304,9호선2~3단계,송파나루,35103,19003,58323,60420,31285,53988,2059,321,25481,27398,120966,107142
202304,9호선2~3단계,언주,19822,95477,95975,134501,122975,36737,1204,1537,41345,24510,158346,256025
202304,9호선2~3단계,올림픽공원,44525,30025,84690,107975,60356,62016,1846,747,51497,40707,182558,179454
202304,9호선2~3단계,종합운동장,25145,20001,49961,52601,34097,40025,1304,210,28920,23229,105330,96041
202304,9호선2~3단계,중앙보훈병원,108917,41722,133164,88177,41364,81227,3473,637,12553,57451,258107,187987
202304,9호선2~3단계,한성백제,20651,10345,33749,28217,18652,19728,1123,223,8032,13717,63555,52502
202303,9호선2~3단계,둔촌오륜,9164,9125,15186,9001,5706,8693,432,297,2161,6347,26943,24770
202303,9호선2~3단계,봉은사,27146,178651,177047,306992,243423,72909,1889,1907,105356,28942,311438,516492
202303,9호선2~3단계,삼성중앙,17983,70114,62419,92751,92608,34388,877,667,33221,18686,114500,182218
202303,9호선2~3단계,삼전,66927,20065,87895,57957,35225,70336,4871,431,18472,51510,178165,129963
202303,9호선2~3단계,석촌,70677,21630,110582,82774,49792,82944,3130,434,36863,55100,221252,159938
