사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
202304,수인선,고색,39590,43485,38814,31832,42528,33042,3315,275,12461,24548,94180,100140
202304,수인선,남동인더스파크,4278,39744,14703,12593,27478,5807,397,675,6559,3495,25937,56507
202304,수인선,달월,398,687,1061,919,1295,287,8,42,144,227,1611,1875
202304,수인선,사리,62701,10804,57943,32790,17748,49106,4542,348,7709,34076,132895,78018
202304,수인선,소래포구,40215,13719,73777,81543,27076,38069,2652,525,13757,23561,130401,119348
202304,수인선,송도,24632,8308,31460,23435,10941,21945,2052,355,4638,12012,62782,44110
202304,수인선,숭의,33241,24678,45804,34710,23442,29096,3227,859,8158,17362,90430,77609
202304,수인선,신포,8407,14162,21552,22468,15753,11636,1286,232,6392,5591,37637,42453
202304,수인선,야목,3060,1885,4750,3117,2576,2395,236,125,523,1400,8569,6527
202304,수인선,어천,6426,7250,15264,11143,8236,7959,174,100,2005,4866,23869,23359
202304,수인선,연수,38406,18996,52619,51254,26767,42080,2525,810,17395,22163,110945,93223
202304,수인선,오목천,33669,21276,56830,42911,28156,29049,830,393,9259,18990,100588,83570
202304,수인선,원인재,39190,16068,53003,44057,21782,43104,3556,667,12775,28977,108524,89769
202304,수인선,월곶,27513,6456,31975,28603,13046,23951,1502,289,6097,14402,67087,49750
202304,수인선,인천,5130,8464,16029,29104,7943,10899,709,188,3276,6342,25144,44098
202304,수인선,인천논현,38993,26572,59886,60737,31831,49944,2849,656,20127,26083,121855,114048
202304,수인선,인하대,53125,30078,81521,81884,41381,54685,3923,707,24850,30932,163419,143601
202304,수인선,호구포,20402,46978,36769,28277,38804,22241,1995,855,13209,15339,72375,91449
202303,수인선,고색,42798,46812,39170,32953,47090,35287,3462,315,13136,25918,98566,105998
202303,수인선,남동인더스파크,4625,43224,15467,12857,29611,6034,419,704,6998,3146,27509,59931
202303,수인선,달월,369,597,986,919,1276,263,21,29,143,189,1519,1734
202303,수인선,사리,66481,10810,59432,33110,19197,52892,4655,407,7992,36390,138560,80717
202303,수인선,소래포구,43486,13756,71966,78110,26618,39856,2703,525,13453,24128,131608,116519
202303,수인선,송도,26011,8475,32787,24636,11603,23299,2192,390,4620,12702,65610,46203
202303,수인선,숭의,35722,25926,47587,36884,25259,30512,3506,936,7955,18078,94770,81824
202303,수인선,신포,8939,15327,22547,23457,16008,12487,1254,228,6593,5686,39333,44698
202303,수인선,야목,3391,1803,4499,3267,2547,2443,251,121,558,1434,8699,6625
202303,수인선,어천,6674,8773,15741,10809,8803,8098,181,85,2037,4767,24633,24434
