사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
202304,우이신설선,4.19민주묘지,22648,16602,52528,52966,23150,22042,1547,289,7979,15882,84702,85739
202304,우이신설선,가오리,42383,10422,55338,41527,14355,36717,2776,279,6068,26364,106565,78592
202304,우이신설선,보문,7447,9884,21332,18977,9288,9900,478,149,5782,6676,35039,35686
202304,우이신설선,북한산보국문,53634,19584,85850,57952,30838,52958,2364,600,14384,42019,156232,120155
202304,우이신설선,북한산우이,22984,11945,46607,51302,16151,16480,2037,469,5637,12069,77265,75785
202304,우이신설선,삼양,17580,5897,27332,23223,7597,16704,1152,379,3064,11493,49128,40992
202304,우이신설선,삼양사거리,20320,7700,34251,28386,10220,20062,1317,304,4787,11945,60675,48335
202304,우이신설선,성신여대입구,12415,15889,38500,50156,22592,29010,771,414,22407,14031,74093,80490
202304,우이신설선,솔밭공원,27002,5708,33446,24762,8016,21042,2099,228,3342,15965,65889,46663
202304,우이신설선,솔샘,70474,10263,70671,40367,14270,58441,3169,338,6502,42703,150816,93671
202304,우이신설선,신설동,5152,20616,23412,29319,21677,5767,869,762,9359,4101,38792,54798
202304,우이신설선,정릉,37402,12564,66547,44429,21389,38645,2029,512,9887,25808,115865,83313
202304,우이신설선,화계,32676,9375,47727,36190,12016,27029,1965,610,4910,19180,87278,65355
202303,우이신설선,4.19민주묘지,24158,18468,56777,56316,26247,23544,1516,288,7816,17163,90267,92235
202303,우이신설선,가오리,44926,10645,58595,43170,15256,39556,2700,320,6247,27909,112468,82044
202303,우이신설선,보문,7936,10332,22101,19370,10351,10710,553,134,5946,6951,36536,36787
202303,우이신설선,북한산보국문,56738,21118,90715,61134,35116,58168,2542,569,14508,45484,164503,128305
202303,우이신설선,북한산우이,24700,11701,48426,51493,15319,18059,1582,494,5129,13017,79837,76705
202303,우이신설선,삼양,18481,6119,28919,24356,7958,17768,1142,464,3208,11991,51750,42930
202303,우이신설선,삼양사거리,21846,7831,36047,30264,10662,21135,1378,361,5132,12569,64403,51025
202303,우이신설선,성신여대입구,12846,17171,41893,53945,25279,32865,730,418,25006,14593,80475,86127
202303,우이신설선,솔밭공원,28523,5909,35548,26319,8403,22552,2118,229,3478,16876,69667,49333
202303,우이신설선,솔샘,75744,10583,74265,41619,15643,63740,3284,256,6523,45598,159816,98056
202303,우이신설선,신설동,5313,21695,25154,31706,23674,6205,947,828,10345,4208,41759,58437
202303,우이신설선,정릉,39589,13254,69791,46208,23143,42655,1991,506,9988,27137,121359,87105
202303,우이신설선,화계,35053,9567,50374,38032,12695,29840,2006,644,5235,20189,92668,68432
202302,우이신설선,4.19민주묘지,19960,6123,38252,30862,11676,19734,1299,301,4379,13952,63890,51238
202302,우이신설선,가오리,36288,9296,51478,37392,13474,34205,2329,294,5227,23710,95322,70692
202302,우이신설선,보문,5894,7592,18611,16755,9041,9034,430,117,4768,5854,29703,30318
202302,우이신설선,북한산보국문,47619,13384,75604,47103,23901,50038,2200,554,11039,37305,136462,98346
202302,우이신설선,북한산우이,19388,9641,38503,40444,11328,13546,1091,418,4169,9011,63151,59514
202302,우이신설선,삼양,15678,4889,25030,21107,6965,15615,1014,405,2822,10341,44544,36742
202302,우이신설선,삼양사거리,18001,6264,31719,26669,9393,18825,1124,305,4403,10966,55247,44204
202302,우이신설선,성신여대입구,10332,12812,35203,47044,21375,26913,638,339,20454,11752,66627,71947
202302,우이신설선,솔밭공원,23400,4431,31024,22453,6779,19291,1693,186,2892,14190,59009,41260
202302,우이신설선,솔샘,62614,8475,66601,36452,14162,54682,2815,254,5511,39811,137541,84992
202302,우이신설선,신설동,4032,17352,20663,28954,20386,4698,791,689,8324,3711,33810,50706
202302,우이신설선,정릉,33061,10809,59856,37215,18256,37080,1751,401,7657,23544,102325,71969
202302,우이신설선,화계,29196,7586,44227,33027,10852,25992,1748,490,4251,17169,79422,58272
202301,우이신설선,4.19민주묘지,19394,6172,36466,28415,10528,19325,1391,321,4137,13595,61388,48503
202301,우이신설선,가오리,35242,8752,50747,36884,13314,33443,2293,272,5144,23482,93426,69390
202301,우이신설선,보문,5938,7292,18465,16902,9322,8839,456,106,4340,5852,29199,30152
202301,우이신설선,북한산보국문,46067,13188,75320,46117,23502,49769,2212,531,10372,36399,133971,96235
202301,우이신설선,북한산우이,19026,8510,36285,36762,10641,13140,1147,409,4061,8374,60519,54055
202301,우이신설선,삼양,15552,4784,25359,21414,6691,15356,962,358,2721,10069,44594,36625
202301,우이신설선,삼양사거리,17782,6022,30567,25933,9089,18464,1031,313,4495,10657,53875,42925
202301,우이신설선,성신여대입구,10320,12775,34488,47423,21689,26828,682,379,20577,11692,66067,72269
202301,우이신설선,솔밭공원,22655,4131,29976,22091,6528,18985,1634,206,2944,13825,57209,40253
202301,우이신설선,솔샘,61833,7814,65823,36884,13973,54292,2907,262,5676,38577,136239,83537
202301,우이신설선,신설동,3928,16722,20483,27799,19713,4632,752,685,7883,3405,33046,48611
202301,우이신설선,정릉,32133,10447,58469,36881,18410,37298,1765,367,7360,22838,99727,70533
202301,우이신설선,화계,28390,7218,43497,32075,10533,25222,1670,422,4310,16744,77867,56459
202212,우이신설선,4.19민주묘지,21855,9796,44729,40911,15823,21085,1287,278,5858,15473,73729,66458
202212,우이신설선,가오리,40908,9095,53867,38996,13498,36243,2414,244,5336,25988,102525,74323
202212,우이신설선,보문,6821,9289,20654,18367,10281,9590,480,161,5061,6649,33016,34466
202212,우이신설선,북한산보국문,50619,16923,84679,52742,27528,53049,2307,530,12451,40373,150056,110568
202212,우이신설선,북한산우이,21413,8719,40207,40103,11857,15692,1258,456,5295,10674,68173,59952
