사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
202304,일산선,대곡,21844,7816,21235,14220,11947,14798,979,372,4008,9622,48066,32030
202304,일산선,대화,138537,38122,154297,104473,52543,85192,7688,1289,20438,67535,320960,211419
202304,일산선,마두,43652,33472,95814,87639,41211,50178,3380,1563,16397,32921,159243,155595
202304,일산선,백석,56376,43559,115645,102562,57998,71900,4493,2300,29698,45970,206212,194391
202304,일산선,삼송,194353,53560,213902,163700,83652,181300,9293,1496,43715,120012,461263,338768
202304,일산선,원당,113099,28512,136843,92833,40821,99819,8780,1193,15315,72416,274037,194954
202304,일산선,원흥,118373,27681,132062,86331,44481,108441,7416,617,21535,79271,279386,193900
202304,일산선,정발산,24387,29863,91517,126541,64320,48294,2178,760,34326,24080,152408,181244
202304,일산선,주엽,73795,25958,120825,99902,38237,76280,5738,1270,18192,50762,218550,177892
202304,일산선,지축,6,0,4,0,3,0,0,0,2,0,12,0
202304,일산선,화정,135910,50418,206273,170187,77105,152319,10826,1443,44062,101189,397071,323237
202303,일산선,대곡,23668,7875,21201,14193,12672,16102,1041,293,3924,10371,49834,32732
202303,일산선,대화,149105,39749,155809,100741,53026,90993,7991,1355,20651,71899,333556,213744
202303,일산선,마두,47246,35415,100711,91876,43874,53930,3475,1601,17187,34954,168619,163846
202303,일산선,백석,60612,47240,119474,106205,62180,76501,4611,2544,30666,48391,215363,204380
202303,일산선,삼송,209073,57638,222096,169502,90847,195309,9821,1551,46782,127051,487772,355742
202303,일산선,원당,120328,29383,142302,94582,44446,106856,9083,1099,15853,76969,287566,202033
202303,일산선,원흥,127037,28653,136234,88879,46503,115865,7606,629,22177,84314,293054,202475
202303,일산선,정발산,25847,31313,82251,106916,60807,51546,2293,854,33620,25190,144011,164273
202303,일산선,주엽,79343,26725,125317,102643,40014,81391,5879,1203,18557,53805,229096,184376
202303,일산선,지축,3,0,3,0,9,0,0,0,2,0,8,0
202303,일산선,화정,145649,52938,212662,177662,82828,163844,10910,1501,47327,106844,416548,338945
202302,일산선,대곡,19005,5754,18571,11896,10067,13371,842,206,3313,9167,41731,27023
202302,일산선,대화,121954,32094,136119,86580,47072,78797,6838,1180,19410,64033,284321,183887
202302,일산선,마두,39108,30835,90950,83518,38990,46548,3061,1451,15537,31459,148656,147263
202302,일산선,백석,50599,39230,107297,95340,55104,67802,3949,2258,28441,42976,190286,179804
202302,일산선,삼송,177883,41908,196905,150768,77638,172778,8671,1227,44131,113096,427590,306999
202302,일산선,원당,97818,25431,124941,79545,38580,90821,7780,934,13589,66957,244128,172867
202302,일산선,원흥,103722,24306,117960,77647,41553,97873,6115,528,19829,70238,247626,172719
202302,일산선,정발산,21415,27072,74175,97545,55605,45959,1935,828,32163,22401,129688,147846
202302,일산선,주엽,65108,21398,110430,91358,35615,68819,4834,1046,16076,47197,196448,160999
202302,일산선,지축,1,0,2,0,8,0,0,0,3,0,6,0
202302,일산선,화정,120939,42475,187503,159303,73366,141595,9443,1258,41704,94099,359589,297135
202301,일산선,대곡,18349,5388,17428,10999,9743,12849,846,195,3380,9102,40003,25684
202301,일산선,대화,118498,30661,128544,79603,43662,76952,6703,1199,19398,63271,273143,174734
202301,일산선,마두,38023,30124,86218,79812,38360,45337,2977,1346,15487,30343,142705,141625
202301,일산선,백석,49755,38745,104943,95158,55417,66684,3804,2239,28535,42255,187037,178397
