사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,1호선,가능,126191,122907,249098
202201,1호선,가산디지털단지,370308,427269,797577
202201,1호선,간석,114563,109293,223856
202201,1호선,개봉,421899,424527,846426
202201,1호선,관악,141319,132669,273988
202201,1호선,광명,65728,58036,123764
202201,1호선,광운대,148577,143916,292493
202201,1호선,구로,367914,372370,740284
202201,1호선,구일,119655,120171,239826
202201,1호선,군포,154913,154532,309445
202201,1호선,금정,530249,540991,1071240
202201,1호선,금천구청,233026,234221,467247
202201,1호선,남영,176835,184484,361319
202201,1호선,노량진,163490,165589,329079
202201,1호선,녹양,87252,82584,169836
202201,1호선,녹천,90175,76752,166927
202201,1호선,당정,120490,115112,235602
202201,1호선,대방,256898,264995,521893
202201,1호선,덕계,58471,52431,110902
202201,1호선,덕정,100836,97833,198669
202201,1호선,도봉,119664,115799,235463
202201,1호선,도봉산,139798,86837,226635
202201,1호선,도원,51757,52822,104579
202201,1호선,도화,82301,77143,159444
202201,1호선,독산,378232,395589,773821
202201,1호선,동대문,210889,195984,406873
202201,1호선,동두천,38825,43280,82105
202201,1호선,동두천중앙,58862,57138,116000
202201,1호선,동묘앞,142990,149013,292003
202201,1호선,동암,286714,290794,577508
202201,1호선,동인천,267672,253997,521669
202201,1호선,두정,92242,92357,184599
202201,1호선,망월사,141197,146199,287396
202201,1호선,명학,177084,174989,352073
202201,1호선,방학,188544,185504,374048
202201,1호선,배방,18340,17726,36066
202201,1호선,백운,132804,132075,264879
202201,1호선,병점,273003,269571,542574
202201,1호선,보산,26124,23872,49996
202201,1호선,봉명,22737,22099,44836
202201,1호선,부개,167085,156681,323766
202201,1호선,부천,635911,637859,1273770
202201,1호선,부평,580743,612229,1192972
202201,1호선,서동탄,27707,24086,51793
202201,1호선,서빙고,39072,36969,76041
202201,1호선,서울,966153,856087,1822240
202201,1호선,서정리,129496,116942,246438
202201,1호선,석계,157514,178293,335807
202201,1호선,석수,190644,170671,361315
202201,1호선,성균관대,269114,267859,536973
202201,1호선,성환,56801,57236,114037
202201,1호선,세류,57935,53819,111754
202201,1호선,세마,53809,50186,103995
202201,1호선,소사,163951,161132,325083
202201,1호선,소요산,43352,37714,81066
202201,1호선,송내,522883,522852,1045735
202201,1호선,송탄,79693,75836,155529
202201,1호선,수원,640499,686146,1326645
202201,1호선,시청,432427,433757,866184
202201,1호선,신길,176269,149122,325391
202201,1호선,신도림,82402,78808,161210
202201,1호선,신설동,273176,264134,537310
202201,1호선,신이문,166519,156137,322656
