사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,9호선,가양,7454,7393,14847
202201,9호선,개화,888,806,1694
202201,9호선,고속터미널,5747,8054,13801
202201,9호선,공항시장,1414,1491,2905
202201,9호선,구반포,374,367,741
202201,9호선,국회의사당,2450,2192,4642
202201,9호선,김포공항,5785,7500,13285
202201,9호선,노들,1846,1592,3438
202201,9호선,노량진,11914,12084,23998
202201,9호선,당산,6380,6129,12509
202201,9호선,동작,979,871,1850
202201,9호선,등촌,3980,4040,8020
202201,9호선,마곡나루,3936,3840,7776
202201,9호선,사평,1135,1165,2300
202201,9호선,샛강,1321,1284,2605
202201,9호선,선유도,2097,2041,4138
202201,9호선,신논현,11872,11567,23439
202201,9호선,신목동,1286,1123,2409
202201,9호선,신반포,915,923,1838
202201,9호선,신방화,2613,2658,5271
202201,9호선,양천향교,3038,3065,6103
202201,9호선,여의도,4901,4639,9540
202201,9호선,염창,6195,6059,12254
202201,9호선,증미,2496,2544,5040
202201,9호선,흑석,2765,2866,5631
202201,9호선,가양,8201,8663,16864
202201,9호선,개화,808,790,1598
202201,9호선,고속터미널,9114,10548,19662
202201,9호선,공항시장,1523,1707,3230
202201,9호선,구반포,471,462,933
202201,9호선,국회의사당,3731,3447,7178
202201,9호선,김포공항,7550,9801,17351
202201,9호선,노들,2110,1966,4076
202201,9호선,노량진,11771,13531,25302
202201,9호선,당산,6893,7440,14333
202201,9호선,동작,1006,830,1836
202201,9호선,등촌,4364,4656,9020
202201,9호선,마곡나루,4081,4380,8461
202201,9호선,사평,1353,1448,2801
202201,9호선,샛강,1347,1380,2727
202201,9호선,선유도,2131,2391,4522
202201,9호선,신논현,13234,12492,25726
202201,9호선,신목동,1427,1327,2754
202201,9호선,신반포,1328,1321,2649
202201,9호선,신방화,3021,3038,6059
202201,9호선,양천향교,3297,3844,7141
202201,9호선,여의도,7506,6835,14341
202201,9호선,염창,6847,7311,14158
202201,9호선,증미,2648,2964,5612
202201,9호선,흑석,3220,3460,6680
202201,9호선,가양,12934,12431,25365
202201,9호선,개화,1131,1015,2146
202201,9호선,고속터미널,10828,15273,26101
202201,9호선,공항시장,2230,2479,4709
202201,9호선,구반포,1068,1097,2165
202201,9호선,국회의사당,3848,4018,7866
202201,9호선,김포공항,7124,11213,18337
202201,9호선,노들,2909,2501,5410
202201,9호선,노량진,20144,19809,39953
202201,9호선,당산,11828,11280,23108
202201,9호선,동작,1335,1098,2433
202201,9호선,등촌,6839,6810,13649
202201,9호선,마곡나루,7566,7430,14996
202201,9호선,사평,2098,1975,4073
202201,9호선,샛강,2423,2409,4832
202201,9호선,선유도,3492,3353,6845
202201,9호선,신논현,25609,24730,50339
202201,9호선,신목동,2100,1831,3931
202201,9호선,신반포,2447,2280,4727
202201,9호선,신방화,4442,4211,8653
202201,9호선,양천향교,5611,5552,11163
202201,9호선,여의도,10717,10361,21078
202201,9호선,염창,10882,10267,21149
202201,9호선,증미,3847,3754,7601
202201,9호선,흑석,5103,5163,10266
202201,9호선,가양,8996,8918,17914
